SITE,LINE,CROSS,LEN,PRM,SEC
BRKG,334,F2,54,33.5,12.5
BRKG,336,F2,51.5,33.5,13
BRKG,337,F2,37,24,11
BRKG,339,F2,50.375,31.25,14.75
BRKG,34,F2,47.5,23,11.5
BRKG,341,F2,38.5,22,13.5
BRKG,342,F2,51.25,26,12
BRKG,343,F2,42,27.5,12
BRKG,344,F2,49,23.5,14
BRKG,345,F2,46.375,23.75,11.75
BRKG,346,F2,40.75,23,11
BRKG,347,F2,43,29,17
BRKG,348,F2,53,35.5,10.5
BRKG,349,F2,31,32.5,11.5
BRKG,35,F2,54.25,32.75,12.5
BRKG,350,F2,52.25,36.5,13.5
BRKG,353,F2,51,36,13.5
BRKG,354,F2,40.25,29,12
BRKG,355,F2,48.25,25,12.5
BRKG,356,F2,45,21,11
BRKG,357,F2,42.5,25.5,11.5
BRKG,358,F2,42.5,29.5,11
BRKG,359,F2,48.5,38,10.5
BRKG,36,F2,66.65,32,18.5
BRKG,360,F2,35.4,26.5,11.5
BRKG,361,F2,44.5,35.5,13
BRKG,362,F2,58.5,38,21
BRKG,363,F2,51.75,28.5,13
BRKG,364,F2,47.5,33.5,13.5
BRKG,365,F2,45.75,23.75,12.25
BRKG,366,F2,50.75,26,13
BRKG,367,F2,45.5,33.5,12
BRKG,368,F2,48.5,35,12.5
BRKG,369,F2,66,29.5,13
BRKG,370,F2,54.5,30.5,11
BRKG,371,F2,46.3,30.25,13.5
BRKG,372,F2,37.5,39.5,11
BRKG,373,F2,47.5,24,11
BRKG,374,F2,39,30,13
BRKG,375,F2,55.5,34,15.5
BRKG,376,F2,56.4,32.5,16
BRKG,377,F2,64,34.5,13
BRKG,378,F2,44,29,11.5
BRKG,379,F2,54,32.5,12.5
BRKG,380,F2,43.5,36.5,17.5
BRKG,381,F2,34.25,34.5,12.5
BRKG,382,F2,53.75,22,16.5
BRKG,383,F2,54.375,35.5,12.5
BRKG,384,F2,33.25,28,12
BRKG,385,F2,44.25,38,14
BRKG,386,F2,51.75,36,12.5
BRKG,388,F2,50,35,14.5
BRKG,389,F2,43.5,33.5,12
BRKG,390,F2,53,35,13.5
BRKG,391,F2,41.5,28,12.5
BRKG,392,F2,54.25,26,13
BRKG,394,F2,32.75,22.5,12
BRKG,395,F2,36.5,30.5,12
BRKG,396,F2,47.5,36,12.5
BRKG,397,F2,50.75,34.5,14.5
BRKG,398,F2,46.5,31,16
BRKG,399,F2,43,21,10.5
BRKG,4,F2,44.5,25,12.75
BRKG,400,F2,49.5,36,13.5
BRKG,402,F2,56,31,11
BRKG,403,F2,45.5,34.5,12.5
BRKG,404,F2,40.5,32.5,14
BRKG,41,F2,41,22,11.5
BRKG,42,F2,39.5,28,11
BRKG,43,F2,43.5,29,11.5
BRKG,44,F2,40,27,11.5
BRKG,45,F2,39,21.5,11.5
BRKG,46,F2,43.75,34,13
BRKG,47,F2,46.5,38,10
BRKG,48,F2,39.25,26.5,9.5
BRKG,49,F2,42.5,28,13
BRKG,5,F2,31,23,10.5
BRKG,53,F2,39.5,28,14
BRKG,54,F2,49.75,39.5,14
BRKG,55,F2,38.25,24,11
BRKG,56,F2,44.5,35,12
BRKG,57,F2,37.75,23,11
BRKG,58,F2,43,27.5,10.5
BRKG,61,F2,53,33,15.5
BRKG,62,F2,57.5,33.5,13.5
BRKG,63,F2,35,23,11
BRKG,64,F2,29.5,30,11.5
BRKG,65,F2,40,40.5,11
BRKG,66,F2,33,18.5,15
BRKG,67,F2,43.75,28.5,12.5
BRKG,69,F2,41.625,32.75,13.25
BRKG,7,F2,37.25,29,11.5
BRKG,71,F2,37,33,11
BRKG,72,F2,43.25,31,15
BRKG,73,F2,34.5,28,10.75
BRKG,74,F2,57.25,40.5,19
BRKG,75,F2,58.5,31.5,14.5
BRKG,77,F2,43.5,27,10.5
BRKG,78,F2,54.5,34,13.5
BRKG,79,F2,44.5,25,15.5
BRKG,8,F2,49.5,38.5,16
BRKG,80,F2,45.5,38,12
BRKG,81,F2,42.75,22.5,13
BRKG,83,F2,51,29,14.5
BRKG,84,F2,42,28.5,15.5
BRKG,85,F2,51.25,23,13
BRKG,86,F2,48.75,33.5,11.5
BRKG,87,F2,35.5,28.5,11.5
BRKG,88,F2,55.5,40.5,15
BRKG,89,F2,48.75,38.5,12.5
BRKG,90,F2,51.25,38.5,13
BRKG,91,F2,46.75,37,12.5
BRKG,93,F2,43.5,32.5,15
BRKG,95,F2,43.5,26,13.5
BRKG,96,F2,39.25,24.5,9.5
BRKG,97,F2,52.75,33.25,14
BRKG,99,F2,40.75,25,12
BRKG,AP13,F0,65.605,43.025,15.3
BRKG,DAC,F0,30.20833333,18.83333333,8.583333333
BRKG,VS16,F0,44.86875,29.6875,14.25
BRKG,WBC,F0,59.73333333,37.53333333,15.4
CLMB,1,F2,33.75,25.5,10.5
CLMB,100,F2,38.25,21,11
CLMB,102,F2,39.75,20.5,11.5
CLMB,103,F2,48.25,33.5,15.5
CLMB,104,F2,36.25,21.5,10
CLMB,105,F2,46.75,23,10.5
CLMB,106,F2,49.25,25,10
CLMB,107,F2,48.5,26.5,11.5
CLMB,11,F2,49.5,26,11
CLMB,110,F2,42.5,26.5,11
CLMB,111,F2,32,23.5,10.5
CLMB,112,F2,45.5,25,25
CLMB,113,F2,50.75,30.5,14
CLMB,114,F2,49.5,30.5,11.5
CLMB,116,F2,49.25,30.5,10
CLMB,117,F2,41.5,30.5,11.5
CLMB,118,F2,49.5,29,11
CLMB,119,F2,44.25,30,14.5
CLMB,12,F2,46,24,12
CLMB,120,F2,41.25,28.5,12.5
CLMB,122,F2,40.25,28,11.5
CLMB,123,F2,46.5,20,10.5
CLMB,124,F2,55.75,29,14.5
CLMB,125,F2,37.5,19,9
CLMB,128,F2,41.5,28.5,11
CLMB,13,F2,48.75,32.5,11.5
CLMB,130,F2,51.75,20,11.5
CLMB,131,F2,42.75,25,10
CLMB,132,F2,50.5,23.5,12.5
CLMB,133,F2,34.5,30,10.5
CLMB,134,F2,57.75,44,13
CLMB,135,F2,39.25,23.5,9.5
CLMB,137,F2,56,31.5,13
CLMB,141,F2,40.25,27.5,12.5
CLMB,142,F2,43.75,31.5,12.5
CLMB,143,F2,41.5,36.5,13
CLMB,145,F2,32.25,28,10
CLMB,147,F2,44.25,26.5,14
CLMB,15,F2,49.25,28,11.5
CLMB,150,F2,34.5,25.5,9.5
CLMB,151,F2,52.25,28,11.5
CLMB,153,F2,45,34,11
CLMB,154,F2,40,25,11.5
CLMB,155,F2,40.5,34.5,11
CLMB,156,F2,35.75,23.5,10
CLMB,157,F2,30.5,18.5,9.5
CLMB,158,F2,40.5,20,11
CLMB,159,F2,45,31.5,14
CLMB,161,F2,40.5,33,13.5
CLMB,163,F2,41.25,23,10.5
CLMB,164,F2,45.25,27,11
CLMB,166,F2,68,40,16
CLMB,167,F2,51,29,13
CLMB,168,F2,48.25,32,13
CLMB,17,F2,45.5,23,13
CLMB,170,F2,50,30,12
CLMB,171,F2,39.75,22,10.5
CLMB,172,F2,47,34.5,16.5
CLMB,173,F2,42,18.5,10.5
CLMB,174,F2,38.5,24,10.5
CLMB,175,F2,62.75,41.5,15
CLMB,176,F2,53.5,36.5,14.5
CLMB,177,F2,44.5,25,11
CLMB,178,F2,53.5,34,10
CLMB,179,F2,51,23.5,7.5
CLMB,180,F2,46.5,29,9.5
CLMB,181,F2,42.5,23,12
CLMB,182,F2,41.75,25.5,12
CLMB,184,F2,60.5,30,14.5
CLMB,185,F2,34.5,22,11
CLMB,186,F2,47.25,37,12.5
CLMB,187,F2,34.25,23,11.5
CLMB,188,F2,50.5,31.5,21
CLMB,19,F2,45.5,22.5,13
CLMB,191,F2,26.25,29,10.5
CLMB,192,F2,46.5,30.5,13.5
CLMB,193,F2,53.25,29,11.5
CLMB,194,F2,58.75,32,13.5
CLMB,195,F2,44.25,23.5,11
CLMB,196,F2,37.25,28.5,15.5
CLMB,197,F2,29.75,21,8
CLMB,198,F2,47.25,26.5,12.5
CLMB,199,F2,47.25,26,13.5
CLMB,2,F2,49,29,11.5
CLMB,20,F2,36.25,23.5,12
CLMB,200,F2,38.75,30,13
CLMB,203,F2,39.25,27,11
CLMB,204,F2,33.5,17.5,8
CLMB,207,F2,38.25,23.5,8.5
CLMB,209,F2,40.75,26,13.5
CLMB,21,F2,46.75,29,10.5
CLMB,210,F2,51.5,29,15.5
CLMB,211,F2,46.5,24.5,10
CLMB,212,F2,35,22.5,9.5
CLMB,213,F2,59.25,25,10.5
CLMB,215,F2,36.25,34.5,13
CLMB,216,F2,38.75,38,20
CLMB,218,F2,43.25,32.5,13.5
CLMB,219,F2,42.5,28.5,13.5
CLMB,221,F2,34.5,24,9.5
CLMB,222,F2,55,25,11
CLMB,223,F2,40.5,26.5,12
CLMB,224,F2,48,27,12.5
CLMB,225,F2,36.5,23,11.5
CLMB,226,F2,41.75,34.5,11.5
CLMB,227,F2,43,28.5,11.5
CLMB,228,F2,39.75,23.5,11
CLMB,229,F2,54.25,34.5,14
CLMB,23,F2,56.5,29,12.5
CLMB,231,F2,43.5,25,11.5
CLMB,232,F2,37.5,32.5,16
CLMB,233,F2,52.75,27,12
CLMB,234,F2,30.5,23,9.5
CLMB,235,F2,40.875,30.5,11.75
CLMB,236,F2,45.75,26,11.5
CLMB,237,F2,52.5,25.5,14.5
CLMB,238,F2,44.25,33.5,12.5
CLMB,239,F2,47.25,26,13
CLMB,24,F2,38.5,29,12
CLMB,240,F2,36.5,33.5,12
CLMB,241,F2,43.5,23,12
CLMB,242,F2,32.75,20.5,10
CLMB,243,F2,44.25,22,13.5
CLMB,244,F2,49.5,37,12.5
CLMB,245,F2,44.75,27,11
CLMB,246,F2,45.75,23,10
CLMB,247,F2,49.75,35.5,17
CLMB,248,F2,47,30,11
CLMB,249,F2,47.75,30.5,17.5
CLMB,25,F2,38.25,19.5,10.5
CLMB,250,F2,50.25,35,15
CLMB,251,F2,48,NA,11
CLMB,252,F2,43,26.5,10.5
CLMB,253,F2,34.5,27,8
CLMB,254,F2,40.5,25,25
CLMB,255,F2,42.5,24,11
CLMB,256,F2,47.75,31,12.5
CLMB,257,F2,38.75,28.5,11.5
CLMB,258,F2,50.5,23,10.5
CLMB,26,F2,51,35.5,14
CLMB,260,F2,38.25,32,11.5
CLMB,261,F2,38.75,25,11.5
CLMB,262,F2,51.25,35,15
CLMB,263,F2,47.25,32.5,12
CLMB,264,F2,44.25,22.5,12
CLMB,265,F2,33,25.5,10.5
CLMB,267,F2,46,31,14
CLMB,269,F2,35.75,24,9
CLMB,27,F2,30.75,24,10.5
CLMB,270,F2,46.75,42.5,17.5
CLMB,271,F2,37.25,33,12
CLMB,272,F2,42.75,28.5,12
CLMB,274,F2,43.25,35,10
CLMB,275,F2,41.75,21,9.5
CLMB,277,F2,43.5,29,14
CLMB,278,F2,34.5,29,11
CLMB,279,F2,36.5,19,9.5
CLMB,28,F2,46.25,32,10.5
CLMB,282,F2,28.625,22.25,9.75
CLMB,284,F2,54,16,11
CLMB,285,F2,51.25,36,17
CLMB,286,F2,38.25,25.5,11
CLMB,287,F2,39.5,21.5,13.5
CLMB,288,F2,37,32.5,15
CLMB,289,F2,45.75,31,14
CLMB,290,F2,52.25,29,11.5
CLMB,292,F2,42.5,27,11.5
CLMB,293,F2,34.5,19,9.5
CLMB,294,F2,39.5,18,10.5
CLMB,296,F2,48.25,37.5,14.5
CLMB,297,F2,40,23.5,12
CLMB,298,F2,38,30.5,12
CLMB,299,F2,42.5,26,11
CLMB,3,F2,39.25,31.5,11.5
CLMB,30,F2,42,22.5,8.5
CLMB,301,F2,41.5,27,13.5
CLMB,302,F2,38.25,23.5,11
CLMB,303,F2,51,29,13
CLMB,304,F2,40.25,21.5,9.5
CLMB,305,F2,37.75,28,13
CLMB,307,F2,35.5,25,10
CLMB,308,F2,45.25,26.5,13.5
CLMB,310,F2,35.5,24,15
CLMB,311,F2,37.25,30,12
CLMB,312,F2,30,36,12
CLMB,313,F2,40.25,26,12
CLMB,314,F2,35.5,21.5,11
CLMB,315,F2,35,25.5,11.5
CLMB,317,F2,30.75,22,8
CLMB,318,F2,46.25,23,12
CLMB,319,F2,45.75,31,15.5
CLMB,32,F2,36,24.5,10
CLMB,320,F2,50.75,25.5,10.5
CLMB,322,F2,53.5,34.5,15.5
CLMB,323,F2,39,28,10
CLMB,324,F2,42,27.5,13
CLMB,325,F2,39.5,27,11.5
CLMB,326,F2,42.75,35.5,11
CLMB,328,F2,52.75,34,13.5
CLMB,33,F2,35.25,26.5,10.5
CLMB,330,F2,38.5,20.5,10
CLMB,332,F2,45.5,25,11.5
CLMB,333,F2,48,35,15
CLMB,334,F2,53,28.5,11.5
CLMB,336,F2,53,30.5,14
CLMB,337,F2,42.25,21.5,10.5
CLMB,338,F2,40.5,27.5,11.5
CLMB,339,F2,43.5,31,14
CLMB,34,F2,42.5,28,9.5
CLMB,341,F2,39,25.5,10.5
CLMB,342,F2,36,19.5,9.5
CLMB,343,F2,42.5,23,11
CLMB,345,F2,44.75,18.5,10.5
CLMB,347,F2,39.25,31.5,13
CLMB,35,F2,45,25.5,10.5
CLMB,350,F2,51,34,11
CLMB,352,F2,44.25,20.5,10.5
CLMB,353,F2,44.25,31,11
CLMB,354,F2,32.75,36,12
CLMB,355,F2,45.5,22,9
CLMB,356,F2,38,18.5,10.5
CLMB,357,F2,31,18,10
CLMB,358,F2,33.5,22,9
CLMB,359,F2,43.75,28.5,10.5
CLMB,36,F2,43,18.5,13
CLMB,360,F2,33,21.5,10.5
CLMB,361,F2,36,29.5,10
CLMB,364,F2,53,34.5,15
CLMB,365,F2,43.75,22.5,11.5
CLMB,366,F2,58,24,12
CLMB,367,F2,46.25,29,11.5
CLMB,368,F2,33.75,20.5,8.5
CLMB,37,F2,40.5,29.5,12.5
CLMB,370,F2,46.75,32,12
CLMB,371,F2,44.25,28,10
CLMB,373,F2,48,21.5,11
CLMB,374,F2,37.25,24.5,12
CLMB,375,F2,43,30,11
CLMB,377,F2,45,33,9.5
CLMB,378,F2,55,24,12.5
CLMB,379,F2,43,27.5,13.5
CLMB,38,F2,33.25,27.5,11.5
CLMB,380,F2,45.25,34.5,15.5
CLMB,381,F2,38.5,32,12
CLMB,382,F2,45.75,19.5,11.5
CLMB,383,F2,38.5,33,10
CLMB,385,F2,40.25,31,9
CLMB,386,F2,43.75,24.5,10.5
CLMB,387,F2,36.25,24,11
CLMB,388,F2,42.5,22.5,11.5
CLMB,389,F2,36.25,27,13.5
CLMB,39,F2,36.25,28.5,10.5
CLMB,390,F2,44.5,29,12
CLMB,392,F2,47.25,29,12.5
CLMB,393,F2,49.25,26,12.5
CLMB,395,F2,37.25,27,12.5
CLMB,396,F2,46.5,28.5,13.5
CLMB,397,F2,48,32,12
CLMB,398,F2,50.75,32,16
CLMB,399,F2,48.25,20,10
CLMB,4,F2,39,22.5,9.5
CLMB,40,F2,31,29,12.5
CLMB,400,F2,44.75,31.5,11.5
CLMB,402,F2,59.75,28.5,13
CLMB,403,F2,42.75,30.5,12
CLMB,404,F2,51,32,13
CLMB,405,F2,28.5,15,9.5
CLMB,406,F2,54.5,27,13.5
CLMB,407,F2,55.25,29,11.5
CLMB,408,F2,36.25,26,11.5
CLMB,409,F2,30.5,24,8
CLMB,41,F2,47,21,10.5
CLMB,410,F2,31.75,23.5,9.5
CLMB,411,F2,42.75,22,9.5
CLMB,412,F2,44,30,14.5
CLMB,413,F2,51,26,13
CLMB,414,F2,44,25,12.5
CLMB,415,F2,35.75,17.5,9
CLMB,417,F2,41.75,28.5,13
CLMB,418,F2,40.75,24.5,9.5
CLMB,419,F2,46.25,28.5,12
CLMB,42,F2,32.75,22.5,11
CLMB,420,F2,48.5,28.5,11.5
CLMB,421,F2,35,28,10.5
CLMB,422,F2,33.25,19.5,8.5
CLMB,423,F2,34,24.5,11
CLMB,424,F2,52.5,34.5,15
CLMB,425,F2,47.5,24,11.5
CLMB,426,F2,36.5,23.5,10
CLMB,428,F2,38.5,26.5,10
CLMB,429,F2,46.25,22.5,9.5
CLMB,43,F2,NA,NA,NA
CLMB,431,F2,41.5,30,12
CLMB,432,F2,41.25,23.5,11.5
CLMB,433,F2,38,25.5,11.5
CLMB,434,F2,36.75,24.5,13
CLMB,435,F2,55,37.5,12.5
CLMB,436,F2,54.75,28,12.5
CLMB,437,F2,25,24,8.5
CLMB,438,F2,38.25,28,12.5
CLMB,439,F2,37.5,20,9
CLMB,44,F2,35.5,25,11.5
CLMB,442,F2,50,25.5,10.5
CLMB,443,F2,33.75,27.5,13
CLMB,444,F2,47.5,37,12.5
CLMB,445,F2,41,23,12
CLMB,446,F2,34.25,23.5,11
CLMB,447,F2,45.5,40.5,16.5
CLMB,448,F2,41,27,8.5
CLMB,449,F2,28.5,21,7
CLMB,450,F2,44.25,21.5,10.5
CLMB,451,F2,48.5,22.5,11
CLMB,452,F2,45.25,24.5,11.5
CLMB,453,F2,43.25,35,17
CLMB,454,F2,49.25,28,13.5
CLMB,455,F2,43.5,26,12.5
CLMB,456,F2,56.5,27.5,13
CLMB,457,F2,39,25,11.5
CLMB,458,F2,47.25,21.5,12.5
CLMB,459,F2,49.75,23.5,12
CLMB,46,F2,35.25,27,10
CLMB,460,F2,46,26.5,9.5
CLMB,461,F2,49.5,31,12
CLMB,462,F2,51.75,29.5,13
CLMB,463,F2,43.25,37.5,15
CLMB,464,F2,58,25,12
CLMB,465,F2,50.75,28.5,11
CLMB,466,F2,32.75,29,9
CLMB,468,F2,46.5,25,12
CLMB,470,F2,56.25,27,11
CLMB,471,F2,38.25,40.25,13
CLMB,472,F2,37.75,24,11.5
CLMB,473,F2,53.75,34.5,14.5
CLMB,474,F2,43,27.5,11.5
CLMB,475,F2,53.5,23.5,11.5
CLMB,476,F2,34.75,21.5,8.5
CLMB,477,F2,32.5,24.5,8.5
CLMB,478,F2,28.5,26,7.5
CLMB,479,F2,48.75,26.5,11.5
CLMB,48,F2,44,23.5,10.5
CLMB,480,F2,44.25,27,10.5
CLMB,482,F2,45.5,25.5,10.5
CLMB,483,F2,36.75,23,10
CLMB,484,F2,28.25,19,9
CLMB,485,F2,44.5,25,10.5
CLMB,486,F2,42.25,29,10
CLMB,487,F2,55.75,35,12
CLMB,488,F2,39.5,22,10.5
CLMB,489,F2,45.75,31,11.5
CLMB,49,F2,56.25,29,11.5
CLMB,490,F2,46.75,27,11.5
CLMB,491,F2,46.75,27.5,10.5
CLMB,492,F2,44.25,25,11
CLMB,494,F2,43,32.5,11
CLMB,496,F2,41.5,29.5,12
CLMB,497,F2,34.5,19.5,9
CLMB,498,F2,40.5,26,11.5
CLMB,499,F2,49.25,25.5,10
CLMB,5,F2,22.25,22.5,9
CLMB,50,F2,33.25,29.5,12
CLMB,500,F2,45.5,12.5,12
CLMB,501,F2,29.5,24,9.5
CLMB,502,F2,37.5,28,11
CLMB,503,F2,45.25,30,13.5
