"SITE","LINE","FL50","HT","SITE2"
"BRKG",224,"211","189","BRKG"
"BRKG",225,"205","171","BRKG"
"BRKG",226,"211","149","BRKG"
"BRKG",227,"207","140","BRKG"
"BRKG",228,"206","158","BRKG"
"BRKG",229,"210","158","BRKG"
"BRKG",230,"206","158","BRKG"
"BRKG",231,"*","*","BRKG"
"BRKG",232,"208","171","BRKG"
"BRKG",233,"215","155","BRKG"
"BRKG",234,"217","183","BRKG"
"BRKG",235,"207","155","BRKG"
"BRKG",236,"*","*","BRKG"
"BRKG",237,"212","171","BRKG"
"BRKG",238,"219","146","BRKG"
"BRKG",239,"*","165","BRKG"
"BRKG",240,"203","152","BRKG"
"BRKG",241,"*","186","BRKG"
"BRKG",242,"208","149","BRKG"
"BRKG",243,"207","137","BRKG"
"BRKG",244,"207","186","BRKG"
"BRKG",245,"209.5","167.5","BRKG"
"BRKG",246,"206.5","157","BRKG"
"BRKG",247,"*","174","BRKG"
"BRKG",248,"*","174","BRKG"
"BRKG",249,"207","158.5","BRKG"
"BRKG",250,"210","183","BRKG"
"BRKG",251,"*","180","BRKG"
"BRKG",252,"217","162","BRKG"
"BRKG",253,"210","180","BRKG"
"BRKG",254,"207","134","BRKG"
"BRKG",255,"206","128","BRKG"
"BRKG",256,"*","*","BRKG"
"BRKG",257,"*","165","BRKG"
"BRKG",258,"207","143","BRKG"
"BRKG",259,"207","162","BRKG"
"BRKG",260,"208","143","BRKG"
"BRKG",261,"207","168","BRKG"
"BRKG",262,"211","162","BRKG"
"BRKG",263,"*","177","BRKG"
"BRKG",264,"207.5","193.5","BRKG"
"BRKG",265,"208","143","BRKG"
"BRKG",266,"207","171","BRKG"
"BRKG",267,"210","168","BRKG"
"BRKG",268,"206","104","BRKG"
"BRKG",269,"207","131","BRKG"
"BRKG",270,"207","177","BRKG"
"BRKG",271,"217","155","BRKG"
"BRKG",272,"210","158","BRKG"
"BRKG",273,"*","*","BRKG"
"BRKG",274,"*","168","BRKG"
"BRKG",275,"208","131","BRKG"
"BRKG",276,"*","*","BRKG"
"BRKG",277,"213","158","BRKG"
"BRKG",278,"203","162","BRKG"
"BRKG",279,"207","141.5","BRKG"
"BRKG",280,"*","149","BRKG"
"BRKG",281,"206","125","BRKG"
"BRKG",282,"208","149","BRKG"
"BRKG",283,"208","152","BRKG"
"BRKG",284,"207","168","BRKG"
"BRKG",285,"216","183","BRKG"
"BRKG",286,"205","162","BRKG"
"BRKG",287,"*","*","BRKG"
"BRKG",288,"210","171","BRKG"
"BRKG",289,"210","195","BRKG"
"BRKG",290,"206","134","BRKG"
"BRKG",291,"217","192","BRKG"
"BRKG",292,"206","165","BRKG"
"BRKG",293,"207","147.5","BRKG"
"BRKG",294,"207","149","BRKG"
"BRKG",296,"210","171","BRKG"
"BRKG",297,"212.5","143","BRKG"
"BRKG",298,"*","*","BRKG"
"BRKG",299,"211","168","BRKG"
"BRKG",300,"211","171","BRKG"
"BRKG",301,"207","146","BRKG"
"BRKG",302,"207","140","BRKG"
"BRKG",303,"218","183","BRKG"
"BRKG",304,"206","158","BRKG"
"BRKG",305,"207","152","BRKG"
"BRKG",306,"207","174","BRKG"
"BRKG",307,"207","155.5","BRKG"
"BRKG",308,"207","165","BRKG"
"BRKG",310,"217","141.5","BRKG"
"BRKG",311,"210","158","BRKG"
"BRKG",312,"217","146","BRKG"
"BRKG",313,"207","161.5","BRKG"
"BRKG",314,"208","140","BRKG"
"BRKG",315,"206","177","BRKG"
"BRKG",316,"208","143","BRKG"
"BRKG",317,"208.5","156.5","BRKG"
"BRKG",318,"207","174","BRKG"
"BRKG",319,"206","162","BRKG"
"BRKG",320,"208.5","163","BRKG"
"BRKG",322,"*","171","BRKG"
"BRKG",323,"207","149","BRKG"
"BRKG",324,"206","177","BRKG"
"BRKG",325,"210.5","154","BRKG"
"BRKG",326,"*","165","BRKG"
"BRKG",327,"*","*","BRKG"
"BRKG",328,"217","174","BRKG"
"BRKG",330,"207","162","BRKG"
"BRKG",332,"208","137","BRKG"
"BRKG",333,"217","168","BRKG"
"BRKG",334,"217","171","BRKG"
"BRKG",335,"*","*","BRKG"
"BRKG",336,"*","149","BRKG"
"BRKG",337,"207","110","BRKG"
"BRKG",338,"*","*","BRKG"
"BRKG",339,"215","152.5","BRKG"
"BRKG",340,"*","*","BRKG"
"BRKG",341,"206","131","BRKG"
"BRKG",342,"207","152","BRKG"
"BRKG",343,"207","146","BRKG"
"BRKG",344,"*","125","BRKG"
"BRKG",345,"207","129.5","BRKG"
"BRKG",346,"207","149","BRKG"
"BRKG",347,"207","146","BRKG"
"BRKG",349,"210","134","BRKG"
"BRKG",350,"217","165","BRKG"
"BRKG",352,"*","*","BRKG"
"BRKG",353,"207","174","BRKG"
"BRKG",354,"211","174","BRKG"
"BRKG",355,"212","168","BRKG"
"BRKG",356,"205","149","BRKG"
"BRKG",358,"207","143","BRKG"
"BRKG",359,"212","162","BRKG"
"BRKG",360,"206","162","BRKG"
"BRKG",361,"206","146","BRKG"
"BRKG",362,"*","186","BRKG"
"BRKG",363,"210","162","BRKG"
"BRKG",364,"208","165","BRKG"
"BRKG",365,"206.5","155.5","BRKG"
"BRKG",366,"211","168","BRKG"
"BRKG",367,"207","149","BRKG"
"BRKG",368,"207","152","BRKG"
"BRKG",369,"205","186","BRKG"
"BRKG",370,"216","165","BRKG"
"BRKG",371,"211.5","141.5","BRKG"
"BRKG",372,"208","155","BRKG"
"BRKG",373,"208","158","BRKG"
"BRKG",374,"211","165","BRKG"
"BRKG",375,"208","152","BRKG"
"BRKG",376,"207","158","BRKG"
"BRKG",377,"211","183","BRKG"
"BRKG",378,"216","152","BRKG"
"BRKG",379,"*","189","BRKG"
"BRKG",380,"216","152","BRKG"
"BRKG",381,"208","137","BRKG"
"BRKG",382,"211","183","BRKG"
"BRKG",383,"211","193.5","BRKG"
"BRKG",384,"208","137","BRKG"
"BRKG",386,"207","143","BRKG"
"BRKG",388,"207","171","BRKG"
"BRKG",389,"211","177","BRKG"
"BRKG",390,"*","186","BRKG"
"BRKG",391,"208","149","BRKG"
"BRKG",392,"206.5","158.5","BRKG"
"BRKG",393,"*","*","BRKG"
"BRKG",394,"205","125","BRKG"
"BRKG",395,"211","180","BRKG"
"BRKG",396,"206","152","BRKG"
"BRKG",397,"218","146","BRKG"
"BRKG",398,"206","162","BRKG"
"BRKG",399,"204","162","BRKG"
"BRKG",400,"211","168","BRKG"
"BRKG",402,"211","162","BRKG"
"BRKG",403,"208","140","BRKG"
"BRKG",404,"212","140","BRKG"
"CLMB",1,"172","126","CLMB"
"CLMB",2,"221","160","CLMB"
"CLMB",3,"183","154","CLMB"
"CLMB",4,"204","150","CLMB"
"CLMB",5,"190","135","CLMB"
"CLMB",7,"176","140","CLMB"
"CLMB",8,"*","*","CLMB"
"CLMB",9,"190","155","CLMB"
"CLMB",10,"*","*","CLMB"
"CLMB",11,"200","148","CLMB"
"CLMB",12,"190","147","CLMB"
"CLMB",13,"218","144","CLMB"
"CLMB",14,"*","*","CLMB"
"CLMB",15,"218","168","CLMB"
"CLMB",16,"*","*","CLMB"
"CLMB",17,"204","156","CLMB"
"CLMB",18,"*","*","CLMB"
"CLMB",19,"190","151","CLMB"
"CLMB",20,"183","160","CLMB"
"CLMB",21,"187","150","CLMB"
"CLMB",22,"*","*","CLMB"
"CLMB",23,"211","176","CLMB"
"CLMB",24,"193","145","CLMB"
"CLMB",25,"202","153","CLMB"
"CLMB",26,"200","166","CLMB"
"CLMB",27,"193","142","CLMB"
"CLMB",28,"183","163","CLMB"
"CLMB",29,"*","*","CLMB"
"CLMB",30,"200","161","CLMB"
"CLMB",31,"*","*","CLMB"
"CLMB",32,"193","176","CLMB"
"CLMB",33,"179","145","CLMB"
"CLMB",34,"190","162","CLMB"
"CLMB",35,"207","182","CLMB"
"CLMB",36,"207","157","CLMB"
"CLMB",37,"218","158","CLMB"
"CLMB",38,"211","145","CLMB"
"CLMB",39,"207","128","CLMB"
"CLMB",40,"200","168","CLMB"
"CLMB",41,"193","138","CLMB"
"CLMB",42,"183","164","CLMB"
"CLMB",43,"200","156","CLMB"
"CLMB",44,"200","142","CLMB"
"CLMB",45,"*","*","CLMB"
"CLMB",46,"200","161","CLMB"
"CLMB",47,"*","*","CLMB"
"CLMB",48,"179","156","CLMB"
"CLMB",49,"190","156","CLMB"
"CLMB",50,"200","150","CLMB"
"CLMB",52,"176","150","CLMB"
"CLMB",53,"223","126","CLMB"
"CLMB",54,"193","162","CLMB"
"CLMB",55,"*","134","CLMB"
"CLMB",56,"*","*","CLMB"
"CLMB",57,"197","156","CLMB"
"CLMB",58,"*","*","CLMB"
"CLMB",59,"190","136","CLMB"
"CLMB",60,"193","145","CLMB"
"CLMB",61,"207","201","CLMB"
"CLMB",62,"190","150","CLMB"
"CLMB",63,"207","146","CLMB"
"CLMB",64,"*","*","CLMB"
"CLMB",65,"190","152","CLMB"
"CLMB",66,"218","171","CLMB"
"CLMB",67,"207","151","CLMB"
"CLMB",68,"216","166","CLMB"
"CLMB",69,"207","163","CLMB"
"CLMB",70,"*","*","CLMB"
"CLMB",71,"209","180","CLMB"
"CLMB",72,"187","155","CLMB"
"CLMB",73,"200","158","CLMB"
"CLMB",74,"207","191","CLMB"
"CLMB",75,"197","168","CLMB"
"CLMB",76,"200","127","CLMB"
"CLMB",77,"*","*","CLMB"
"CLMB",78,"179","161","CLMB"
"CLMB",79,"190","157","CLMB"
"CLMB",80,"187","165","CLMB"
"CLMB",81,"*","*","CLMB"
"CLMB",83,"204","157","CLMB"
"CLMB",84,"*","*","CLMB"
"CLMB",85,"193","151","CLMB"
"CLMB",86,"218","149","CLMB"
"CLMB",87,"190","147","CLMB"
"CLMB",88,"202","155","CLMB"
"CLMB",89,"181","162","CLMB"
"CLMB",90,"204","152","CLMB"
"CLMB",91,"221","162","CLMB"
"CLMB",93,"209","182","CLMB"
"CLMB",94,"181","144","CLMB"
"CLMB",95,"*","*","CLMB"
"CLMB",96,"*","*","CLMB"
"CLMB",97,"187","164","CLMB"
"CLMB",98,"*","*","CLMB"
"CLMB",99,"200","134","CLMB"
"CLMB",100,"202","161","CLMB"
"CLMB",101,"*","*","CLMB"
"CLMB",102,"200","144","CLMB"
"CLMB",103,"200","159","CLMB"
"CLMB",104,"179","138","CLMB"
"CLMB",105,"207","191","CLMB"
"CLMB",106,"193","162","CLMB"
"CLMB",107,"197","165","CLMB"
"CLMB",108,"*","*","CLMB"
"CLMB",110,"183","160","CLMB"
"CLMB",111,"176","149","CLMB"
"CLMB",112,"190","162","CLMB"
"CLMB",113,"200","160","CLMB"
"CLMB",114,"209","161","CLMB"
"CLMB",115,"*","*","CLMB"
"CLMB",116,"200","172","CLMB"
"CLMB",117,"200","162","CLMB"
"CLMB",118,"193","161","CLMB"
"CLMB",119,"207","147","CLMB"
"CLMB",120,"187","163","CLMB"
"CLMB",122,"179","143","CLMB"
"CLMB",123,"211","144","CLMB"
"CLMB",125,"197","149","CLMB"
"CLMB",126,"*","*","CLMB"
"CLMB",127,"*","*","CLMB"
"CLMB",128,"*","137","CLMB"
"CLMB",130,"200","147","CLMB"
"CLMB",131,"200","147","CLMB"
"CLMB",132,"*","164","CLMB"
"CLMB",134,"197","150","CLMB"
"CLMB",135,"197","168","CLMB"
"CLMB",136,"*","*","CLMB"
"CLMB",137,"200","171","CLMB"
"CLMB",138,"*","*","CLMB"
"CLMB",139,"*","*","CLMB"
"CLMB",141,"190","154","CLMB"
"CLMB",142,"211","135","CLMB"
"CLMB",143,"221","191","CLMB"
"CLMB",144,"*","*","CLMB"
"CLMB",145,"200","156","CLMB"
"CLMB",146,"*","*","CLMB"
"CLMB",147,"193","155","CLMB"
"CLMB",148,"*","*","CLMB"
"CLMB",150,"179","141","CLMB"
"CLMB",151,"190","152","CLMB"
"CLMB",152,"*","*","CLMB"
"CLMB",153,"*","161","CLMB"
"CLMB",154,"202","150","CLMB"
"CLMB",155,"200","159","CLMB"
"CLMB",156,"204","155","CLMB"
"CLMB",157,"207","130","CLMB"
"CLMB",158,"181","136","CLMB"
"CLMB",159,"197","157","CLMB"
"CLMB",160,"*","*","CLMB"
"CLMB",161,"197","156","CLMB"
"CLMB",163,"197","134","CLMB"
"CLMB",164,"197","148","CLMB"
"CLMB",165,"*","*","CLMB"
"CLMB",166,"207","178","CLMB"
"CLMB",167,"190","147","CLMB"
"CLMB",168,"193","159","CLMB"
"CLMB",169,"*","*","CLMB"
"CLMB",170,"187","147","CLMB"
"CLMB",171,"197","139","CLMB"
"CLMB",172,"209","161","CLMB"
"CLMB",173,"204","126","CLMB"
"CLMB",174,"216","144","CLMB"
"CLMB",175,"202","170","CLMB"
"CLMB",176,"193","155","CLMB"
"CLMB",177,"200","145","CLMB"
"CLMB",178,"204","159","CLMB"
"CLMB",179,"190","159","CLMB"
"CLMB",180,"190","153","CLMB"
"CLMB",181,"193","146","CLMB"
"CLMB",182,"202","183","CLMB"
"CLMB",184,"193","142","CLMB"
"CLMB",185,"176","147","CLMB"
"CLMB",186,"209","162","CLMB"
"CLMB",187,"200","119","CLMB"
"CLMB",188,"197","166","CLMB"
"CLMB",189,"*","*","CLMB"
"CLMB",190,"*","*","CLMB"
"CLMB",191,"187","150","CLMB"
"CLMB",192,"202","150","CLMB"
"CLMB",193,"223","170","CLMB"
"CLMB",194,"223","178","CLMB"
"CLMB",195,"181","159","CLMB"
"CLMB",196,"207","156","CLMB"
"CLMB",197,"202","161","CLMB"
"CLMB",198,"200","178","CLMB"
"CLMB",199,"193","163","CLMB"
"CLMB",200,"190","148","CLMB"
"CLMB",201,"*","*","CLMB"
"CLMB",202,"*","*","CLMB"
"CLMB",203,"193","135","CLMB"
"CLMB",204,"179","127","CLMB"
"CLMB",205,"*","*","CLMB"
"CLMB",206,"*","*","CLMB"
"CLMB",207,"190","144","CLMB"
"CLMB",208,"*","*","CLMB"
"CLMB",209,"179","126","CLMB"
"CLMB",210,"207","161","CLMB"
"CLMB",211,"204","161","CLMB"
"CLMB",212,"190","147","CLMB"
"CLMB",213,"210","190","CLMB"
"CLMB",214,"*","*","CLMB"
"CLMB",215,"211","148","CLMB"
"CLMB",216,"209","169","CLMB"
"CLMB",217,"*","*","CLMB"
"CLMB",218,"209","150","CLMB"
"CLMB",219,"209","136","CLMB"
"CLMB",220,"*","*","CLMB"
"CLMB",221,"181","146","CLMB"
"CLMB",222,"193","163","CLMB"
"CLMB",223,"202","149","CLMB"
"CLMB",224,"193","168","CLMB"
"CLMB",225,"187","164","CLMB"
"CLMB",226,"202","141","CLMB"
"CLMB",227,"190","142","CLMB"
"CLMB",228,"190","155","CLMB"
"CLMB",229,"197","157","CLMB"
"CLMB",230,"*","*","CLMB"
"CLMB",231,"179","146","CLMB"
"CLMB",232,"197","164","CLMB"
"CLMB",233,"193","140","CLMB"
"CLMB",234,"200","171","CLMB"
"CLMB",235,"188.5","143","CLMB"
"CLMB",236,"204","138","CLMB"
"CLMB",237,"200","165","CLMB"
"CLMB",238,"193","151","CLMB"
"CLMB",239,"207","168","CLMB"
"CLMB",240,"190","154","CLMB"
"CLMB",241,"207","164","CLMB"
"CLMB",242,"179","145","CLMB"
"CLMB",243,"190","142","CLMB"
"CLMB",244,"193","190","CLMB"
"CLMB",245,"197","158","CLMB"
"CLMB",246,"193","151","CLMB"
"CLMB",247,"207","163","CLMB"
"CLMB",248,"225","160","CLMB"
"CLMB",249,"193","159","CLMB"
"CLMB",250,"209","168","CLMB"
"CLMB",251,"209","166","CLMB"
"CLMB",252,"202","157","CLMB"
"CLMB",253,"181","164","CLMB"
"CLMB",254,"183","138","CLMB"
"CLMB",255,"187","159","CLMB"
"CLMB",256,"207","171","CLMB"
"CLMB",257,"*","153","CLMB"
"CLMB",258,"179","143","CLMB"
"CLMB",259,"*","*","CLMB"
"CLMB",260,"183","156","CLMB"
"CLMB",261,"197","170","CLMB"
"CLMB",262,"193","147","CLMB"
"CLMB",263,"202","160","CLMB"
"CLMB",264,"207","177","CLMB"
"CLMB",265,"190","141","CLMB"
"CLMB",266,"*","*","CLMB"
"CLMB",267,"197","161","CLMB"
"CLMB",268,"*","*","CLMB"
"CLMB",269,"183","115","CLMB"
"CLMB",270,"193","184","CLMB"
"CLMB",271,"207","149","CLMB"
"CLMB",272,"190","161","CLMB"
"CLMB",273,"*","*","CLMB"
"CLMB",274,"193","164","CLMB"
"CLMB",275,"193","152","CLMB"
"CLMB",276,"*","*","CLMB"
"CLMB",277,"200","148","CLMB"
"CLMB",278,"207","157","CLMB"
"CLMB",279,"202","131","CLMB"
"CLMB",280,"*","*","CLMB"
"CLMB",281,"*","*","CLMB"
"CLMB",282,"181","133.5","CLMB"
"CLMB",283,"*","*","CLMB"
"CLMB",284,"179","157","CLMB"
"CLMB",285,"202","174","CLMB"
"CLMB",286,"181","146","CLMB"
"CLMB",287,"207","135","CLMB"
"CLMB",288,"211","132","CLMB"
"CLMB",289,"202","149","CLMB"
"CLMB",290,"197","171","CLMB"
"CLMB",291,"*","*","CLMB"
"CLMB",292,"216","192","CLMB"
"CLMB",293,"200","143","CLMB"
"CLMB",294,"181","150","CLMB"
"CLMB",296,"193","170","CLMB"
"CLMB",297,"207","134","CLMB"
"CLMB",298,"193","116","CLMB"
"CLMB",299,"202","135","CLMB"
"CLMB",300,"*","*","CLMB"
"CLMB",301,"187","161","CLMB"
"CLMB",302,"174","160","CLMB"
"CLMB",303,"207","180","CLMB"
"CLMB",304,"193","151","CLMB"
"CLMB",305,"190","161","CLMB"
"CLMB",306,"*","*","CLMB"
"CLMB",307,"200","170","CLMB"
"CLMB",308,"200","144","CLMB"
"CLMB",310,"204","151","CLMB"
"CLMB",311,"193","137","CLMB"
"CLMB",312,"209","148","CLMB"
"CLMB",313,"193","181","CLMB"
"CLMB",314,"176","145","CLMB"
"CLMB",315,"193","161","CLMB"
"CLMB",316,"*","*","CLMB"
"CLMB",317,"197","145","CLMB"
"CLMB",318,"193","159","CLMB"
"CLMB",319,"179","140","CLMB"
"CLMB",320,"193","152","CLMB"
"CLMB",322,"204","147","CLMB"
"CLMB",323,"190","153","CLMB"
"CLMB",324,"190","145","CLMB"
"CLMB",325,"207","161","CLMB"
"CLMB",326,"200","155","CLMB"
"CLMB",327,"*","*","CLMB"
"CLMB",328,"200","190","CLMB"
"CLMB",330,"190","156","CLMB"
"CLMB",332,"193","144","CLMB"
"CLMB",333,"*","146","CLMB"
"CLMB",334,"200","166","CLMB"
"CLMB",335,"*","*","CLMB"
"CLMB",336,"209","160","CLMB"
"CLMB",337,"181","140","CLMB"
"CLMB",338,"211","168","CLMB"
"CLMB",339,"190","141","CLMB"
"CLMB",340,"*","*","CLMB"
"CLMB",341,"183","135","CLMB"
"CLMB",342,"183","147","CLMB"
"CLMB",343,"187","146","CLMB"
"CLMB",344,"*","*","CLMB"
"CLMB",345,"183","129","CLMB"
"CLMB",346,"*","*","CLMB"
"CLMB",347,"179","122","CLMB"
"CLMB",349,"*","*","CLMB"
"CLMB",350,"202","160","CLMB"
"CLMB",352,"209","142","CLMB"
"CLMB",353,"209","188","CLMB"
"CLMB",354,"204","150","CLMB"
"CLMB",355,"207","147","CLMB"
"CLMB",356,"190","154","CLMB"
"CLMB",358,"193","158","CLMB"
"CLMB",359,"209","170","CLMB"
"CLMB",360,"187","160","CLMB"
"CLMB",361,"187","131","CLMB"
"CLMB",362,"*","*","CLMB"
"CLMB",363,"*","*","CLMB"
"CLMB",364,"197","158","CLMB"
"CLMB",365,"190","161","CLMB"
"CLMB",366,"202","175","CLMB"
"CLMB",367,"200","142","CLMB"
"CLMB",368,"190","142","CLMB"
"CLMB",369,"*","*","CLMB"
"CLMB",370,"202","166","CLMB"
