"SITE","LINE","LEN","PRM","SEC","SITE2"
"CLMB",83,"48.5","26","10.5","CLMB"
"CLMB",84,"*","*","*","CLMB"
"CLMB",85,"42","19","9","CLMB"
"CLMB",86,"41.25","27","10.5","CLMB"
"CLMB",87,"40","25","10","CLMB"
"CLMB",88,"47","34.5","13","CLMB"
"CLMB",89,"38.25","35.5","10.5","CLMB"
"CLMB",90,"42.75","33","12.5","CLMB"
"CLMB",91,"43.75","34","11","CLMB"
"CLMB",93,"41","29.5","14","CLMB"
"CLMB",94,"33.5","32.5","11","CLMB"
"CLMB",95,"*","*","*","CLMB"
"CLMB",96,"*","*","*","CLMB"
"CLMB",97,"50","26.5","12","CLMB"
"CLMB",99,"37.5","22.5","10.5","CLMB"
"CLMB",100,"38.25","21","11","CLMB"
"CLMB",101,"*","*","*","CLMB"
"CLMB",102,"39.75","20.5","11.5","CLMB"
"CLMB",103,"48.25","33.5","15.5","CLMB"
"CLMB",104,"36.25","21.5","10","CLMB"
"CLMB",105,"46.75","23","10.5","CLMB"
"CLMB",106,"49.25","25","10","CLMB"
"CLMB",107,"48.5","26.5","11.5","CLMB"
"CLMB",110,"42.5","26.5","11","CLMB"
"CLMB",111,"32","23.5","10.5","CLMB"
"CLMB",112,"45.5","25","25","CLMB"
"CLMB",113,"50.75","30.5","14","CLMB"
"CLMB",114,"49.5","30.5","11.5","CLMB"
"CLMB",115,"*","*","*","CLMB"
"CLMB",116,"49.25","30.5","10","CLMB"
"CLMB",117,"41.5","30.5","11.5","CLMB"
"CLMB",118,"49.5","29","11","CLMB"
"CLMB",119,"44.25","30","14.5","CLMB"
"CLMB",120,"41.25","28.5","12.5","CLMB"
"CLMB",122,"40.25","28","11.5","CLMB"
"CLMB",123,"46.5","20","10.5","CLMB"
"CLMB",125,"37.5","19","9","CLMB"
"CLMB",126,"*","*","*","CLMB"
"CLMB",127,"*","*","*","CLMB"
"CLMB",128,"41.5","28.5","11","CLMB"
"CLMB",130,"51.75","20","11.5","CLMB"
"CLMB",131,"42.75","25","10","CLMB"
"CLMB",132,"50.5","23.5","12.5","CLMB"
"CLMB",134,"57.75","44","13","CLMB"
"CLMB",135,"39.25","23.5","9.5","CLMB"
"CLMB",136,"*","*","*","CLMB"
"CLMB",137,"56","31.5","13","CLMB"
"CLMB",138,"*","*","*","CLMB"
"CLMB",139,"*","*","*","CLMB"
"CLMB",141,"40.25","27.5","12.5","CLMB"
"CLMB",142,"43.75","31.5","12.5","CLMB"
"CLMB",143,"41.5","36.5","13","CLMB"
"CLMB",144,"*","*","*","CLMB"
"CLMB",145,"32.25","28","10","CLMB"
"CLMB",146,"*","*","*","CLMB"
"CLMB",147,"44.25","26.5","14","CLMB"
"CLMB",148,"*","*","*","CLMB"
"CLMB",150,"34.5","25.5","9.5","CLMB"
"CLMB",151,"52.25","28","11.5","CLMB"
"CLMB",152,"*","*","*","CLMB"
"CLMB",153,"45","34","11","CLMB"
"CLMB",154,"40","25","11.5","CLMB"
"CLMB",155,"40.5","34.5","11","CLMB"
"CLMB",156,"35.75","23.5","10","CLMB"
"CLMB",157,"30.5","18.5","9.5","CLMB"
"CLMB",158,"40.5","20","11","CLMB"
"CLMB",159,"45","31.5","14","CLMB"
"CLMB",161,"40.5","33","13.5","CLMB"
"CLMB",163,"41.25","23","10.5","CLMB"
"CLMB",164,"45.25","27","11","CLMB"
"CLMB",166,"68","40","16","CLMB"
"CLMB",167,"51","29","13","CLMB"
"CLMB",168,"48.25","32","13","CLMB"
"CLMB",169,"*","*","*","CLMB"
"CLMB",170,"50","30","12","CLMB"
"CLMB",171,"39.75","22","10.5","CLMB"
"CLMB",172,"47","34.5","16.5","CLMB"
"CLMB",173,"42","18.5","10.5","CLMB"
"CLMB",174,"38.5","24","10.5","CLMB"
"CLMB",175,"62.75","41.5","15","CLMB"
"CLMB",176,"53.5","36.5","14.5","CLMB"
"CLMB",177,"44.5","25","11","CLMB"
"CLMB",178,"53.5","34","10","CLMB"
"CLMB",179,"51","23.5","7.5","CLMB"
"CLMB",180,"46.5","29","9.5","CLMB"
"CLMB",181,"42.5","23","12","CLMB"
"CLMB",182,"41.75","25.5","12","CLMB"
"CLMB",184,"60.5","30","14.5","CLMB"
"CLMB",185,"34.5","22","11","CLMB"
"CLMB",186,"47.25","37","12.5","CLMB"
"CLMB",187,"34.25","23","11.5","CLMB"
"CLMB",188,"50.5","31.5","21","CLMB"
"CLMB",189,"*","*","*","CLMB"
"CLMB",190,"*","*","*","CLMB"
"CLMB",191,"26.25","29","10.5","CLMB"
"CLMB",192,"46.5","30.5","13.5","CLMB"
"CLMB",193,"53.25","29","11.5","CLMB"
"CLMB",194,"58.75","32","13.5","CLMB"
"CLMB",195,"44.25","23.5","11","CLMB"
"CLMB",196,"37.25","28.5","15.5","CLMB"
"CLMB",197,"29.75","21","8","CLMB"
"CLMB",198,"47.25","26.5","12.5","CLMB"
"CLMB",199,"47.25","26","13.5","CLMB"
"CLMB",200,"38.75","30","13","CLMB"
"CLMB",201,"*","*","*","CLMB"
"CLMB",203,"39.25","27","11","CLMB"
"CLMB",204,"33.5","17.5","8","CLMB"
"CLMB",205,"*","*","*","CLMB"
"CLMB",207,"38.25","23.5","8.5","CLMB"
"CLMB",208,"*","*","*","CLMB"
"CLMB",209,"40.75","26","13.5","CLMB"
"CLMB",210,"51.5","29","15.5","CLMB"
"CLMB",211,"46.5","24.5","10","CLMB"
"CLMB",212,"35","22.5","9.5","CLMB"
"CLMB",213,"59.25","25","10.5","CLMB"
"CLMB",214,"*","*","*","CLMB"
"CLMB",215,"36.25","34.5","13","CLMB"
"CLMB",216,"38.75","38","20","CLMB"
"CLMB",217,"*","*","*","CLMB"
"CLMB",218,"43.25","32.5","13.5","CLMB"
"CLMB",219,"42.5","28.5","13.5","CLMB"
"CLMB",220,"*","*","*","CLMB"
"CLMB",221,"34.5","24","9.5","CLMB"
"CLMB",222,"55","25","11","CLMB"
"CLMB",223,"40.5","26.5","12","CLMB"
"CLMB",224,"48","27","12.5","CLMB"
"CLMB",225,"36.5","23","11.5","CLMB"
"CLMB",226,"41.75","34.5","11.5","CLMB"
"CLMB",227,"43","28.5","11.5","CLMB"
"CLMB",228,"39.75","23.5","11","CLMB"
"CLMB",229,"54.25","34.5","14","CLMB"
"CLMB",230,"*","*","*","CLMB"
"CLMB",231,"43.5","25","11.5","CLMB"
"CLMB",232,"37.5","32.5","16","CLMB"
"CLMB",233,"52.75","27","12","CLMB"
"CLMB",234,"30.5","23","9.5","CLMB"
"CLMB",235,"40.875","30.5","11.75","CLMB"
"CLMB",236,"45.75","26","11.5","CLMB"
"CLMB",237,"52.5","25.5","14.5","CLMB"
"CLMB",238,"44.25","33.5","12.5","CLMB"
"CLMB",239,"47.25","26","13","CLMB"
"CLMB",240,"36.5","33.5","12","CLMB"
"CLMB",241,"43.5","23","12","CLMB"
"CLMB",242,"32.75","20.5","10","CLMB"
"CLMB",243,"44.25","22","13.5","CLMB"
"CLMB",244,"49.5","37","12.5","CLMB"
"CLMB",245,"44.75","27","11","CLMB"
"CLMB",246,"45.75","23","10","CLMB"
"CLMB",247,"49.75","35.5","17","CLMB"
"CLMB",248,"47","30","11","CLMB"
"CLMB",249,"47.75","30.5","17.5","CLMB"
"CLMB",250,"50.25","35","15","CLMB"
"CLMB",251,"48","*","11","CLMB"
"CLMB",252,"43","26.5","10.5","CLMB"
"CLMB",253,"34.5","27","8","CLMB"
"CLMB",254,"40.5","25","25","CLMB"
"CLMB",255,"42.5","24","11","CLMB"
"CLMB",256,"47.75","31","12.5","CLMB"
"CLMB",257,"38.75","28.5","11.5","CLMB"
"CLMB",258,"50.5","23","10.5","CLMB"
"CLMB",259,"*","*","*","CLMB"
"CLMB",260,"38.25","32","11.5","CLMB"
"CLMB",261,"38.75","25","11.5","CLMB"
"CLMB",262,"51.25","35","15","CLMB"
"CLMB",263,"47.25","32.5","12","CLMB"
"CLMB",264,"44.25","22.5","12","CLMB"
"CLMB",265,"33","25.5","10.5","CLMB"
"CLMB",267,"46","31","14","CLMB"
"CLMB",268,"*","*","*","CLMB"
"CLMB",269,"35.75","24","9","CLMB"
"CLMB",270,"46.75","42.5","17.5","CLMB"
"CLMB",271,"37.25","33","12","CLMB"
"CLMB",272,"42.75","28.5","12","CLMB"
"CLMB",273,"*","*","*","CLMB"
"CLMB",274,"43.25","35","10","CLMB"
"CLMB",275,"41.75","21","9.5","CLMB"
"CLMB",276,"*","*","*","CLMB"
"CLMB",277,"43.5","29","14","CLMB"
"CLMB",278,"34.5","29","11","CLMB"
"CLMB",279,"36.5","19","9.5","CLMB"
"CLMB",281,"*","*","*","CLMB"
"CLMB",282,"28.625","22.25","9.75","CLMB"
"CLMB",283,"*","*","*","CLMB"
"CLMB",284,"54","16","11","CLMB"
"CLMB",285,"51.25","36","17","CLMB"
"CLMB",286,"38.25","25.5","11","CLMB"
"CLMB",287,"39.5","21.5","13.5","CLMB"
"CLMB",288,"37","32.5","15","CLMB"
"CLMB",289,"45.75","31","14","CLMB"
"CLMB",290,"52.25","29","11.5","CLMB"
"CLMB",292,"42.5","27","11.5","CLMB"
"CLMB",293,"34.5","19","9.5","CLMB"
"CLMB",294,"39.5","18","10.5","CLMB"
"CLMB",296,"48.25","37.5","14.5","CLMB"
"CLMB",297,"40","23.5","12","CLMB"
"CLMB",298,"38","30.5","12","CLMB"
"CLMB",299,"42.5","26","11","CLMB"
"CLMB",300,"*","*","*","CLMB"
"CLMB",301,"41.5","27","13.5","CLMB"
"CLMB",302,"38.25","23.5","11","CLMB"
"CLMB",303,"51","29","13","CLMB"
"CLMB",304,"40.25","21.5","9.5","CLMB"
"CLMB",305,"37.75","28","13","CLMB"
"CLMB",306,"*","*","*","CLMB"
"CLMB",307,"35.5","25","10","CLMB"
"CLMB",308,"45.25","26.5","13.5","CLMB"
"CLMB",310,"35.5","24","15","CLMB"
"CLMB",311,"37.25","30","12","CLMB"
"CLMB",312,"30","36","12","CLMB"
"CLMB",313,"40.25","26","12","CLMB"
"CLMB",314,"35.5","21.5","11","CLMB"
"CLMB",315,"35","25.5","11.5","CLMB"
"CLMB",317,"30.75","22","8","CLMB"
"CLMB",318,"46.25","23","12","CLMB"
"CLMB",319,"45.75","31","15.5","CLMB"
"CLMB",320,"50.75","25.5","10.5","CLMB"
"CLMB",322,"53.5","34.5","15.5","CLMB"
"CLMB",323,"39","28","10","CLMB"
"CLMB",324,"42","27.5","13","CLMB"
"CLMB",325,"39.5","27","11.5","CLMB"
"CLMB",326,"42.75","35.5","11","CLMB"
"CLMB",328,"52.75","34","13.5","CLMB"
"CLMB",330,"38.5","20.5","10","CLMB"
"CLMB",332,"45.5","25","11.5","CLMB"
"CLMB",333,"48","35","15","CLMB"
"CLMB",334,"53","28.5","11.5","CLMB"
"CLMB",335,"*","*","*","CLMB"
"CLMB",336,"53","30.5","14","CLMB"
"CLMB",337,"42.25","21.5","10.5","CLMB"
"CLMB",338,"40.5","27.5","11.5","CLMB"
"CLMB",339,"43.5","31","14","CLMB"
"CLMB",340,"*","*","*","CLMB"
"CLMB",341,"39","25.5","10.5","CLMB"
"CLMB",342,"36","19.5","9.5","CLMB"
"CLMB",343,"42.5","23","11","CLMB"
"CLMB",345,"44.75","18.5","10.5","CLMB"
"CLMB",346,"*","*","*","CLMB"
"CLMB",347,"39.25","31.5","13","CLMB"
"CLMB",349,"*","*","*","CLMB"
"CLMB",350,"51","34","11","CLMB"
"CLMB",352,"44.25","20.5","10.5","CLMB"
"CLMB",353,"44.25","31","11","CLMB"
"CLMB",354,"32.75","36","12","CLMB"
"CLMB",355,"45.5","22","9","CLMB"
"CLMB",356,"38","18.5","10.5","CLMB"
"CLMB",358,"33.5","22","9","CLMB"
"CLMB",359,"43.75","28.5","10.5","CLMB"
"CLMB",360,"33","21.5","10.5","CLMB"
"CLMB",361,"36","29.5","10","CLMB"
"CLMB",363,"*","*","*","CLMB"
"CLMB",364,"53","34.5","15","CLMB"
"CLMB",365,"43.75","22.5","11.5","CLMB"
"CLMB",366,"58","24","12","CLMB"
"CLMB",367,"46.25","29","11.5","CLMB"
"CLMB",368,"33.75","20.5","8.5","CLMB"
"CLMB",369,"*","*","*","CLMB"
"CLMB",370,"46.75","32","12","CLMB"
"CLMB",371,"44.25","28","10","CLMB"
"CLMB",372,"*","*","*","CLMB"
"CLMB",373,"48","21.5","11","CLMB"
"CLMB",374,"37.25","24.5","12","CLMB"
"CLMB",375,"43","30","11","CLMB"
"CLMB",377,"45","33","9.5","CLMB"
"CLMB",378,"55","24","12.5","CLMB"
"CLMB",379,"43","27.5","13.5","CLMB"
"CLMB",380,"45.25","34.5","15.5","CLMB"
"CLMB",381,"38.5","32","12","CLMB"
"CLMB",382,"45.75","19.5","11.5","CLMB"
"CLMB",383,"38.5","33","10","CLMB"
"CLMB",384,"*","*","*","CLMB"
"CLMB",386,"43.75","24.5","10.5","CLMB"
"CLMB",388,"42.5","22.5","11.5","CLMB"
"CLMB",389,"36.25","27","13.5","CLMB"
"CLMB",390,"44.5","29","12","CLMB"
"CLMB",391,"*","*","*","CLMB"
"CLMB",392,"47.25","29","12.5","CLMB"
"CLMB",393,"49.25","26","12.5","CLMB"
"CLMB",394,"*","*","*","CLMB"
"CLMB",395,"37.25","27","12.5","CLMB"
"CLMB",396,"46.5","28.5","13.5","CLMB"
"CLMB",397,"48","32","12","CLMB"
"CLMB",398,"50.75","32","16","CLMB"
"CLMB",399,"48.25","20","10","CLMB"
"CLMB",400,"44.75","31.5","11.5","CLMB"
"CLMB",402,"59.75","28.5","13","CLMB"
"CLMB",403,"42.75","30.5","12","CLMB"
"CLMB",404,"51","32","13","CLMB"
"KBSM",1,"38.5","27","12.5","KBSM"
"KBSM",2,"41","27","12.5","KBSM"
"KBSM",3,"34","33","10.5","KBSM"
"KBSM",4,"39.75","23.5","12","KBSM"
"KBSM",5,"45.5","28.5","13","KBSM"
"KBSM",7,"32.75","26","12.5","KBSM"
"KBSM",8,"41.75","28.5","14.5","KBSM"
"KBSM",9,"37.75","20","11","KBSM"
"KBSM",10,"42.25","22.5","12","KBSM"
"KBSM",11,"44.25","31","14.5","KBSM"
"KBSM",12,"47.75","27","12.5","KBSM"
"KBSM",13,"*","*","*","KBSM"
"KBSM",14,"40","31","13","KBSM"
"KBSM",15,"41.75","31","17","KBSM"
"KBSM",16,"*","*","*","KBSM"
"KBSM",17,"44.5","23.5","14.5","KBSM"
"KBSM",18,"40.25","21.5","12.5","KBSM"
"KBSM",19,"47.75","22","13","KBSM"
"KBSM",20,"37","26","14","KBSM"
"KBSM",21,"*","*","*","KBSM"
"KBSM",22,"42.25","22","12","KBSM"
"KBSM",23,"55.75","29","15","KBSM"
"KBSM",24,"*","*","*","KBSM"
"KBSM",25,"40","22","13","KBSM"
"KBSM",26,"54.5","33","18.5","KBSM"
"KBSM",27,"*","*","*","KBSM"
"KBSM",28,"49","29.5","13.5","KBSM"
"KBSM",29,"43.25","31","14.5","KBSM"
"KBSM",30,"52.5","26.5","12","KBSM"
"KBSM",31,"37.75","24.5","11.5","KBSM"
"KBSM",32,"53.5","27","14","KBSM"
"KBSM",33,"43.75","28.5","13","KBSM"
"KBSM",34,"42","31","14","KBSM"
"KBSM",35,"48.25","28","14.5","KBSM"
"KBSM",36,"49.5","33","19.5","KBSM"
"KBSM",37,"37.75","29.5","14.5","KBSM"
"KBSM",38,"34.25","28","14","KBSM"
"KBSM",39,"39","35.5","14.5","KBSM"
"KBSM",40,"46","30","14.5","KBSM"
"KBSM",41,"45.5","21","12","KBSM"
"KBSM",42,"35.5","27","12","KBSM"
"KBSM",43,"41.25","28.5","13","KBSM"
"KBSM",44,"31.25","25.5","13","KBSM"
"KBSM",46,"42.75","30","14","KBSM"
"KBSM",48,"41.5","26.5","14.5","KBSM"
"KBSM",49,"*","*","*","KBSM"
"KBSM",50,"*","*","*","KBSM"
"KBSM",52,"39","19.5","12","KBSM"
"KBSM",53,"31.5","29.5","13.5","KBSM"
"KBSM",54,"53.75","35","18","KBSM"
"KBSM",55,"39.5","25.5","14","KBSM"
"KBSM",56,"49.75","24","13.5","KBSM"
"KBSM",57,"53.75","24.5","13.5","KBSM"
"KBSM",59,"*","*","*","KBSM"
"KBSM",60,"*","*","*","KBSM"
"KBSM",61,"47.5","25.5","17","KBSM"
"KBSM",62,"51.75","31","17","KBSM"
"KBSM",63,"*","*","*","KBSM"
"KBSM",64,"31.25","25.5","11","KBSM"
"KBSM",65,"42","36","15","KBSM"
"KBSM",66,"56.5","27.5","15.5","KBSM"
"KBSM",67,"39","26.5","13","KBSM"
"KBSM",68,"42.75","31","19.5","KBSM"
"KBSM",69,"35.75","33","14.5","KBSM"
"KBSM",70,"49","27","13.5","KBSM"
"KBSM",71,"*","*","*","KBSM"
"KBSM",72,"41.5","33.5","15","KBSM"
"KBSM",73,"37","29","16.5","KBSM"
"KBSM",74,"51.5","39","23.5","KBSM"
"KBSM",75,"*","*","*","KBSM"
"KBSM",76,"*","*","*","KBSM"
"KBSM",77,"*","*","*","KBSM"
"KBSM",78,"54.75","35","13.5","KBSM"
"KBSM",79,"45.5","25","14.5","KBSM"
"KBSM",80,"44.75","27","11","KBSM"
"KBSM",81,"42.75","19","13","KBSM"
"KBSM",83,"43.5","27.5","12","KBSM"
"KBSM",84,"*","*","*","KBSM"
"KBSM",85,"49.25","21","11.5","KBSM"
"KBSM",86,"47.75","33","15","KBSM"
"KBSM",87,"33.5","28.5","12","KBSM"
"KBSM",88,"47","38","18.5","KBSM"
"KBSM",89,"48.25","36.5","13.5","KBSM"
"KBSM",90,"42","32.5","13.5","KBSM"
"KBSM",91,"47.75","33.5","18.5","KBSM"
"KBSM",93,"37.5","26.5","14","KBSM"
"KBSM",94,"38.25","31","11.5","KBSM"
"KBSM",95,"39.5","23","12.5","KBSM"
"KBSM",96,"37","26","11","KBSM"
"KBSM",97,"55","31","14.5","KBSM"
"KBSM",99,"41.25","26.5","12","KBSM"
"KBSM",100,"48.5","27.5","13","KBSM"
"KBSM",101,"44","24.5","12","KBSM"
"KBSM",102,"*","*","*","KBSM"
"KBSM",103,"45.75","37","17","KBSM"
"KBSM",104,"42","25","11.5","KBSM"
"KBSM",105,"52","27.5","13.5","KBSM"
"KBSM",106,"42.25","28.5","11","KBSM"
"KBSM",107,"45.5","24.5","13.5","KBSM"
"KBSM",110,"39.75","30.5","12","KBSM"
"KBSM",111,"41","29","12.5","KBSM"
"KBSM",112,"49","26.5","14","KBSM"
"KBSM",113,"*","*","*","KBSM"
"KBSM",114,"49.25","32","15","KBSM"
"KBSM",115,"47.5","30","12","KBSM"
"KBSM",116,"47.25","28.5","12.5","KBSM"
"KBSM",117,"41.5","30.5","15","KBSM"
"KBSM",118,"42.25","29","14.5","KBSM"
"KBSM",119,"48.75","36","16","KBSM"
"KBSM",120,"*","*","*","KBSM"
"KBSM",122,"38","23","11","KBSM"
"KBSM",123,"47.5","28.5","16","KBSM"
"KBSM",125,"45","22","11","KBSM"
"KBSM",126,"44.5","21","11","KBSM"
"KBSM",127,"42.5","23.5","12.5","KBSM"
"KBSM",128,"47.75","30.5","13.5","KBSM"
"KBSM",130,"41.75","21.5","13","KBSM"
"KBSM",131,"39.75","33.5","13","KBSM"
"KBSM",132,"54.25","26","12.5","KBSM"
"KBSM",134,"48.75","43","15.5","KBSM"
"KBSM",135,"48.75","24","13.5","KBSM"
"KBSM",136,"51.25","31","20.5","KBSM"
"KBSM",137,"48.25","26.5","15","KBSM"
"KBSM",138,"*","*","*","KBSM"
"KBSM",139,"37.5","36","15","KBSM"
"KBSM",141,"*","*","*","KBSM"
"KBSM",142,"34.5","28","14","KBSM"
"KBSM",143,"39.5","37","14","KBSM"
"KBSM",144,"48","24","13","KBSM"
"KBSM",145,"47.5","28","13.5","KBSM"
"KBSM",146,"*","*","*","KBSM"
"KBSM",147,"42","26","14","KBSM"
"KBSM",148,"34.5","17.5","9.5","KBSM"
"KBSM",150,"38","27.5","15","KBSM"
"KBSM",151,"49.25","29.5","16.5","KBSM"
"KBSM",152,"43.75","32","14","KBSM"
"KBSM",153,"47.5","37.5","14","KBSM"
"KBSM",154,"44","29","16","KBSM"
"KBSM",155,"43.5","30.5","14.5","KBSM"
"KBSM",156,"33.75","24","14","KBSM"
"KBSM",157,"33.5","19.5","11.5","KBSM"
"KBSM",158,"39.75","23.5","13","KBSM"
"KBSM",159,"40.25","29","14","KBSM"
"KBSM",161,"38.5","30","19.5","KBSM"
"KBSM",163,"38.75","25","15","KBSM"
"KBSM",164,"52.75","35.5","17.5","KBSM"
"KBSM",166,"69","41","15","KBSM"
"KBSM",167,"45.5","31","15.5","KBSM"
"KBSM",168,"47","31.5","15","KBSM"
"KBSM",169,"*","*","*","KBSM"
"KBSM",170,"51.5","29","15","KBSM"
"KBSM",171,"43.25","30","13.5","KBSM"
"KBSM",172,"42","33.5","14.5","KBSM"
"KBSM",173,"47.25","23","13","KBSM"
"KBSM",174,"39.25","24.5","15","KBSM"
"KBSM",175,"57.5","32.5","15.5","KBSM"
"KBSM",176,"51","33.5","15","KBSM"
"KBSM",177,"39","33","13","KBSM"
"KBSM",178,"58.75","34.5","17.5","KBSM"
"KBSM",179,"*","*","*","KBSM"
"KBSM",180,"*","*","*","KBSM"
"KBSM",181,"*","*","*","KBSM"
"KBSM",182,"47.5","28","15.5","KBSM"
"KBSM",184,"52.5","30","16.5","KBSM"
"KBSM",185,"37.25","25","13.5","KBSM"
"KBSM",186,"*","*","*","KBSM"
"KBSM",187,"45.5","26","12","KBSM"
"KBSM",188,"49.25","30.5","14","KBSM"
"KBSM",189,"47.25","31.5","14","KBSM"
"KBSM",190,"35.5","25","12","KBSM"
"KBSM",191,"36","30.5","13","KBSM"
"KBSM",192,"*","*","*","KBSM"
"KBSM",193,"55","34","13.5","KBSM"
"KBSM",194,"49.75","33","13.5","KBSM"
"KBSM",195,"37.75","24","11","KBSM"
"KBSM",196,"41","35.5","16.5","KBSM"
"KBSM",197,"46.75","26.5","13","KBSM"
"KBSM",198,"46.25","27","11","KBSM"
"KBSM",199,"36.25","26","12","KBSM"
"KBSM",200,"56.5","28.5","16","KBSM"
"KBSM",201,"47","29","12.5","KBSM"
"KBSM",203,"41.25","31","12","KBSM"
"KBSM",204,"37.25","32.5","14","KBSM"
"KBSM",205,"45.5","23.5","14","KBSM"
"KBSM",207,"42.5","31","13","KBSM"
"KBSM",208,"39.5","27","14","KBSM"
"KBSM",209,"*","*","*","KBSM"
"KBSM",210,"51","32.5","17","KBSM"
"KBSM",211,"*","*","*","KBSM"
"KBSM",212,"*","*","*","KBSM"
"KBSM",213,"53","24","13.5","KBSM"
"KBSM",214,"47","27.5","15","KBSM"
"KBSM",215,"40.5","37.5","13.5","KBSM"
"KBSM",216,"42.75","41.5","18","KBSM"
"KBSM",217,"44","25.5","11.5","KBSM"
"KBSM",218,"41.5","42","15","KBSM"
"KBSM",219,"*","*","*","KBSM"
"KBSM",220,"*","*","*","KBSM"
"KBSM",221,"44.25","23","11","KBSM"
"KBSM",222,"54","28","14.5","KBSM"
"KBSM",223,"43.5","31","13","KBSM"
"KBSM",224,"48.5","29","14","KBSM"
"KBSM",225,"*","*","*","KBSM"
"KBSM",226,"48.75","32.5","16.5","KBSM"
"KBSM",227,"44.25","33","19","KBSM"
"KBSM",228,"43.5","27.5","12.5","KBSM"
"KBSM",229,"54.5","31","19.5","KBSM"
"KBSM",230,"45.25","31.5","10.5","KBSM"
"KBSM",231,"*","*","*","KBSM"
"KBSM",232,"40.25","33.5","11.5","KBSM"
"KBSM",233,"*","*","*","KBSM"
"KBSM",234,"42.25","28.5","14","KBSM"
"KBSM",235,"42.5","34.5","12.5","KBSM"
"KBSM",236,"44","27","14","KBSM"
"KBSM",237,"51.25","21","15","KBSM"
"KBSM",238,"*","*","*","KBSM"
"KBSM",239,"45.25","30.5","17","KBSM"
"KBSM",240,"*","*","*","KBSM"
"KBSM",241,"*","*","*","KBSM"
"KBSM",242,"41.25","26","11.5","KBSM"
