"SITE","LINE","FL50","HT","TC","SITE2"
"BRKG",88,"210","168","212","BRKG"
"BRKG",89,"208","140","36","BRKG"
"BRKG",90,"218","158","110","BRKG"
"BRKG",91,"216","165","33","BRKG"
"BRKG",93,"208","174","126","BRKG"
"BRKG",94,"*","*","*","BRKG"
"BRKG",95,"216","165","196","BRKG"
"BRKG",96,"206","125","60","BRKG"
"BRKG",97,"207","160","45","BRKG"
"BRKG",98,"*","*","*","BRKG"
"BRKG",99,"210","146","115","BRKG"
"BRKG",100,"*","168","108","BRKG"
"BRKG",101,"*","162","116","BRKG"
"BRKG",102,"*","174","122","BRKG"
"BRKG",103,"211","165","152","BRKG"
"BRKG",104,"207","143","81","BRKG"
"BRKG",105,"218","180","176","BRKG"
"BRKG",106,"208","174","182","BRKG"
"BRKG",107,"211","189","122","BRKG"
"BRKG",108,"207","134","85","BRKG"
"BRKG",110,"208","168","74","BRKG"
"BRKG",111,"206","137","105","BRKG"
"BRKG",112,"208","168","136","BRKG"
"BRKG",113,"211","174","78","BRKG"
"BRKG",114,"*","*","*","BRKG"
"BRKG",115,"*","*","*","BRKG"
"BRKG",116,"208","171","114","BRKG"
"BRKG",117,"211","158","122","BRKG"
"BRKG",118,"208","158","97","BRKG"
"BRKG",119,"218","158","182","BRKG"
"BRKG",120,"208","152","87","BRKG"
"BRKG",122,"210","132.5","35.5","BRKG"
"BRKG",123,"201","149","167","BRKG"
"BRKG",125,"*","152","89","BRKG"
"BRKG",126,"205","140","133","BRKG"
"BRKG",127,"206","152","63","BRKG"
"BRKG",128,"207","143","47","BRKG"
"BRKG",130,"208","174","126","BRKG"
"BRKG",131,"206","152","182","BRKG"
"BRKG",132,"210","177","83","BRKG"
"BRKG",134,"*","154","60.5","BRKG"
"BRKG",135,"207","104","45","BRKG"
"BRKG",136,"186","122","5","BRKG"
"BRKG",137,"*","*","*","BRKG"
"BRKG",138,"212","168","*","BRKG"
"BRKG",139,"*","*","*","BRKG"
"BRKG",141,"208","143","121","BRKG"
"BRKG",142,"206","152","166","BRKG"
"BRKG",143,"*","192","95","BRKG"
"BRKG",144,"*","*","*","BRKG"
"BRKG",145,"207","162","76","BRKG"
"BRKG",146,"211","146","47","BRKG"
"BRKG",147,"207","165","121","BRKG"
"BRKG",148,"207","171","100","BRKG"
"BRKG",150,"205","143","74","BRKG"
"BRKG",151,"210","152","72","BRKG"
"BRKG",152,"*","*","*","BRKG"
"BRKG",153,"210","162","104","BRKG"
"BRKG",154,"216","183","103","BRKG"
"BRKG",155,"210","183","122","BRKG"
"BRKG",156,"204","149","127","BRKG"
"BRKG",157,"202","146","87","BRKG"
"BRKG",158,"208","134","165","BRKG"
"BRKG",159,"208","168","126","BRKG"
"BRKG",160,"212","143","124","BRKG"
"BRKG",161,"212","165","139","BRKG"
"BRKG",163,"219","131","57","BRKG"
"BRKG",164,"*","*","*","BRKG"
"BRKG",165,"210","158","76","BRKG"
"BRKG",166,"*","195","174","BRKG"
"BRKG",167,"*","*","*","BRKG"
"BRKG",168,"216","171","149","BRKG"
"BRKG",169,"208","165","69","BRKG"
"BRKG",170,"206","155","116","BRKG"
"BRKG",171,"207","149","155","BRKG"
"BRKG",172,"*","*","*","BRKG"
"BRKG",173,"206","134","82","BRKG"
"BRKG",174,"207","158","111","BRKG"
"BRKG",175,"*","195","208","BRKG"
"BRKG",176,"205","162","129","BRKG"
"BRKG",177,"216","168","175","BRKG"
"BRKG",178,"212","158","98","BRKG"
"BRKG",179,"*","*","*","BRKG"
"BRKG",180,"203","155","63","BRKG"
"BRKG",181,"*","*","*","BRKG"
"BRKG",182,"210.5","181.5","73","BRKG"
"BRKG",184,"206","158","174","BRKG"
"BRKG",185,"207","140","103","BRKG"
"BRKG",186,"*","165","164","BRKG"
"BRKG",187,"209","174","180","BRKG"
"BRKG",188,"211","158","57","BRKG"
"BRKG",189,"211","183","117","BRKG"
"BRKG",190,"209","140","66","BRKG"
"BRKG",191,"203.5","170.5","129","BRKG"
"BRKG",192,"217","152","102","BRKG"
"BRKG",193,"217","174","58","BRKG"
"BRKG",194,"217","174","216","BRKG"
"BRKG",195,"206","168","57","BRKG"
"BRKG",196,"*","168","43","BRKG"
"BRKG",197,"210.5","157","85","BRKG"
"BRKG",198,"211","177","133","BRKG"
"BRKG",199,"211","168","132","BRKG"
"BRKG",200,"208","174","134","BRKG"
"BRKG",201,"206","155","119","BRKG"
"BRKG",202,"206","137","22","BRKG"
"BRKG",203,"207","143","96","BRKG"
"BRKG",204,"204","140","151","BRKG"
"BRKG",205,"*","134","74","BRKG"
"BRKG",206,"*","*","*","BRKG"
"BRKG",207,"206","143","77","BRKG"
"BRKG",208,"213","146","70","BRKG"
"BRKG",209,"207.5","141.5","100.5","BRKG"
"BRKG",210,"217","180","152","BRKG"
"BRKG",211,"*","*","*","BRKG"
"BRKG",212,"205","180","11","BRKG"
"BRKG",213,"199","186","98","BRKG"
"BRKG",214,"*","174","49","BRKG"
"BRKG",215,"*","171","93","BRKG"
"BRKG",216,"*","177","144","BRKG"
"BRKG",217,"208","146","143","BRKG"
"BRKG",218,"216.5","184.5","135","BRKG"
"BRKG",219,"218","158","28","BRKG"
"BRKG",220,"210","140","41","BRKG"
"BRKG",221,"*","165","101","BRKG"
"BRKG",222,"*","168","62","BRKG"
"BRKG",223,"216","168","210","BRKG"
"BRKG",224,"211","189","97","BRKG"
"BRKG",225,"205","171","108","BRKG"
"BRKG",226,"211","149","85","BRKG"
"BRKG",227,"207","140","171","BRKG"
"BRKG",228,"206","158","146","BRKG"
"BRKG",229,"210","158","41","BRKG"
"BRKG",230,"206","158","92.5","BRKG"
"BRKG",231,"*","*","*","BRKG"
"BRKG",232,"208","171","152","BRKG"
"BRKG",233,"215","155","105","BRKG"
"BRKG",234,"217","183","122","BRKG"
"BRKG",235,"207","155","125","BRKG"
"BRKG",236,"*","*","*","BRKG"
"BRKG",237,"212","171","112","BRKG"
"BRKG",238,"219","146","65","BRKG"
"BRKG",239,"*","165","62","BRKG"
"BRKG",240,"203","152","118","BRKG"
"BRKG",241,"*","186","70","BRKG"
"BRKG",242,"208","149","88.5","BRKG"
"BRKG",243,"207","137","92","BRKG"
"BRKG",244,"207","186","59.5","BRKG"
"BRKG",245,"209.5","167.5","115","BRKG"
"BRKG",246,"206.5","157","98","BRKG"
"BRKG",247,"*","174","168","BRKG"
"BRKG",248,"*","174","96","BRKG"
"BRKG",249,"207","158.5","124.5","BRKG"
"BRKG",250,"210","183","157","BRKG"
"BRKG",251,"*","180","162","BRKG"
"BRKG",252,"217","162","128","BRKG"
"BRKG",253,"210","180","125","BRKG"
"BRKG",254,"207","134","121","BRKG"
"BRKG",255,"206","128","22","BRKG"
"BRKG",256,"*","*","*","BRKG"
"BRKG",257,"*","165","157","BRKG"
"BRKG",258,"207","143","217","BRKG"
"BRKG",259,"207","162","229","BRKG"
"BRKG",260,"208","143","77","BRKG"
"BRKG",261,"207","168","71","BRKG"
"BRKG",262,"211","162","88","BRKG"
"BRKG",263,"*","177","197","BRKG"
"BRKG",264,"207.5","193.5","86","BRKG"
"BRKG",265,"208","143","125","BRKG"
"BRKG",266,"207","171","112","BRKG"
"BRKG",267,"210","168","75","BRKG"
"BRKG",268,"206","104","10","BRKG"
"BRKG",269,"207","131","78","BRKG"
"BRKG",270,"207","177","108","BRKG"
"BRKG",271,"217","155","233","BRKG"
"BRKG",272,"210","158","136","BRKG"
"BRKG",273,"*","*","*","BRKG"
"BRKG",274,"*","168","113","BRKG"
"BRKG",275,"208","131","124","BRKG"
"BRKG",276,"*","*","*","BRKG"
"BRKG",277,"213","158","291","BRKG"
"BRKG",278,"203","162","163","BRKG"
"BRKG",279,"207","141.5","44.5","BRKG"
"BRKG",280,"*","149","66","BRKG"
"BRKG",281,"206","125","104","BRKG"
"BRKG",282,"208","149","82","BRKG"
"BRKG",283,"208","152","97","BRKG"
"BRKG",284,"207","168","94","BRKG"
"BRKG",285,"216","183","172.5","BRKG"
"BRKG",286,"205","162","96","BRKG"
"BRKG",287,"*","*","*","BRKG"
"BRKG",288,"210","171","62","BRKG"
"BRKG",289,"210","195","89","BRKG"
"BRKG",290,"206","134","38","BRKG"
"BRKG",291,"217","192","119","BRKG"
"BRKG",292,"206","165","129","BRKG"
"BRKG",293,"207","147.5","99","BRKG"
"BRKG",294,"207","149","120","BRKG"
"BRKG",296,"210","171","139","BRKG"
"BRKG",297,"212.5","143","55.5","BRKG"
"BRKG",298,"*","*","*","BRKG"
"BRKG",299,"211","168","109","BRKG"
"BRKG",300,"211","171","87","BRKG"
"BRKG",301,"207","146","143","BRKG"
"BRKG",302,"207","140","130","BRKG"
"BRKG",303,"218","183","123","BRKG"
"BRKG",304,"206","158","103","BRKG"
"BRKG",305,"207","152","102","BRKG"
"BRKG",306,"207","174","101","BRKG"
"BRKG",307,"207","155.5","138","BRKG"
"BRKG",308,"207","165","151","BRKG"
"BRKG",310,"217","141.5","110","BRKG"
"BRKG",311,"210","158","85","BRKG"
"BRKG",312,"217","146","84","BRKG"
"BRKG",313,"207","161.5","133","BRKG"
"BRKG",314,"208","140","93","BRKG"
"BRKG",315,"206","177","91","BRKG"
"BRKG",316,"208","143","147","BRKG"
"BRKG",317,"208.5","156.5","126.5","BRKG"
"BRKG",318,"207","174","167","BRKG"
"BRKG",319,"206","162","97","BRKG"
"BRKG",320,"208.5","163","78","BRKG"
"BRKG",322,"*","171","127","BRKG"
"BRKG",323,"207","149","85","BRKG"
"BRKG",324,"206","177","109","BRKG"
"BRKG",325,"210.5","154","87","BRKG"
"BRKG",326,"*","165","81","BRKG"
"BRKG",327,"*","*","*","BRKG"
"BRKG",328,"217","174","97","BRKG"
"BRKG",330,"207","162","150","BRKG"
"BRKG",332,"208","137","158","BRKG"
"BRKG",333,"217","168","54","BRKG"
"BRKG",334,"217","171","144","BRKG"
"BRKG",335,"*","*","*","BRKG"
"BRKG",336,"*","149","119","BRKG"
"BRKG",337,"207","110","33","BRKG"
"BRKG",338,"*","*","*","BRKG"
"BRKG",339,"215","152.5","114","BRKG"
"BRKG",340,"*","*","*","BRKG"
"BRKG",341,"206","131","73","BRKG"
"BRKG",342,"207","152","110","BRKG"
"BRKG",343,"207","146","128","BRKG"
"BRKG",344,"*","125","29","BRKG"
"BRKG",345,"207","129.5","59","BRKG"
"BRKG",346,"207","149","123","BRKG"
"BRKG",347,"207","146","64","BRKG"
"BRKG",349,"210","134","58","BRKG"
"BRKG",350,"217","165","127","BRKG"
"BRKG",352,"*","*","*","BRKG"
"BRKG",353,"207","174","52","BRKG"
"BRKG",354,"211","174","99","BRKG"
"BRKG",355,"212","168","182","BRKG"
"BRKG",356,"205","149","91","BRKG"
"BRKG",358,"207","143","142","BRKG"
"BRKG",359,"212","162","105","BRKG"
"BRKG",360,"206","162","140","BRKG"
"BRKG",361,"206","146","88","BRKG"
"BRKG",362,"*","186","178","BRKG"
"BRKG",363,"210","162","82","BRKG"
"BRKG",364,"208","165","88","BRKG"
"BRKG",365,"206.5","155.5","152","BRKG"
"BRKG",366,"211","168","96","BRKG"
"BRKG",367,"207","149","154","BRKG"
"BRKG",368,"207","152","67","BRKG"
"BRKG",369,"205","186","109","BRKG"
"BRKG",370,"216","165","223","BRKG"
"BRKG",371,"211.5","141.5","69.5","BRKG"
"BRKG",372,"208","155","159","BRKG"
"BRKG",373,"208","158","172","BRKG"
"BRKG",374,"211","165","47","BRKG"
"BRKG",375,"208","152","28","BRKG"
"BRKG",376,"207","158","116","BRKG"
"BRKG",377,"211","183","94","BRKG"
"BRKG",378,"216","152","25","BRKG"
"BRKG",379,"*","189","136","BRKG"
"BRKG",380,"216","152","129","BRKG"
"BRKG",381,"208","137","157","BRKG"
"BRKG",382,"211","183","117","BRKG"
"BRKG",383,"211","193.5","89","BRKG"
"BRKG",384,"208","137","74","BRKG"
"BRKG",386,"207","143","71","BRKG"
"BRKG",388,"207","171","35","BRKG"
"BRKG",389,"211","177","218","BRKG"
"BRKG",390,"*","186","109","BRKG"
"BRKG",391,"208","149","75.5","BRKG"
"BRKG",392,"206.5","158.5","90.5","BRKG"
"BRKG",393,"*","*","*","BRKG"
"BRKG",394,"205","125","28","BRKG"
"BRKG",395,"211","180","161","BRKG"
"BRKG",396,"206","152","135","BRKG"
"BRKG",397,"218","146","173","BRKG"
"BRKG",398,"206","162","116","BRKG"
"BRKG",399,"204","162","204","BRKG"
"BRKG",400,"211","168","81","BRKG"
"BRKG",402,"211","162","94","BRKG"
"BRKG",403,"208","140","82","BRKG"
"BRKG",404,"212","140","107","BRKG"
"CLMB",1,"172","126","86","CLMB"
"CLMB",2,"221","160","79","CLMB"
"CLMB",3,"183","154","194","CLMB"
"CLMB",4,"204","150","138","CLMB"
"CLMB",5,"190","135","71","CLMB"
"CLMB",7,"176","140","73","CLMB"
"CLMB",8,"*","*","*","CLMB"
"CLMB",9,"190","155","155","CLMB"
"CLMB",10,"*","*","*","CLMB"
"CLMB",11,"200","148","98","CLMB"
"CLMB",12,"190","147","124","CLMB"
"CLMB",13,"218","144","55","CLMB"
"CLMB",14,"*","*","*","CLMB"
"CLMB",15,"218","168","86","CLMB"
"CLMB",16,"*","*","*","CLMB"
"CLMB",17,"204","156","112","CLMB"
"CLMB",18,"*","*","*","CLMB"
"CLMB",19,"190","151","136","CLMB"
"CLMB",20,"183","160","134","CLMB"
"CLMB",21,"187","150","97","CLMB"
"CLMB",22,"*","*","*","CLMB"
"CLMB",23,"211","176","132","CLMB"
"CLMB",24,"193","145","155","CLMB"
"CLMB",25,"202","153","84","CLMB"
"CLMB",26,"200","166","117","CLMB"
"CLMB",27,"193","142","102","CLMB"
"CLMB",28,"183","163","135","CLMB"
"CLMB",29,"*","*","*","CLMB"
"CLMB",30,"200","161","143","CLMB"
"CLMB",31,"*","*","*","CLMB"
"CLMB",32,"193","176","171","CLMB"
"CLMB",33,"179","145","126","CLMB"
"CLMB",34,"190","162","113","CLMB"
"CLMB",35,"207","182","79","CLMB"
"CLMB",36,"207","157","91","CLMB"
"CLMB",37,"218","158","46","CLMB"
"CLMB",38,"211","145","49","CLMB"
"CLMB",39,"207","128","74","CLMB"
"CLMB",40,"200","168","90","CLMB"
"CLMB",41,"193","138","166","CLMB"
"CLMB",42,"183","164","157","CLMB"
"CLMB",43,"200","156","130","CLMB"
"CLMB",44,"200","142","153","CLMB"
"CLMB",45,"*","*","*","CLMB"
"CLMB",46,"200","161","161","CLMB"
"CLMB",47,"*","*","*","CLMB"
"CLMB",48,"179","156","73","CLMB"
"CLMB",49,"190","156","70","CLMB"
"CLMB",50,"200","150","99","CLMB"
"CLMB",52,"176","150","206","CLMB"
"CLMB",53,"223","126","31","CLMB"
"CLMB",54,"193","162","88","CLMB"
"CLMB",55,"*","134","19","CLMB"
"CLMB",56,"*","*","*","CLMB"
"CLMB",57,"197","156","124","CLMB"
"CLMB",58,"*","*","*","CLMB"
"CLMB",59,"190","136","140","CLMB"
"CLMB",60,"193","145","114","CLMB"
"CLMB",61,"207","201","97","CLMB"
"CLMB",62,"190","150","98","CLMB"
"CLMB",63,"207","146","62","CLMB"
"CLMB",64,"*","*","*","CLMB"
"CLMB",65,"190","152","119","CLMB"
"CLMB",66,"218","171","57","CLMB"
"CLMB",67,"207","151","76","CLMB"
"CLMB",68,"216","166","43","CLMB"
"CLMB",69,"207","163","109","CLMB"
"CLMB",70,"*","*","*","CLMB"
"CLMB",71,"209","180","202","CLMB"
"CLMB",72,"187","155","126","CLMB"
"CLMB",73,"200","158","114","CLMB"
"CLMB",74,"207","191","106","CLMB"
"CLMB",75,"197","168","83","CLMB"
"CLMB",76,"200","127","83","CLMB"
"CLMB",77,"*","*","*","CLMB"
"CLMB",78,"179","161","103","CLMB"
"CLMB",79,"190","157","106","CLMB"
"CLMB",80,"187","165","99","CLMB"
"CLMB",81,"*","*","*","CLMB"
"CLMB",83,"204","157","91","CLMB"
"CLMB",84,"*","*","*","CLMB"
"CLMB",85,"193","151","162","CLMB"
"CLMB",86,"218","149","128","CLMB"
"CLMB",87,"190","147","105","CLMB"
"CLMB",88,"202","155","185","CLMB"
"CLMB",89,"181","162","123","CLMB"
"CLMB",90,"204","152","137","CLMB"
"CLMB",91,"221","162","84","CLMB"
"CLMB",93,"209","182","89","CLMB"
"CLMB",94,"181","144","114","CLMB"
"CLMB",95,"*","*","*","CLMB"
"CLMB",96,"*","*","*","CLMB"
"CLMB",97,"187","164","68","CLMB"
"CLMB",98,"*","*","*","CLMB"
"CLMB",99,"200","134","109","CLMB"
"CLMB",100,"202","161","177","CLMB"
"CLMB",101,"*","*","*","CLMB"
"CLMB",102,"200","144","143","CLMB"
"CLMB",103,"200","159","201","CLMB"
"CLMB",104,"179","138","50","CLMB"
"CLMB",105,"207","191","124","CLMB"
"CLMB",106,"193","162","198","CLMB"
"CLMB",107,"197","165","77","CLMB"
"CLMB",108,"*","*","*","CLMB"
"CLMB",110,"183","160","95","CLMB"
"CLMB",111,"176","149","121","CLMB"
"CLMB",112,"190","162","109","CLMB"
"CLMB",113,"200","160","97","CLMB"
"CLMB",114,"209","161","50","CLMB"
"CLMB",115,"*","*","*","CLMB"
"CLMB",116,"200","172","188","CLMB"
"CLMB",117,"200","162","97","CLMB"
"CLMB",118,"193","161","118","CLMB"
"CLMB",119,"207","147","179","CLMB"
"CLMB",120,"187","163","145","CLMB"
"CLMB",122,"179","143","110","CLMB"
"CLMB",123,"211","144","118","CLMB"
"CLMB",125,"197","149","126","CLMB"
"CLMB",126,"*","*","*","CLMB"
"CLMB",127,"*","*","*","CLMB"
"CLMB",128,"*","137","23","CLMB"
"CLMB",130,"200","147","88","CLMB"
"CLMB",131,"200","147","148","CLMB"
"CLMB",132,"*","164","113","CLMB"
"CLMB",134,"197","150","104","CLMB"
"CLMB",135,"197","168","171","CLMB"
"CLMB",136,"*","*","*","CLMB"
"CLMB",137,"200","171","79","CLMB"
"CLMB",138,"*","*","*","CLMB"
"CLMB",139,"*","*","*","CLMB"
"CLMB",141,"190","154","84","CLMB"
"CLMB",142,"211","135","161","CLMB"
"CLMB",143,"221","191","160","CLMB"
"CLMB",144,"*","*","*","CLMB"
"CLMB",145,"200","156","66","CLMB"
"CLMB",146,"*","*","*","CLMB"
"CLMB",147,"193","155","121","CLMB"
"CLMB",148,"*","*","*","CLMB"
"CLMB",150,"179","141","104","CLMB"
"CLMB",151,"190","152","62","CLMB"
"CLMB",152,"*","*","*","CLMB"
"CLMB",153,"*","161","54","CLMB"
"CLMB",154,"202","150","130","CLMB"
"CLMB",155,"200","159","97","CLMB"
"CLMB",156,"204","155","85","CLMB"
"CLMB",157,"207","130","98","CLMB"
"CLMB",158,"181","136","188","CLMB"
"CLMB",159,"197","157","153","CLMB"
"CLMB",160,"*","*","*","CLMB"
"CLMB",161,"197","156","112","CLMB"
"CLMB",163,"197","134","52","CLMB"
"CLMB",164,"197","148","103","CLMB"
"CLMB",165,"*","*","*","CLMB"
"CLMB",166,"207","178","145","CLMB"
"CLMB",167,"190","147","78","CLMB"
"CLMB",168,"193","159","130","CLMB"
"CLMB",169,"*","*","*","CLMB"
"CLMB",170,"187","147","86","CLMB"
"CLMB",171,"197","139","93","CLMB"
"CLMB",172,"209","161","92","CLMB"
"CLMB",173,"204","126","78","CLMB"
"CLMB",174,"216","144","47","CLMB"
"CLMB",175,"202","170","133","CLMB"
"CLMB",176,"193","155","105","CLMB"
"CLMB",177,"200","145","102","CLMB"
"CLMB",178,"204","159","96","CLMB"
"CLMB",179,"190","159","53","CLMB"
"CLMB",180,"190","153","162","CLMB"
"CLMB",181,"193","146","101","CLMB"
"CLMB",182,"202","183","116","CLMB"
"CLMB",184,"193","142","131","CLMB"
"CLMB",185,"176","147","134","CLMB"
"CLMB",186,"209","162","220","CLMB"
"CLMB",187,"200","119","73","CLMB"
"CLMB",188,"197","166","134","CLMB"
"CLMB",189,"*","*","*","CLMB"
"CLMB",190,"*","*","*","CLMB"
"CLMB",191,"187","150","146","CLMB"
"CLMB",192,"202","150","115","CLMB"
"CLMB",193,"223","170","62","CLMB"
"CLMB",194,"223","178","169","CLMB"
"CLMB",195,"181","159","109","CLMB"
"CLMB",196,"207","156","96","CLMB"
"CLMB",197,"202","161","128","CLMB"
"CLMB",198,"200","178","111","CLMB"
"CLMB",199,"193","163","176","CLMB"
"CLMB",200,"190","148","72","CLMB"
"CLMB",201,"*","*","*","CLMB"
"CLMB",202,"*","*","*","CLMB"
"CLMB",203,"193","135","160","CLMB"
"CLMB",204,"179","127","98","CLMB"
"CLMB",205,"*","*","*","CLMB"
"CLMB",206,"*","*","*","CLMB"
"CLMB",207,"190","144","78","CLMB"
"CLMB",208,"*","*","*","CLMB"
"CLMB",209,"179","126","56","CLMB"
"CLMB",210,"207","161","82","CLMB"
"CLMB",211,"204","161","201","CLMB"
"CLMB",212,"190","147","115","CLMB"
"CLMB",213,"210","190","117","CLMB"
"CLMB",214,"*","*","*","CLMB"
"CLMB",215,"211","148","101","CLMB"
"CLMB",216,"209","169","119","CLMB"
"CLMB",217,"*","*","*","CLMB"
"CLMB",218,"209","150","153","CLMB"
"CLMB",219,"209","136","54","CLMB"
"CLMB",220,"*","*","*","CLMB"
"CLMB",221,"181","146","91","CLMB"
"CLMB",222,"193","163","63","CLMB"
"CLMB",223,"202","149","242","CLMB"
"CLMB",224,"193","168","125","CLMB"
"CLMB",225,"187","164","112","CLMB"
"CLMB",226,"202","141","88","CLMB"
"CLMB",227,"190","142","124","CLMB"
"CLMB",228,"190","155","243","CLMB"
"CLMB",229,"197","157","81","CLMB"
"CLMB",230,"*","*","*","CLMB"
"CLMB",231,"179","146","102","CLMB"
"CLMB",232,"197","164","114","CLMB"
"CLMB",233,"193","140","69","CLMB"
"CLMB",234,"200","171","116","CLMB"
"CLMB",235,"188.5","143","145.5","CLMB"
"CLMB",236,"204","138","94","CLMB"
"CLMB",237,"200","165","126","CLMB"
"CLMB",238,"193","151","152","CLMB"
"CLMB",239,"207","168","103","CLMB"
"CLMB",240,"190","154","137","CLMB"
"CLMB",241,"207","164","102","CLMB"
"CLMB",242,"179","145","52","CLMB"
"CLMB",243,"190","142","200","CLMB"
"CLMB",244,"193","190","115","CLMB"
"CLMB",245,"197","158","146","CLMB"
"CLMB",246,"193","151","113","CLMB"
"CLMB",247,"207","163","136","CLMB"
"CLMB",248,"225","160","114","CLMB"
"CLMB",249,"193","159","16","CLMB"
"CLMB",250,"209","168","225","CLMB"
"CLMB",251,"209","166","144","CLMB"
"CLMB",252,"202","157","85","CLMB"
"CLMB",253,"181","164","148","CLMB"
"CLMB",254,"183","138","124","CLMB"
"CLMB",255,"187","159","103","CLMB"
"CLMB",256,"207","171","111","CLMB"
"CLMB",257,"*","153","112","CLMB"
"CLMB",258,"179","143","143","CLMB"
"CLMB",259,"*","*","*","CLMB"
"CLMB",260,"183","156","70","CLMB"
"CLMB",261,"197","170","123","CLMB"
"CLMB",262,"193","147","97","CLMB"
"CLMB",263,"202","160","140","CLMB"
"CLMB",264,"207","177","88","CLMB"
"CLMB",265,"190","141","169","CLMB"
"CLMB",266,"*","*","*","CLMB"
"CLMB",267,"197","161","73","CLMB"
"CLMB",268,"*","*","*","CLMB"
"CLMB",269,"183","115","73","CLMB"
"CLMB",270,"193","184","112","CLMB"
"CLMB",271,"207","149","200","CLMB"
"CLMB",272,"190","161","158","CLMB"
"CLMB",273,"*","*","*","CLMB"
"CLMB",274,"193","164","124","CLMB"
"CLMB",275,"193","152","200","CLMB"
"CLMB",276,"*","*","*","CLMB"
"CLMB",277,"200","148","242","CLMB"
"CLMB",278,"207","157","140","CLMB"
"CLMB",279,"202","131","74","CLMB"
"CLMB",280,"*","*","*","CLMB"
"CLMB",281,"*","*","*","CLMB"
"CLMB",282,"181","133.5","132.5","CLMB"
"CLMB",283,"*","*","*","CLMB"
"CLMB",284,"179","157","95","CLMB"
"CLMB",285,"202","174","167","CLMB"
"CLMB",286,"181","146","65","CLMB"
"CLMB",287,"207","135","62","CLMB"
"CLMB",288,"211","132","57","CLMB"
"CLMB",289,"202","149","58","CLMB"
"CLMB",290,"197","171","76","CLMB"
