"SITE","LINE","FL50","TC","BIO","SITE2"
"BRKG",251,"*","162","1.736","BRKG"
"BRKG",252,"217","128","1.148","BRKG"
"BRKG",253,"210","125","1.214","BRKG"
"BRKG",254,"207","121","0.727","BRKG"
"BRKG",255,"206","22","0.136","BRKG"
"BRKG",256,"*","*","*","BRKG"
"BRKG",257,"*","157","1.461","BRKG"
"BRKG",258,"207","217","1.149","BRKG"
"BRKG",259,"207","229","1.324","BRKG"
"BRKG",260,"208","77","0.555","BRKG"
"BRKG",261,"207","71","0.781","BRKG"
"BRKG",262,"211","88","0.556","BRKG"
"BRKG",263,"*","197","1.508","BRKG"
"BRKG",264,"207.5","86","0.862","BRKG"
"BRKG",265,"208","125","0.871","BRKG"
"BRKG",266,"207","112","1.169","BRKG"
"BRKG",267,"210","75","0.78","BRKG"
"BRKG",268,"206","10","*","BRKG"
"BRKG",269,"207","78","0.542","BRKG"
"BRKG",270,"207","108","0.962","BRKG"
"BRKG",271,"217","233","1.839","BRKG"
"BRKG",272,"210","136","1.045","BRKG"
"BRKG",273,"*","*","*","BRKG"
"BRKG",274,"*","113","0.126","BRKG"
"BRKG",275,"208","124","0.924","BRKG"
"BRKG",276,"*","*","*","BRKG"
"BRKG",277,"213","291","*","BRKG"
"BRKG",278,"203","163","1.456","BRKG"
"BRKG",279,"207","44.5","0.371","BRKG"
"BRKG",280,"*","66","0.699","BRKG"
"BRKG",281,"206","104","0.663","BRKG"
"BRKG",282,"208","82","0.811","BRKG"
"BRKG",283,"208","97","0.989","BRKG"
"BRKG",284,"207","94","0.86","BRKG"
"BRKG",285,"216","172.5","1.479","BRKG"
"BRKG",286,"205","96","0.703","BRKG"
"BRKG",287,"*","*","*","BRKG"
"BRKG",288,"210","62","0.827","BRKG"
"BRKG",289,"210","89","0.673","BRKG"
"BRKG",290,"206","38","0.226","BRKG"
"BRKG",291,"217","119","0.99","BRKG"
"BRKG",292,"206","129","1.255","BRKG"
"BRKG",293,"207","99","0.7265","BRKG"
"BRKG",294,"207","120","0.7035","BRKG"
"BRKG",296,"210","139","1.624","BRKG"
"BRKG",297,"212.5","55.5","0.3515","BRKG"
"BRKG",298,"*","*","*","BRKG"
"BRKG",299,"211","109","0.978","BRKG"
"BRKG",300,"211","87","0.993","BRKG"
"BRKG",301,"207","143","1.088","BRKG"
"BRKG",302,"207","130","0.897","BRKG"
"BRKG",303,"218","123","1.703","BRKG"
"BRKG",304,"206","103","0.972","BRKG"
"BRKG",305,"207","102","0.993","BRKG"
"BRKG",306,"207","101","1.165","BRKG"
"BRKG",307,"207","138","0.7595","BRKG"
"BRKG",308,"207","151","1.202","BRKG"
"BRKG",310,"217","110","0.8375","BRKG"
"BRKG",311,"210","85","*","BRKG"
"BRKG",312,"217","84","0.55","BRKG"
"BRKG",313,"207","133","1.0665","BRKG"
"BRKG",314,"208","93","0.774","BRKG"
"BRKG",315,"206","91","0.634","BRKG"
"BRKG",316,"208","147","1.181","BRKG"
"BRKG",317,"208.5","126.5","0.7695","BRKG"
"BRKG",318,"207","167","1.128","BRKG"
"BRKG",319,"206","97","0.921","BRKG"
"BRKG",320,"208.5","78","0.684","BRKG"
"BRKG",322,"*","127","1.046","BRKG"
"BRKG",323,"207","85","0.587","BRKG"
"BRKG",324,"206","109","1.077","BRKG"
"BRKG",325,"210.5","87","0.6765","BRKG"
"BRKG",326,"*","81","0.642","BRKG"
"BRKG",327,"*","*","*","BRKG"
"BRKG",328,"217","97","0.786","BRKG"
"BRKG",330,"207","150","1.063","BRKG"
"BRKG",332,"208","158","0.481","BRKG"
"BRKG",333,"217","54","0.683","BRKG"
"BRKG",334,"217","144","1.645","BRKG"
"BRKG",335,"*","*","*","BRKG"
"BRKG",336,"*","119","0.699","BRKG"
"BRKG",337,"207","33","0.311","BRKG"
"BRKG",338,"*","*","*","BRKG"
"BRKG",339,"215","114","0.753","BRKG"
"BRKG",340,"*","*","*","BRKG"
"BRKG",341,"206","73","0.4","BRKG"
"BRKG",342,"207","110","0.872","BRKG"
"BRKG",343,"207","128","0.838","BRKG"
"BRKG",344,"*","29","0.111","BRKG"
"BRKG",345,"207","59","0.3155","BRKG"
"BRKG",346,"207","123","0.981","BRKG"
"BRKG",347,"207","64","0.481","BRKG"
"BRKG",349,"210","58","0.515","BRKG"
"BRKG",350,"217","127","0.823","BRKG"
"BRKG",352,"*","*","*","BRKG"
"BRKG",353,"207","52","1.661","BRKG"
"BRKG",354,"211","99","0.67","BRKG"
"BRKG",355,"212","182","1.469","BRKG"
"BRKG",356,"205","91","0.68","BRKG"
"BRKG",358,"207","142","1.049","BRKG"
"BRKG",359,"212","105","0.619","BRKG"
"BRKG",360,"206","140","1.209","BRKG"
"BRKG",361,"206","88","0.6","BRKG"
"BRKG",362,"*","178","1.545","BRKG"
"BRKG",363,"210","82","0.59","BRKG"
"BRKG",364,"208","88","1.079","BRKG"
"BRKG",365,"206.5","152","1.069","BRKG"
"BRKG",366,"211","96","1.293","BRKG"
"BRKG",367,"207","154","1.383","BRKG"
"BRKG",368,"207","67","0.452","BRKG"
"BRKG",369,"205","109","1.508","BRKG"
"BRKG",370,"216","223","1.23","BRKG"
"BRKG",371,"211.5","69.5","0.3905","BRKG"
"BRKG",372,"208","159","1.176","BRKG"
"BRKG",373,"208","172","1.171","BRKG"
"BRKG",374,"211","47","0.339","BRKG"
"BRKG",375,"208","28","0.4","BRKG"
"BRKG",376,"207","116","1.166","BRKG"
"BRKG",377,"211","94","1.293","BRKG"
"BRKG",378,"216","25","0.579","BRKG"
"BRKG",379,"*","136","1.102","BRKG"
"BRKG",380,"216","129","0.919","BRKG"
"BRKG",381,"208","157","1.139","BRKG"
"BRKG",382,"211","117","1.274","BRKG"
"BRKG",383,"211","89","1.347","BRKG"
"BRKG",384,"208","74","0.753","BRKG"
"BRKG",386,"207","71","0.255","BRKG"
"BRKG",388,"207","35","0.659","BRKG"
"BRKG",389,"211","218","2.003","BRKG"
"BRKG",390,"*","109","1.291","BRKG"
"BRKG",391,"208","75.5","0.631","BRKG"
"BRKG",392,"206.5","90.5","0.7315","BRKG"
"BRKG",393,"*","*","*","BRKG"
"BRKG",394,"205","28","0.161","BRKG"
"BRKG",395,"211","161","1.095","BRKG"
"BRKG",396,"206","135","1.133","BRKG"
"BRKG",397,"218","173","1.752","BRKG"
"BRKG",398,"206","116","0.938","BRKG"
"BRKG",399,"204","204","1.46","BRKG"
"BRKG",400,"211","81","0.72","BRKG"
"BRKG",402,"211","94","1.245","BRKG"
"BRKG",403,"208","82","1.09","BRKG"
"BRKG",404,"212","107","1.104","BRKG"
"CLMB",1,"172","86","0.208459302","CLMB"
"CLMB",2,"221","79","0.305388673","CLMB"
"CLMB",3,"183","194","0.604165839","CLMB"
"CLMB",4,"204","138","0.39857297","CLMB"
"CLMB",5,"190","71","0.173415966","CLMB"
"CLMB",7,"176","73","0.238954136","CLMB"
"CLMB",8,"*","*","*","CLMB"
"CLMB",9,"190","155","0.579249243","CLMB"
"CLMB",10,"*","*","*","CLMB"
"CLMB",11,"200","98","0.311408354","CLMB"
"CLMB",12,"190","124","0.401360194","CLMB"
"CLMB",13,"218","55","0.255544789","CLMB"
"CLMB",14,"*","*","*","CLMB"
"CLMB",15,"218","86","0.388170077","CLMB"
"CLMB",16,"*","*","*","CLMB"
"CLMB",17,"204","112","0.523048275","CLMB"
"CLMB",18,"*","*","*","CLMB"
"CLMB",19,"190","136","0.438472267","CLMB"
"CLMB",20,"183","134","0.888376527","CLMB"
"CLMB",21,"187","97","0.172713877","CLMB"
"CLMB",22,"*","*","*","CLMB"
"CLMB",23,"211","132","0.595281047","CLMB"
"CLMB",24,"193","155","0.287796303","CLMB"
"CLMB",25,"202","84","0.338272","CLMB"
"CLMB",26,"200","117","0.654550481","CLMB"
"CLMB",27,"193","102","0.33395711","CLMB"
"CLMB",28,"183","135","0.814816175","CLMB"
"CLMB",29,"*","*","*","CLMB"
"CLMB",30,"200","143","0.5556502","CLMB"
"CLMB",31,"*","*","*","CLMB"
"CLMB",32,"193","171","0.56642301","CLMB"
"CLMB",33,"179","126","0.279412672","CLMB"
"CLMB",34,"190","113","0.406316214","CLMB"
"CLMB",35,"207","79","0.261067396","CLMB"
"CLMB",36,"207","91","0.37648136","CLMB"
"CLMB",37,"218","46","0.147768115","CLMB"
"CLMB",38,"211","49","*","CLMB"
"CLMB",39,"207","74","0.163868096","CLMB"
"CLMB",40,"200","90","0.41106775","CLMB"
"CLMB",41,"193","166","0.343939255","CLMB"
"CLMB",42,"183","157","0.4932813","CLMB"
"CLMB",43,"200","130","0.584195214","CLMB"
"CLMB",44,"200","153","0.49611625","CLMB"
"CLMB",45,"*","*","*","CLMB"
"CLMB",46,"200","161","0.763546533","CLMB"
"CLMB",47,"*","*","*","CLMB"
"CLMB",48,"179","73","0.187693241","CLMB"
"CLMB",49,"190","70","0.22226008","CLMB"
"CLMB",50,"200","99","0.21313359","CLMB"
"CLMB",52,"176","206","0.56245408","CLMB"
"CLMB",53,"223","31","0.034472992","CLMB"
"CLMB",54,"193","88","0.332282512","CLMB"
"CLMB",55,"*","19","0.035","CLMB"
"CLMB",56,"*","*","*","CLMB"
"CLMB",57,"197","124","0.22963095","CLMB"
"CLMB",58,"*","*","*","CLMB"
"CLMB",59,"190","140","0.261482447","CLMB"
"CLMB",60,"193","114","0.19771959","CLMB"
"CLMB",61,"207","97","0.515261871","CLMB"
"CLMB",62,"190","98","0.339272065","CLMB"
"CLMB",63,"207","62","0.234527682","CLMB"
"CLMB",64,"*","*","*","CLMB"
"CLMB",65,"190","119","0.263376","CLMB"
"CLMB",66,"218","57","0.219956121","CLMB"
"CLMB",67,"207","76","0.188996667","CLMB"
"CLMB",68,"216","43","0.121232771","CLMB"
"CLMB",69,"207","109","0.4331072","CLMB"
"CLMB",70,"*","*","*","CLMB"
"CLMB",71,"209","202","0.7588056","CLMB"
"CLMB",72,"187","126","0.319840513","CLMB"
"CLMB",73,"200","114","0.201532648","CLMB"
"CLMB",74,"207","106","0.586180431","CLMB"
"CLMB",75,"197","83","0.616200453","CLMB"
"CLMB",76,"200","83","0.214393094","CLMB"
"CLMB",77,"*","*","*","CLMB"
"CLMB",78,"179","103","0.282235022","CLMB"
"CLMB",79,"190","106","0.334466828","CLMB"
"CLMB",80,"187","99","0.357738596","CLMB"
"CLMB",81,"*","*","*","CLMB"
"CLMB",83,"204","91","0.279715067","CLMB"
"CLMB",84,"*","*","*","CLMB"
"CLMB",85,"193","162","0.517945365","CLMB"
"CLMB",86,"218","128","0.3288542","CLMB"
"CLMB",87,"190","105","0.264595333","CLMB"
"CLMB",88,"202","185","0.9752228","CLMB"
"CLMB",89,"181","123","0.189475139","CLMB"
"CLMB",90,"204","137","0.497365214","CLMB"
"CLMB",91,"221","84","0.347232497","CLMB"
"CLMB",93,"209","89","0.307794571","CLMB"
"CLMB",94,"181","114","0.235013246","CLMB"
"CLMB",95,"*","*","*","CLMB"
"CLMB",96,"*","*","*","CLMB"
"CLMB",97,"187","68","0.323864688","CLMB"
"CLMB",98,"*","*","*","CLMB"
"CLMB",99,"200","109","0.264097974","CLMB"
"CLMB",100,"202","177","0.5556502","CLMB"
"CLMB",101,"*","*","*","CLMB"
"CLMB",102,"200","143","0.3202052","CLMB"
"CLMB",103,"200","201","0.91087174","CLMB"
"CLMB",104,"179","50","0.135334007","CLMB"
"CLMB",105,"207","124","0.4932813","CLMB"
"CLMB",106,"193","198","0.767104118","CLMB"
"CLMB",107,"197","77","0.406776312","CLMB"
"CLMB",108,"*","*","*","CLMB"
"CLMB",110,"183","95","0.357655285","CLMB"
"CLMB",111,"176","121","0.32626793","CLMB"
"CLMB",112,"190","109","0.40222134","CLMB"
"CLMB",113,"200","97","0.523535194","CLMB"
"CLMB",114,"209","50","0.206636356","CLMB"
"CLMB",115,"*","*","*","CLMB"
"CLMB",116,"200","188","0.74954219","CLMB"
"CLMB",117,"200","97","0.338574029","CLMB"
"CLMB",118,"193","118","0.468098771","CLMB"
"CLMB",119,"207","179","0.546200367","CLMB"
"CLMB",120,"187","145","0.445344873","CLMB"
"CLMB",122,"179","110","0.259195429","CLMB"
"CLMB",123,"211","118","0.313734467","CLMB"
"CLMB",125,"197","126","0.293355696","CLMB"
"CLMB",126,"*","*","*","CLMB"
"CLMB",127,"*","*","*","CLMB"
"CLMB",128,"*","23","0.067256745","CLMB"
"CLMB",130,"200","88","0.379751442","CLMB"
"CLMB",131,"200","148","0.468586777","CLMB"
"CLMB",132,"*","113","0.523336033","CLMB"
"CLMB",134,"197","104","0.414712686","CLMB"
"CLMB",135,"197","171","0.999674244","CLMB"
"CLMB",136,"*","*","*","CLMB"
"CLMB",137,"200","79","0.3175144","CLMB"
"CLMB",138,"*","*","*","CLMB"
"CLMB",139,"*","*","*","CLMB"
"CLMB",141,"190","84","0.251334584","CLMB"
"CLMB",142,"211","161","0.439635323","CLMB"
"CLMB",143,"221","160","0.713320022","CLMB"
"CLMB",144,"*","*","*","CLMB"
"CLMB",145,"200","66","0.157245227","CLMB"
"CLMB",146,"*","*","*","CLMB"
"CLMB",147,"193","121","0.721918177","CLMB"
"CLMB",148,"*","*","*","CLMB"
"CLMB",150,"179","104","0.279510746","CLMB"
"CLMB",151,"190","62","*","CLMB"
"CLMB",152,"*","*","*","CLMB"
"CLMB",153,"*","54","0.256929734","CLMB"
"CLMB",154,"202","130","0.365393556","CLMB"
"CLMB",155,"200","97","0.380355792","CLMB"
"CLMB",156,"204","85","0.263456175","CLMB"
"CLMB",157,"207","98","0.187876686","CLMB"
"CLMB",158,"181","188","0.438472267","CLMB"
"CLMB",159,"197","153","0.849702945","CLMB"
"CLMB",160,"*","*","*","CLMB"
"CLMB",161,"197","112","0.692018564","CLMB"
"CLMB",163,"197","52","0.203480523","CLMB"
"CLMB",164,"197","103","0.334008655","CLMB"
"CLMB",165,"*","*","*","CLMB"
"CLMB",166,"207","145","0.774809192","CLMB"
"CLMB",167,"190","78","0.267568315","CLMB"
"CLMB",168,"193","130","0.495215736","CLMB"
"CLMB",169,"*","*","*","CLMB"
"CLMB",170,"187","86","0.389276716","CLMB"
"CLMB",171,"197","93","0.388338414","CLMB"
"CLMB",172,"209","92","0.232764316","CLMB"
"CLMB",173,"204","78","0.165094147","CLMB"
"CLMB",174,"216","47","0.094498333","CLMB"
"CLMB",175,"202","133","0.762442283","CLMB"
"CLMB",176,"193","105","0.444142167","CLMB"
"CLMB",177,"200","102","0.330089228","CLMB"
"CLMB",178,"204","96","0.529190667","CLMB"
"CLMB",179,"190","53","0.08618248","CLMB"
"CLMB",180,"190","162","0.6123492","CLMB"
"CLMB",181,"193","101","0.210301745","CLMB"
"CLMB",182,"202","116","0.516253163","CLMB"
"CLMB",184,"193","131","0.643483325","CLMB"
"CLMB",185,"176","134","0.39590693","CLMB"
"CLMB",186,"209","220","1.130317456","CLMB"
"CLMB",187,"200","73","0.0907184","CLMB"
"CLMB",188,"197","134","0.917263822","CLMB"
"CLMB",189,"*","*","*","CLMB"
"CLMB",190,"*","*","*","CLMB"
"CLMB",191,"187","146","0.377411805","CLMB"
"CLMB",192,"202","115","0.389953719","CLMB"
"CLMB",193,"223","62","0.221954288","CLMB"
"CLMB",194,"223","169","0.658034725","CLMB"
"CLMB",195,"181","109","0.335058996","CLMB"
"CLMB",196,"207","96","0.407408087","CLMB"
"CLMB",197,"202","128","0.524870743","CLMB"
"CLMB",198,"200","111","0.389676764","CLMB"
"CLMB",199,"193","176","0.648369741","CLMB"
"CLMB",200,"190","72","0.19504456","CLMB"
"CLMB",201,"*","*","*","CLMB"
"CLMB",202,"*","*","*","CLMB"
"CLMB",203,"193","160","0.457063367","CLMB"
"CLMB",204,"179","98","0.132588431","CLMB"
"CLMB",205,"*","*","*","CLMB"
"CLMB",206,"*","*","*","CLMB"
"CLMB",207,"190","78","0.252715543","CLMB"
"CLMB",208,"*","*","*","CLMB"
"CLMB",209,"179","56","0.056205965","CLMB"
"CLMB",210,"207","82","0.270050907","CLMB"
"CLMB",211,"204","201","0.593579876","CLMB"
"CLMB",212,"190","115","0.697197586","CLMB"
"CLMB",213,"210","117","0.39590693","CLMB"
"CLMB",214,"*","*","*","CLMB"
"CLMB",215,"211","101","0.2930058","CLMB"
"CLMB",216,"209","119","0.279133538","CLMB"
"CLMB",217,"*","*","*","CLMB"
"CLMB",218,"209","153","0.617426722","CLMB"
"CLMB",219,"209","54","0.107268378","CLMB"
"CLMB",220,"*","*","*","CLMB"
"CLMB",221,"181","91","0.307794571","CLMB"
"CLMB",222,"193","63","0.18597272","CLMB"
"CLMB",223,"202","242","0.543001962","CLMB"
"CLMB",224,"193","125","0.682110501","CLMB"
"CLMB",225,"187","112","0.34926584","CLMB"
"CLMB",226,"202","88","0.301432502","CLMB"
"CLMB",227,"190","124","0.424562112","CLMB"
"CLMB",228,"190","243","0.967948211","CLMB"
