"SITE","LINE","FL50","TC","BIO"
"BRKG",362,NA,178,1.545
"BRKG",363,210,82,0.59
"BRKG",364,208,88,1.079
"BRKG",365,206.5,152,1.069
"BRKG",366,211,96,1.293
"BRKG",367,207,154,1.383
"BRKG",368,207,67,0.452
"BRKG",369,205,109,1.508
"BRKG",370,216,223,1.23
"BRKG",371,211.5,69.5,0.3905
"BRKG",372,208,159,1.176
"BRKG",373,208,172,1.171
"BRKG",374,211,47,0.339
"BRKG",375,208,28,0.4
"BRKG",376,207,116,1.166
"BRKG",377,211,94,1.293
"BRKG",378,216,25,0.579
"BRKG",379,NA,136,1.102
"BRKG",380,216,129,0.919
"BRKG",381,208,157,1.139
"BRKG",382,211,117,1.274
"BRKG",383,211,89,1.347
"BRKG",384,208,74,0.753
"BRKG",386,207,71,0.255
"BRKG",388,207,35,0.659
"BRKG",389,211,218,2.003
"BRKG",390,NA,109,1.291
"BRKG",391,208,75.5,0.631
"BRKG",392,206.5,90.5,0.7315
"BRKG",393,NA,NA,NA
"BRKG",394,205,28,0.161
"BRKG",395,211,161,1.095
"BRKG",396,206,135,1.133
"BRKG",397,218,173,1.752
"BRKG",398,206,116,0.938
"BRKG",399,204,204,1.46
"BRKG",400,211,81,0.72
"BRKG",402,211,94,1.245
"BRKG",403,208,82,1.09
"BRKG",404,212,107,1.104
"CLMB",1,172,86,0.208459302
"CLMB",2,221,79,0.305388673
"CLMB",3,183,194,0.604165839
"CLMB",4,204,138,0.39857297
"CLMB",5,190,71,0.173415966
"CLMB",7,176,73,0.238954136
"CLMB",8,NA,NA,NA
"CLMB",9,190,155,0.579249243
"CLMB",10,NA,NA,NA
"CLMB",11,200,98,0.311408354
"CLMB",12,190,124,0.401360194
"CLMB",13,218,55,0.255544789
"CLMB",14,NA,NA,NA
"CLMB",15,218,86,0.388170077
"CLMB",16,NA,NA,NA
"CLMB",17,204,112,0.523048275
"CLMB",18,NA,NA,NA
"CLMB",19,190,136,0.438472267
"CLMB",20,183,134,0.888376527
"CLMB",21,187,97,0.172713877
"CLMB",22,NA,NA,NA
"CLMB",23,211,132,0.595281047
"CLMB",24,193,155,0.287796303
"CLMB",25,202,84,0.338272
"CLMB",26,200,117,0.654550481
"CLMB",27,193,102,0.33395711
"CLMB",28,183,135,0.814816175
"CLMB",29,NA,NA,NA
"CLMB",30,200,143,0.5556502
"CLMB",31,NA,NA,NA
"CLMB",32,193,171,0.56642301
"CLMB",33,179,126,0.279412672
"CLMB",34,190,113,0.406316214
"CLMB",35,207,79,0.261067396
"CLMB",36,207,91,0.37648136
"CLMB",37,218,46,0.147768115
"CLMB",38,211,49,NA
"CLMB",39,207,74,0.163868096
"CLMB",40,200,90,0.41106775
"CLMB",41,193,166,0.343939255
"CLMB",42,183,157,0.4932813
"CLMB",43,200,130,0.584195214
"CLMB",44,200,153,0.49611625
"CLMB",45,NA,NA,NA
"CLMB",46,200,161,0.763546533
"CLMB",47,NA,NA,NA
"CLMB",48,179,73,0.187693241
"CLMB",49,190,70,0.22226008
"CLMB",50,200,99,0.21313359
"CLMB",52,176,206,0.56245408
"CLMB",53,223,31,0.034472992
"CLMB",54,193,88,0.332282512
"CLMB",55,NA,19,0.035
"CLMB",56,NA,NA,NA
"CLMB",57,197,124,0.22963095
"CLMB",58,NA,NA,NA
"CLMB",59,190,140,0.261482447
"CLMB",60,193,114,0.19771959
"CLMB",61,207,97,0.515261871
"CLMB",62,190,98,0.339272065
"CLMB",63,207,62,0.234527682
"CLMB",64,NA,NA,NA
"CLMB",65,190,119,0.263376
"CLMB",66,218,57,0.219956121
"CLMB",67,207,76,0.188996667
"CLMB",68,216,43,0.121232771
"CLMB",69,207,109,0.4331072
"CLMB",70,NA,NA,NA
"CLMB",71,209,202,0.7588056
"CLMB",72,187,126,0.319840513
"CLMB",73,200,114,0.201532648
"CLMB",74,207,106,0.586180431
"CLMB",75,197,83,0.616200453
"CLMB",76,200,83,0.214393094
"CLMB",77,NA,NA,NA
"CLMB",78,179,103,0.282235022
"CLMB",79,190,106,0.334466828
"CLMB",80,187,99,0.357738596
"CLMB",81,NA,NA,NA
"CLMB",83,204,91,0.279715067
"CLMB",84,NA,NA,NA
"CLMB",85,193,162,0.517945365
"CLMB",86,218,128,0.3288542
"CLMB",87,190,105,0.264595333
"CLMB",88,202,185,0.9752228
"CLMB",89,181,123,0.189475139
"CLMB",90,204,137,0.497365214
"CLMB",91,221,84,0.347232497
"CLMB",93,209,89,0.307794571
"CLMB",94,181,114,0.235013246
"CLMB",95,NA,NA,NA
"CLMB",96,NA,NA,NA
"CLMB",97,187,68,0.323864688
"CLMB",98,NA,NA,NA
"CLMB",99,200,109,0.264097974
"CLMB",100,202,177,0.5556502
"CLMB",101,NA,NA,NA
"CLMB",102,200,143,0.3202052
"CLMB",103,200,201,0.91087174
"CLMB",104,179,50,0.135334007
"CLMB",105,207,124,0.4932813
"CLMB",106,193,198,0.767104118
"CLMB",107,197,77,0.406776312
"CLMB",108,NA,NA,NA
"CLMB",110,183,95,0.357655285
"CLMB",111,176,121,0.32626793
"CLMB",112,190,109,0.40222134
"CLMB",113,200,97,0.523535194
"CLMB",114,209,50,0.206636356
"CLMB",115,NA,NA,NA
"CLMB",116,200,188,0.74954219
"CLMB",117,200,97,0.338574029
"CLMB",118,193,118,0.468098771
"CLMB",119,207,179,0.546200367
"CLMB",120,187,145,0.445344873
"CLMB",122,179,110,0.259195429
"CLMB",123,211,118,0.313734467
"CLMB",125,197,126,0.293355696
"CLMB",126,NA,NA,NA
"CLMB",127,NA,NA,NA
"CLMB",128,NA,23,0.067256745
"CLMB",130,200,88,0.379751442
"CLMB",131,200,148,0.468586777
"CLMB",132,NA,113,0.523336033
"CLMB",134,197,104,0.414712686
"CLMB",135,197,171,0.999674244
"CLMB",136,NA,NA,NA
"CLMB",137,200,79,0.3175144
"CLMB",138,NA,NA,NA
"CLMB",139,NA,NA,NA
"CLMB",141,190,84,0.251334584
"CLMB",142,211,161,0.439635323
"CLMB",143,221,160,0.713320022
"CLMB",144,NA,NA,NA
"CLMB",145,200,66,0.157245227
"CLMB",146,NA,NA,NA
"CLMB",147,193,121,0.721918177
"CLMB",148,NA,NA,NA
"CLMB",150,179,104,0.279510746
"CLMB",151,190,62,NA
"CLMB",152,NA,NA,NA
"CLMB",153,NA,54,0.256929734
"CLMB",154,202,130,0.365393556
"CLMB",155,200,97,0.380355792
"CLMB",156,204,85,0.263456175
"CLMB",157,207,98,0.187876686
"CLMB",158,181,188,0.438472267
"CLMB",159,197,153,0.849702945
"CLMB",160,NA,NA,NA
"CLMB",161,197,112,0.692018564
"CLMB",163,197,52,0.203480523
"CLMB",164,197,103,0.334008655
"CLMB",165,NA,NA,NA
"CLMB",166,207,145,0.774809192
"CLMB",167,190,78,0.267568315
"CLMB",168,193,130,0.495215736
"CLMB",169,NA,NA,NA
"CLMB",170,187,86,0.389276716
"CLMB",171,197,93,0.388338414
"CLMB",172,209,92,0.232764316
"CLMB",173,204,78,0.165094147
"CLMB",174,216,47,0.094498333
"CLMB",175,202,133,0.762442283
"CLMB",176,193,105,0.444142167
"CLMB",177,200,102,0.330089228
"CLMB",178,204,96,0.529190667
"CLMB",179,190,53,0.08618248
"CLMB",180,190,162,0.6123492
"CLMB",181,193,101,0.210301745
"CLMB",182,202,116,0.516253163
"CLMB",184,193,131,0.643483325
"CLMB",185,176,134,0.39590693
"CLMB",186,209,220,1.130317456
"CLMB",187,200,73,0.0907184
"CLMB",188,197,134,0.917263822
"CLMB",189,NA,NA,NA
"CLMB",190,NA,NA,NA
"CLMB",191,187,146,0.377411805
"CLMB",192,202,115,0.389953719
"CLMB",193,223,62,0.221954288
"CLMB",194,223,169,0.658034725
"CLMB",195,181,109,0.335058996
"CLMB",196,207,96,0.407408087
"CLMB",197,202,128,0.524870743
"CLMB",198,200,111,0.389676764
"CLMB",199,193,176,0.648369741
"CLMB",200,190,72,0.19504456
"CLMB",201,NA,NA,NA
"CLMB",202,NA,NA,NA
"CLMB",203,193,160,0.457063367
"CLMB",204,179,98,0.132588431
"CLMB",205,NA,NA,NA
"CLMB",206,NA,NA,NA
"CLMB",207,190,78,0.252715543
"CLMB",208,NA,NA,NA
"CLMB",209,179,56,0.056205965
"CLMB",210,207,82,0.270050907
"CLMB",211,204,201,0.593579876
"CLMB",212,190,115,0.697197586
"CLMB",213,210,117,0.39590693
"CLMB",214,NA,NA,NA
"CLMB",215,211,101,0.2930058
"CLMB",216,209,119,0.279133538
"CLMB",217,NA,NA,NA
"CLMB",218,209,153,0.617426722
"CLMB",219,209,54,0.107268378
"CLMB",220,NA,NA,NA
"CLMB",221,181,91,0.307794571
"CLMB",222,193,63,0.18597272
"CLMB",223,202,242,0.543001962
"CLMB",224,193,125,0.682110501
"CLMB",225,187,112,0.34926584
"CLMB",226,202,88,0.301432502
"CLMB",227,190,124,0.424562112
"CLMB",228,190,243,0.967948211
"CLMB",229,197,81,0.468267035
"CLMB",230,NA,NA,NA
"CLMB",231,179,102,0.40599284
"CLMB",232,197,114,0.447014916
"CLMB",233,193,69,0.153523446
"CLMB",234,200,116,0.320182588
"CLMB",235,188.5,145.5,0.394975063
"CLMB",236,204,94,0.295362233
"CLMB",237,200,126,0.408623828
"CLMB",238,193,152,0.669128624
"CLMB",239,207,103,0.50121916
"CLMB",240,190,137,0.647770148
"CLMB",241,207,102,0.269995238
"CLMB",242,179,52,0.083998519
"CLMB",243,190,200,0.595281047
"CLMB",244,193,115,0.495976826
"CLMB",245,197,146,0.525015815
"CLMB",246,193,113,0.32609587
"CLMB",247,207,136,0.570054811
"CLMB",248,225,114,0.622366023
"CLMB",249,193,16,0.615307409
"CLMB",250,209,225,0.917905265
"CLMB",251,209,144,0.12
"CLMB",252,202,85,0.309954533
"CLMB",253,181,148,0.566201144
"CLMB",254,183,124,0.322788726
"CLMB",255,187,103,0.228130094
"CLMB",256,207,111,0.518687646
"CLMB",257,NA,112,0.41730464
"CLMB",258,179,143,0.398512971
"CLMB",259,NA,NA,NA
"CLMB",260,183,70,0.334259151
"CLMB",261,197,123,0.4422522
"CLMB",262,193,97,0.413809751
"CLMB",263,202,140,0.632810143
"CLMB",264,207,88,0.400443846
"CLMB",265,190,169,0.41198554
"CLMB",266,NA,NA,NA
"CLMB",267,197,73,0.498640521
"CLMB",268,NA,NA,NA
"CLMB",269,183,73,0.094498333
"CLMB",270,193,112,0.882103031
"CLMB",271,207,200,0.903273724
"CLMB",272,190,158,0.542437772
"CLMB",273,NA,NA,NA
"CLMB",274,193,124,0.430072415
"CLMB",275,193,200,0.546022068
"CLMB",276,NA,NA,NA
"CLMB",277,200,242,0.761656567
"CLMB",278,207,140,0.39916096
"CLMB",279,202,74,0.28122704
"CLMB",280,NA,NA,NA
"CLMB",281,NA,NA,NA
"CLMB",282,181,132.5,0.2709966865
"CLMB",283,NA,NA,NA
"CLMB",284,179,95,0.340420796
"CLMB",285,202,167,1.10267011
"CLMB",286,181,65,0.172586224
"CLMB",287,207,62,0.103948167
"CLMB",288,211,57,0.172492732
"CLMB",289,202,58,0.173432235
"CLMB",290,197,76,0.216328492
"CLMB",291,NA,NA,NA
"CLMB",292,216,66,0.265898759
"CLMB",293,200,79,0.143492085
"CLMB",294,181,108,0.532664119
"CLMB",296,193,113,0.420603491
"CLMB",297,207,26,0.04746893
"CLMB",298,193,84,0.179447361
"CLMB",299,202,83,0.263469396
"CLMB",300,NA,NA,NA
"CLMB",301,187,127,0.554868145
"CLMB",302,174,174,0.558601655
"CLMB",303,207,101,0.40369688
"CLMB",304,193,223,0.553630784
"CLMB",305,190,170,0.481877793
"CLMB",306,NA,NA,NA
"CLMB",307,200,165,0.624324029
"CLMB",308,200,133,0.378772701
"CLMB",310,204,118,0.353459426
"CLMB",311,193,74,0.15592225
"CLMB",312,209,92,0.222083356
"CLMB",313,193,141,0.453794496
"CLMB",314,176,115,0.40140885
"CLMB",315,193,174,0.580689087
"CLMB",316,NA,NA,NA
"CLMB",317,197,177,0.325811815
"CLMB",318,193,144,0.454481396
"CLMB",319,179,84,0.273469959
"CLMB",320,193,77,0.225888816
"CLMB",322,204,106,0.429959476
"CLMB",323,190,107,0.222021347
"CLMB",324,190,184,0.544726539
"CLMB",325,207,79,0.676054318
"CLMB",326,200,95,0.342623957
"CLMB",327,NA,NA,NA
"CLMB",328,200,110,0.45245802
"CLMB",330,190,268,0.606766529
"CLMB",332,193,42,0.104846675
"CLMB",333,NA,92,0.313526778
"CLMB",334,200,189,0.998259559
"CLMB",335,NA,NA,NA
"CLMB",336,209,106,NA
"CLMB",337,181,143,0.334617049
"CLMB",338,211,NA,0.16277637
"CLMB",339,190,129,0.410784255
"CLMB",340,NA,NA,NA
"CLMB",341,183,121,0.233304059
"CLMB",342,183,97,0.32205032
"CLMB",343,187,161,0.474883053
"CLMB",344,NA,NA,NA
"CLMB",345,183,119,0.307119583
"CLMB",346,NA,NA,NA
"CLMB",347,179,81,0.190571639
"CLMB",349,NA,NA,NA
"CLMB",350,202,105,0.410578966
"CLMB",352,209,90,0.268031636
"CLMB",353,209,139,0.546663943
"CLMB",354,204,94,0.227370167
"CLMB",355,207,107,0.274614434
"CLMB",356,190,174,0.377422777
"CLMB",358,193,28,0.564470044
"CLMB",359,209,103,0.41462961
"CLMB",360,187,193,0.58340571
"CLMB",361,187,91,0.129597714
"CLMB",362,NA,NA,NA
"CLMB",363,NA,NA,NA
"CLMB",364,197,61,0.205048438
"CLMB",365,190,146,0.450962481
"CLMB",366,202,100,0.385981117
"CLMB",367,200,136,0.476128058
"CLMB",368,190,133,0.301405525
"CLMB",369,NA,NA,NA
"CLMB",370,202,205,0.746300588
"CLMB",371,207,160,0.5953395
"CLMB",372,NA,NA,NA
"CLMB",373,197,149,0.511882551
"CLMB",374,204,141,0.334590805
"CLMB",375,221,37,0.066441645
"CLMB",376,NA,NA,NA
"CLMB",377,202,101,0.366502336
"CLMB",378,221,82,0.247413818
"CLMB",379,209,117,0.539811967
"CLMB",380,200,86,0.351168
"CLMB",381,197,228,0.58243143
"CLMB",382,193,83,0.454424279
"CLMB",383,200,78,0.358401566
"CLMB",384,NA,NA,NA
"CLMB",386,200,43,0.080169749
"CLMB",388,187,86,0.326992442
"CLMB",389,202,174,0.54332433
"CLMB",390,209,79,0.373137361
"CLMB",391,NA,NA,NA
"CLMB",392,193,77,0.270895222
"CLMB",393,207,86,0.398894141
"CLMB",394,NA,NA,NA
"CLMB",395,193,120,0.329005397
"CLMB",396,200,138,0.429718737
"CLMB",397,204,196,0.779144739
"CLMB",398,200,106,0.186773176
"CLMB",399,179,137,0.524150756
"CLMB",400,204,116,0.423502234
"CLMB",402,207,202,1.182579143
"CLMB",403,187,190,0.668103217
"CLMB",404,181,110,0.36175362
"KBSM",1,193,161,0.295350449
"KBSM",2,207,184,0.466372577
"KBSM",3,195,155,0.403887298
"KBSM",4,214,152,0.594865174
"KBSM",5,195,57,0.238159727
"KBSM",7,197,148,0.307862257
"KBSM",8,207,145,0.505596557
"KBSM",9,195,190,0.432142736
"KBSM",10,193,114,0.196660826
"KBSM",11,209,123,0.279766523
"KBSM",12,204,117,0.322011256
"KBSM",13,NA,NA,NA
"KBSM",14,202,76,0.118317608
"KBSM",15,221,246,0.987716384
"KBSM",16,NA,NA,NA
"KBSM",17,209,121,0.634553603
"KBSM",18,193,169,0.360017425
"KBSM",19,202,73,0.558582883
"KBSM",20,195,92,0.333247646
"KBSM",21,NA,NA,NA
"KBSM",22,193,143,0.357018277
"KBSM",23,214,65,0.189359742
"KBSM",24,NA,NA,NA
"KBSM",25,207,118,0.417189266
"KBSM",26,211,138,0.678939077
"KBSM",27,NA,NA,NA
"KBSM",28,197,159,0.569987608
"KBSM",29,202,114,0.213266602
"KBSM",30,211,62,0.13751171
"KBSM",31,193,179,0.250726835
"KBSM",32,204,150,0.665666471
"KBSM",33,190,67,0.1248
"KBSM",34,200,132,0.281127823
"KBSM",35,209,119,0.311044466
"KBSM",36,209,87,0.401085133
"KBSM",37,214,205,0.546822184
"KBSM",38,197,68,0.164775597
"KBSM",39,197,83,0.117477065
"KBSM",40,202,130,0.512841878
"KBSM",41,209,140,0.175050341
"KBSM",42,193,160,0.461703203
"KBSM",43,209,158,0.720272905
"KBSM",44,207,277,0.768526263
"KBSM",45,NA,NA,NA
"KBSM",46,200,91,0.314345456
"KBSM",47,NA,NA,NA
"KBSM",48,195,103,0.257973888
"KBSM",49,NA,NA,NA
"KBSM",50,NA,NA,NA
"KBSM",52,190,85,0.180355048
"KBSM",53,200,145,0.47984637
"KBSM",54,214,150,0.640618915
