QTL x environment interactions for panicle traits in switchgrass (Panicum virgatum),,,,,,,,,
Theoretical and Applied Genetics,,,,,,,,,
"Li Zhang1*, Xiaoyu Weng1, Kathrine D. Behrman1, Jason Bonnette1, John L. Reilley2, Francis M. Rouquette Jr3, Philip A. Fay4, Yanqi Wu5, Felix B. Fritschi6, Robert B. Mitchell7, David B. Lowry8, Arvid R. Boe9, Thomas E. Juenger1*",,,,,,,,,
CLMB,J378.B,Upland,Midwest,-3.40919132845543,-5.71142075750586,-2.15807684050036,,,
KBSM,J378.B,Upland,Midwest,-6.16481573766175,-4.85548361619118,-2.41573454671978,,,
PKLE,J419.B,Lowland,Gulf,7.3861980621087,9.24987571225316,7.41788497155746,,,
CLMB,J419.B,Lowland,Gulf,4.84478717477937,4.27615680002548,0.586208102475894,,,
KBSM,J419.B,Lowland,Gulf,6.95803495973051,4.68964554475256,2.53862243960185,,,
PKLE,J660.B,Lowland,Gulf,8.00336466091782,-3.38727865505699,-1.89549260597196,,,
CLMB,J660.B,Lowland,Gulf,13.017136373684,11.0419351454499,2.41573139779339,,,
KBSM,J660.B,Lowland,Gulf,4.74454207101374,12.9620908175705,0.498593092292947,,,
PKLE,J354.B,Upland,Midwest,-18.5347990878744,-10.5159298366166,-2.8268303637249,,,
CLMB,J354.B,Upland,Midwest,-21.3550799265879,-7.96668020598068,-1.85315629128077,,,
KBSM,J354.B,Upland,Midwest,-22.7660124030375,-9.30987722463159,-4.45576389402869,,,
PKLE,J006.B,Upland,Atlantic,-10.6090806610625,-6.30354504751319,-1.58504668672097,,,
CLMB,J006.B,Upland,Atlantic,-7.0793704346865,-3.45616130903104,0.28128755325631,,,
KBSM,J006.B,Upland,Atlantic,-8.82100720412187,-5.80999653228555,-0.958570727213416,,,
PKLE,J477.A,Coastal,Gulf,20.8988983307716,3.74137252650258,3.07164210204374,,,
CLMB,J477.A,Coastal,Gulf,10.7848888591157,15.8746339636103,10.9535067759417,,,
KBSM,J477.A,Coastal,Gulf,7.55884017238221,10.4167230413188,6.32724837031839,,,
PKLE,J201.A,Unknown,4X,-4.19480317816961,4.80282982796906,-1.01040600968912,,,
CLMB,J201.A,Unknown,4X,-7.89386260934012,2.61622352526632,-5.30548941741966,,,
KBSM,J201.A,Unknown,4X,3.66854302491043,5.27380003045229,0.226108476204441,,,
PKLE,J184.A,Unknown,4X,-0.119278313763372,5.02294535341515,-0.142837421997138,,,
CLMB,J184.A,Unknown,4X,-17.2076833488879,-8.61104004840206,-4.29252068503744,,,
KBSM,J184.A,Unknown,4X,-6.61735031097792,10.4552357071868,-2.34541918112173,,,
PKLE,J673.C,Coastal,Atlantic,1.7342513151199,-1.767130659248,1.82985842503981,,,
CLMB,J673.C,Coastal,Atlantic,6.48051285001152,0.732177666707908,2.11081084857381,,,
KBSM,J673.C,Coastal,Atlantic,3.16347572193034,-1.99194486790806,0.790025856194217,,,
PKLE,J661.B,Upland,Atlantic,-14.2146328962106,0.501076534884592,3.07164210204374,,,
CLMB,J661.B,Upland,Atlantic,-4.84712292011825,-0.234362096924158,1.19604920091506,,,
KBSM,J661.B,Upland,Atlantic,-4.55212806159668,-2.31011583993951,0.207160328391673,,,
PKLE,J602.C,Coastal,Atlantic,22.8803279374746,5.68555012147337,6.17610129455354,,,
CLMB,J602.C,Coastal,Atlantic,6.03783085345158,2.98743711518273,0.586208102475894,,,
KBSM,J602.C,Coastal,Atlantic,20.5552055618478,2.78061971256381,3.99578625910822,,,
PKLE,J513.A,Unknown,4X,0.759777738052865,-3.38727865505699,-1.27460076746999,,,
CLMB,J513.A,Unknown,4X,2.7412627939626,-1.52308178176691,-1.54823574206119,,,
KBSM,J513.A,Unknown,4X,0.602148236415225,-5.17365458822264,-0.0842724355096,,,
PKLE,J301.A,Lowland,Gulf,6.69203100734204,-1.7921410653529,1.41268873420726,,,
CLMB,J301.A,Lowland,Gulf,23.9429047994189,9.4310355393965,7.9043012837459,,,
KBSM,J301.A,Lowland,Gulf,24.9821913392813,4.68964554475256,4.57865178691076,,,
PKLE,J599.B,Coastal,Atlantic,-7.62069502472363,-4.03533785338059,-2.51638444447392,,,
CLMB,J599.B,Coastal,Atlantic,-2.81580907774741,-4.42270107266311,-2.46299738971994,,,
KBSM,J599.B,Coastal,Atlantic,4.74454207101375,-2.62828681197097,1.08145862009549,,,
PKLE,J433.A,Upland,Atlantic,-14.5069749693307,-7.59966344416038,-3.13727628297588,,,
CLMB,J433.A,Upland,Atlantic,-17.100937335533,-0.878721939345534,-1.54823574206119,,,
KBSM,J433.A,Upland,Atlantic,-16.1255337368872,-1.99194486790806,-2.12430178281851,,,
PKLE,J665.B,Upland,Atlantic,-13.2726417717124,-11.488018634102,-2.8268303637249,,,
CLMB,J665.B,Upland,Atlantic,-15.6253306803332,-12.1550191817196,-4.59744123425702,,,
KBSM,J665.B,Upland,Atlantic,-12.8685370577754,-12.8097579169776,-0.667137963312144,,,
PKLE,J671.C,Upland,Atlantic,-2.91073940223296,0.501076534884592,2.45075026354177,,,
CLMB,J671.C,Upland,Atlantic,5.84003676988223,0.087817824286533,1.50096975013464,,,
KBSM,J671.C,Upland,Atlantic,11.0688074673474,-1.35560292384514,1.66432414789804,,,
PKLE,J245.A,Lowland,Gulf,10.6344433189988,12.1661421047094,2.45075026354177,,,
CLMB,J245.A,Lowland,Gulf,9.67975366202988,9.75321546060719,2.41573139779339,,,
KBSM,J245.A,Lowland,Gulf,2.78401979815032,10.4167230413188,2.83005520350312,,,
PKLE,J211.A,Lowland,Gulf,13.1680746193731,10.5459941089004,8.03877681005942,,,
CLMB,J211.A,Lowland,Gulf,-11.543865463823,1.69871743033997,-0.938394643622022,,,
KBSM,J211.A,Lowland,Gulf,15.5906572257259,13.5984327616334,8.3672777176273,,,
PKLE,J652.C,Lowland,Gulf,12.3884957577195,18.9707636871071,5.2447635368006,,,
CLMB,J652.C,Lowland,Gulf,18.279086914354,19.4186130969279,7.29446018530673,,,
KBSM,J652.C,Lowland,Gulf,-13.9120408481704,12.0075779014761,-0.667137963312144,,,
PKLE,J205.A,Coastal,Atlantic,5.11242638228562,1.47316533236999,5.55520945605158,,,
CLMB,J205.A,Coastal,Atlantic,6.28899794369836,-3.13398138782036,-0.023632995963275,,,
KBSM,J205.A,Coastal,Atlantic,0.032964350745198,-6.44633847634847,-0.084272435509599,,,
PKLE,J466.B,Coastal,Gulf,21.2886877615984,14.4343492988419,7.72833089080845,,,
CLMB,J466.B,Coastal,Gulf,14.3577407178762,11.3641150666606,2.41573139779339,,,
KBSM,J466.B,Coastal,Gulf,26.3419083994931,21.2345360903884,14.1959329956528,,,
PKLE,J422.B,Upland,Atlantic,-13.5325013922636,-8.57175224164578,-1.27460076746999,,,
CLMB,J422.B,Upland,Atlantic,-12.5485338248101,-5.38924083629517,-2.46299738971994,,,
KBSM,J422.B,Upland,Atlantic,-15.1768939274372,-1.6737738958766,0.498593092292945,,,
PKLE,J430.B,Upland,Atlantic,-4.59982693581582,-5.65548584918959,-1.89549260597196,,,
CLMB,J430.B,Upland,Atlantic,7.11784934151273,-0.234362096924158,0.891128651695477,,,
KBSM,J430.B,Upland,Atlantic,6.48371505500549,-8.35536430853722,-1.83286901891723,,,
PKLE,J521.A,Upland,Atlantic,-11.3236946175784,-8.24772264248398,-1.58504668672097,,,
CLMB,J521.A,Upland,Atlantic,-15.5311430214906,-4.7448809938738,-3.37775903737869,,,
KBSM,J521.A,Upland,Atlantic,-9.01073516601188,-8.35536430853722,-2.70716731062105,,,
PKLE,J192.A,Coastal,Atlantic,4.91753166687222,7.62972771644417,1.82985842503981,,,
CLMB,J192.A,Coastal,Atlantic,11.2809438623531,9.75321546060719,0.586208102475894,,,
KBSM,J192.A,Coastal,Atlantic,11.5115060450907,8.50769720913006,3.70435349520694,,,
PKLE,J650.C,Coastal,Gulf,24.699345281333,29.9877700586083,8.03877681005942,,,
CLMB,J650.C,Coastal,Gulf,12.6309669724296,43.2599272665188,8.51414238218506,,,
KBSM,J650.C,Coastal,Gulf,5.69318188046379,45.4155299647792,2.83005520350313,,,
PKLE,J609.C,Coastal,Atlantic,-8.14041426582605,9.24987571225316,6.17610129455354,,,
CLMB,J609.C,Coastal,Atlantic,20.7530827532848,4.59833672123617,3.02557249623256,,,
KBSM,J609.C,Coastal,Atlantic,20.5552055618478,-2.31011583993951,-0.375705199410872,,,
PKLE,J491.B,Upland,Midwest,-7.29148591800429,-11.4863020863592,-2.60584606123132,,,
CLMB,J491.B,Upland,Midwest,-5.64457843165177,-7.32232036355931,-0.023632995963275,,,
KBSM,J491.B,Upland,Midwest,-8.53641526128686,-13.4460998610405,-2.12430178281851,,,
PKLE,J202.A,Unknown,4X,7.73436824926812,5.1330031161382,-2.31175889122708,,,
CLMB,J202.A,Unknown,4X,5.09452094363561,0.858726433402838,-0.671640444294015,,,
KBSM,J202.A,Unknown,4X,1.5621132320626,3.63319425526019,-0.304039828680598,,,
PKLE,J365.A,Upland,Midwest,-11.5510717855607,-7.59966344416038,-2.51638444447392,,,
CLMB,J365.A,Upland,Midwest,-6.52052365888742,-0.556542018134848,-2.15807684050036,,,
KBSM,J365.A,Upland,Midwest,-3.35051763629329,4.68964554475256,-0.084272435509599,,,
PKLE,J581.C,Upland,Midwest,-22.7900003744005,-12.1360778324256,-6.55218139473667,,,
CLMB,J581.C,Upland,Midwest,-16.2218525196693,-10.5441195756662,-5.51220288191577,,,
KBSM,J581.C,Upland,Midwest,-1.61134465230154,-1.35560292384514,-2.41573454671978,,,
PKLE,J368.A,Upland,Midwest,-13.9222908230905,-13.7562258282346,-2.8268303637249,,,
CLMB,J368.A,Upland,Midwest,-7.80775499640216,-9.57757981203412,-1.24331519284161,,,
KBSM,J368.A,Upland,Midwest,-9.16884180092021,-11.8552450008833,-3.58146560232487,,,
PKLE,J592.C,Upland,Atlantic,-13.8898083705216,-8.24772264248398,0.588074748035889,,,
CLMB,J592.C,Upland,Atlantic,-16.8058160044931,-7.32232036355931,-3.07283848815911,,,
KBSM,J592.C,Upland,Atlantic,-16.0306697559422,-8.03719333650576,-2.70716731062105,,,
PKLE,J020.C,Coastal,Gulf,21.8084070027008,3.74137252650258,2.45075026354177,,,
CLMB,J020.C,Coastal,Gulf,20.4485426563606,2.34307727276136,1.50096975013464,,,
KBSM,J020.C,Coastal,Gulf,20.5552055618478,4.3714745727211,1.37289138399676,,,
PKLE,J026.C,Lowland,Atlantic,15.9615655402986,6.33360931979697,5.86565537530256,,,
CLMB,J026.C,Lowland,Atlantic,19.9556272417513,3.9539768788148,5.16001634076965,,,
KBSM,J026.C,Lowland,Atlantic,-14.2598754449688,0.871593880375065,-6.20436047743632,,,
PKLE,J006.C,Coastal,Atlantic,-2.42350261369945,-2.0911602584098,0.27762882878491,,,
CLMB,J006.C,Coastal,Atlantic,1.85275921221461,0.732177666707908,-0.023632995963275,,,
KBSM,J006.C,Coastal,Atlantic,-5.59563185199173,2.46244874053236,0.498593092292944,,,
PKLE,J251.A,Lowland,Gulf,31.2608007002511,22.5350892778869,2.76119618279275,,,
CLMB,J251.A,Lowland,Gulf,29.4905579052447,21.351692624192,8.20922183296548,,,
KBSM,J251.A,Lowland,Gulf,13.0925723941741,22.5072199785142,2.24718967570058,,,
PKLE,J249.C,Lowland,Gulf,31.9104497516291,21.5630004804015,3.07164210204374,,,
CLMB,J249.C,Lowland,Gulf,8.10995934798751,12.3306548302927,-0.023632995963275,,,
KBSM,J249.C,Lowland,Gulf,29.9467396754032,19.3255102581996,8.07584495372603,,,
PKLE,J517.A,Upland,Atlantic,-13.6949136551082,-6.62757464667499,-2.20593852522294,,,
CLMB,J517.A,Upland,Atlantic,-6.39494011376403,-2.81180146660967,-1.54823574206119,,,
KBSM,J517.A,Upland,Atlantic,-13.9752835021338,-1.6737738958766,0.498593092292945,,,
PKLE,J016.A,Lowland,Gulf,5.63214562338804,24.1552372736959,3.07164210204374,,,
CLMB,J016.A,Lowland,Gulf,3.96570235891564,31.3392701817233,5.16001634076965,,,
KBSM,J016.A,Lowland,Gulf,6.45209372802382,30.4614942793007,5.74438284251585,,,
PKLE,J394.A,Upland,Midwest,-5.89912503857187,-10.5159298366166,-2.8268303637249,,,
CLMB,J394.A,Upland,Midwest,-10.0368629223423,-10.2219396544555,-3.37775903737869,,,
KBSM,J394.A,Upland,Midwest,-3.47700294421996,-11.2189030568203,-1.25000349111469,,,
PKLE,J676.C,Upland,Atlantic,0.532400570070561,-3.06324905589519,2.76119618279275,,,
CLMB,J676.C,Upland,Atlantic,0.166800118933101,-3.13398138782036,0.891128651695477,,,
KBSM,J676.C,Upland,Atlantic,-1.10540342059486,-4.85548361619118,-0.958570727213415,,,
PKLE,J029.A,Upland,Midwest,-4.08010769471341,-7.92369304332218,-1.27460076746999,,,
CLMB,J029.A,Upland,Midwest,-9.50313285556794,-6.67796052113793,-3.68267958659827,,,
KBSM,J029.A,Upland,Midwest,-5.46914654406506,-7.08268042041138,-2.70716731062105,,,
PKLE,J601.B,Coastal,Atlantic,-9.4072299160132,-0.471012262600804,4.00297985979668,,,
CLMB,J601.B,Coastal,Atlantic,-2.37626666981555,0.409997745497218,3.33049304545214,,,
KBSM,J601.B,Coastal,Atlantic,-0.694326169833167,1.50793582443798,3.41292073130567,,,
PKLE,J390.B,Upland,Midwest,-5.24947598719385,-12.1360778324256,-2.51638444447392,,,
CLMB,J390.B,Upland,Midwest,-6.74029486285336,-5.38924083629517,-4.29252068503744,,,
KBSM,J390.B,Upland,Midwest,-2.21214986495324,0.235251936312152,3.99578625910821,,,
PKLE,J433.B,Upland,Atlantic,-9.5046772737199,-13.4321962290728,-4.3790599599798,,,
CLMB,J433.B,Upland,Atlantic,-0.457978018055768,-6.35578059992724,-1.85315629128077,,,
KBSM,J433.B,Upland,Atlantic,-0.947296785686519,-14.7187837491664,-4.45576389402869,,,
PKLE,J678.C,Coastal,Atlantic,1.11708471631078,2.76928372901718,-0.343263009717053,,,
CLMB,J678.C,Coastal,Atlantic,11.6262986114424,-1.20090186055622,-3.98760013581786,,,
KBSM,J678.C,Coastal,Atlantic,9.13990652146561,3.73513262865819,-0.0842724355096,,,
PKLE,J306.C,Coastal,Gulf,11.3165748229457,0.825106134046393,3.38208802129472,,,
CLMB,J306.C,Coastal,Gulf,11.0234975948502,0.087817824286533,1.50096975013464,,,
KBSM,J306.C,Coastal,Gulf,2.81564112513199,-0.401090007750768,2.24718967570058,,,
PKLE,J358.A,Upland,Midwest,-9.14737029546199,-4.03533785338059,-2.20593852522294,,,
CLMB,J358.A,Upland,Midwest,-9.94895444075596,4.59833672123617,-1.85315629128077,,,
KBSM,J358.A,Upland,Midwest,-12.9634010387204,3.73513262865819,-2.41573454671978,,,
PKLE,J354.C,Upland,Midwest,-18.2424570147543,-14.4042850265582,-4.99995179848176,,,
CLMB,J354.C,Upland,Midwest,-15.8137059980183,-12.799379024141,-3.98760013581786,,,
KBSM,J354.C,Upland,Midwest,-9.95937497546192,-6.44633847634847,-2.41573454671978,,,
PKLE,J614.A,Coastal,Atlantic,16.4488023288321,11.194053307224,11.4536819218202,,,
CLMB,J614.A,Coastal,Atlantic,6.57156092022599,11.3641150666606,6.07477798842839,,,
KBSM,J614.A,Coastal,Atlantic,18.8792752318194,16.4619715099165,15.0702312873566,,,
PKLE,J662.E,Lowland,Gulf,21.3861351193051,23.1831484762105,7.10743905230648,,,
CLMB,J662.E,Lowland,Gulf,9.58870559181543,15.8746339636103,4.85509579155006,,,
KBSM,J662.E,Lowland,Gulf,15.9701131495059,19.0073392861682,4.28721902300949,,,
PKLE,J516.B,Upland,Gulf,-10.803975376476,-13.4321962290728,-4.3790599599798,,,
CLMB,J516.B,Upland,Gulf,-9.50313285556793,-7.96668020598068,-2.76791793893953,,,
KBSM,J516.B,Upland,Gulf,-13.5325849243904,-9.62804819666305,-2.70716731062105,,,
PKLE,J504.A,Coastal,Gulf,16.0265304454364,19.6188228854307,11.4536819218202,,,
CLMB,J504.A,Coastal,Gulf,-11.952011985474,9.75321546060719,0.586208102475891,,,
KBSM,J504.A,Coastal,Gulf,18.6579259429477,9.46221012522442,4.28721902300949,,,
PKLE,J223.A,Lowland,Gulf,14.2724780067157,6.33360931979697,2.45075026354177,,,
CLMB,J223.A,Lowland,Gulf,14.1316903366541,8.46449577576443,4.85509579155006,,,
KBSM,J223.A,Lowland,Gulf,-9.80126834055358,-11.5370740288518,-0.958570727213418,,,
PKLE,J024.A,Upland,Midwest,-8.62765105435957,-5.33145625002778,-2.51638444447392,,,
CLMB,J024.A,Upland,Midwest,-17.8230427199925,-7.64450028477,-4.90236178347661,,,
KBSM,J024.A,Upland,Midwest,-15.9041844480155,-9.62804819666305,-2.99860007452232,,,
PKLE,J073.B,Lowland,Gulf,34.4765635045723,9.89793491057676,4.62387169829864,,,
CLMB,J073.B,Lowland,Gulf,19.5066660679352,11.0419351454499,1.80589029935423,,,
KBSM,J073.B,Lowland,Gulf,36.0180344558835,4.05330360068965,3.99578625910822,,,
PKLE,J591.A,Coastal,Atlantic,4.78369222694184,1.9869386547004,2.53787847693006,,,
CLMB,J591.A,Coastal,Atlantic,16.9635992791865,2.02089735155066,1.80589029935423,,,
KBSM,J591.A,Coastal,Atlantic,9.17152784844728,0.235251936312152,-0.375705199410874,,,
PKLE,J669.B,Upland,Atlantic,-5.41188825003835,-5.97951544835139,-1.27460076746999,,,
CLMB,J669.B,Upland,Atlantic,-3.17058259272099,-3.77834123024173,0.28128755325631,,,
KBSM,J669.B,Upland,Atlantic,-2.33863517287991,-7.08268042041138,1.08145862009549,,,
PKLE,J430.A,Upland,Atlantic,-17.0081238171361,-5.00742665086599,-1.58504668672097,,,
CLMB,J430.A,Upland,Atlantic,-15.0288088409971,-8.93321996961275,-2.15807684050036,,,
KBSM,J430.A,Upland,Atlantic,-11.097742746802,-4.85548361619118,-1.83286901891723,,,
PKLE,J658.B,Upland,Midwest,9.33514521624278,0.501076534884592,-0.032817090466071,,,
CLMB,J658.B,Upland,Midwest,6.41458148882175,-4.7448809938738,-1.85315629128077,,,
KBSM,J658.B,Upland,Midwest,5.85128851537214,-7.7190223644743,-2.41573454671978,,,
PKLE,J587.C,Coastal,Gulf,23.1401875580258,14.1103196996801,7.41788497155746,,,
CLMB,J587.C,Coastal,Gulf,1.76799031925632,9.4310355393965,1.19604920091506,,,
KBSM,J587.C,Coastal,Gulf,5.6931818804638,9.14403915319297,1.08145862009549,,,
PKLE,J004.B,Lowland,Gulf,15.2794340363517,6.33360931979697,2.76119618279275,,,
CLMB,J004.B,Lowland,Gulf,-2.59603787378148,5.88705640607893,-1.54823574206119,,,
KBSM,J004.B,Lowland,Gulf,13.3771643370091,12.3257488735076,3.70435349520694,,,
PKLE,J009.C,Lowland,Gulf,15.2144691312139,17.9986748896217,3.69253394054569,,,
CLMB,J009.C,Lowland,Gulf,-2.15649546584962,9.10885561818581,0.28128755325631,,,
KBSM,J009.C,Lowland,Gulf,1.89862264266362,15.8256295658536,2.83005520350313,,,
PKLE,J426.A,Coastal,Atlantic,-2.42350261369945,-1.1190714609244,-1.58504668672097,,,
CLMB,J426.A,Coastal,Atlantic,1.07728082107767,1.0543575879186,-1.85315629128077,,,
KBSM,J426.A,Coastal,Atlantic,0.317556293580215,-1.6737738958766,-3.2900328384236,,,
PKLE,J170.A,Upland,Atlantic,-2.84577449709516,-10.1919002374548,-3.13727628297588,,,
CLMB,J170.A,Upland,Atlantic,-5.42166763905775,-7.64450028477,-3.07283848815911,,,
KBSM,J170.A,Upland,Atlantic,-7.9039887216535,-8.03719333650576,-2.70716731062105,,,
PKLE,J605.B,Upland,Atlantic,-5.70423032315847,-7.92369304332218,-0.653708928968032,,,
CLMB,J605.B,Upland,Atlantic,-0.926001400563465,-5.15327582873378,-1.45791040796964,,,
KBSM,J605.B,Upland,Atlantic,-5.2161759282117,-7.08268042041138,-0.958570727213415,,,
PKLE,J645.C,Upland,Atlantic,-1.96874827773483,-6.95160424583678,-2.8268303637249,,,
CLMB,J645.C,Upland,Atlantic,-1.99951603444538,-5.71142075750586,-3.07283848815911,,,
KBSM,J645.C,Upland,Atlantic,-3.00268303949494,-8.03719333650576,-2.70716731062105,,,
PKLE,J658.A,Upland,Midwest,-7.10097578362121,-5.00742665086599,-2.51638444447392,,,
CLMB,J658.A,Upland,Midwest,6.47737326138344,-3.77834123024173,-1.54823574206119,,,
KBSM,J658.A,Upland,Midwest,3.7959022615637,-8.35536430853722,-3.58146560232487,,,
PKLE,J352.B,Upland,Midwest,-4.56734448324692,-10.5159298366166,-4.68950587923078,,,
CLMB,J352.B,Upland,Midwest,6.238764525649,2.34307727276135,-0.023632995963275,,,
KBSM,J352.B,Upland,Midwest,-0.631083515869835,-2.62828681197097,-2.41573454671978,,,
