SITE,PLANT_ID,ECOTYPE,SUBPOP,PLOT_GL,REP,PL,PBN,SBN
PKLE,J671.C,Upland,Atlantic,P1420,A,40.6,27,14
PKLE,J671.C,Upland,Atlantic,P1420,B,37.2,27,16
PKLE,J671.C,Upland,Atlantic,P1420,C,34.1,30,13
PKLE,J245.A,Lowland,Gulf,P1421,A,49.2,39,13
PKLE,J245.A,Lowland,Gulf,P1421,B,51.9,41,17
PKLE,J245.A,Lowland,Gulf,P1421,C,52.5,40,13
PKLE,AP13,Lowland,Gulf,P1422,A,46.1,39,16
PKLE,AP13,Lowland,Gulf,P1422,B,45.9,38,19
PKLE,AP13,Lowland,Gulf,P1422,C,50.2,35,20
PKLE,J201.A,Unknown,4X,P1518,A,35,40,14
PKLE,J201.A,Unknown,4X,P1518,B,35,30,13
PKLE,J201.A,Unknown,4X,P1518,C,37.3,23,7
PKLE,J211.A,Lowland,Gulf,P1601,A,56.5,34,22
PKLE,J211.A,Lowland,Gulf,P1601,B,51.1,40,19
PKLE,J211.A,Lowland,Gulf,P1601,C,53.8,41,20
PKLE,J652.C,Lowland,Gulf,P1603,A,53.4,47,17
PKLE,J652.C,Lowland,Gulf,P1603,B,50.8,48,15
PKLE,J652.C,Lowland,Gulf,P1603,C,54.8,46,20
PKLE,J205.A,Coastal,Atlantic,P1606,A,47.1,26,17
PKLE,J205.A,Coastal,Atlantic,P1606,B,44.2,28,15
PKLE,J205.A,Coastal,Atlantic,P1606,C,45.3,33,21
PKLE,J466.B,Coastal,Gulf,P1607,A,67.6,45,27
PKLE,J466.B,Coastal,Gulf,P1607,B,54.3,45,14
PKLE,J466.B,Coastal,Gulf,P1607,C,64.5,37,19
PKLE,J422.B,Upland,Atlantic,P1609,A,28.6,22,12
PKLE,J422.B,Upland,Atlantic,P1609,B,22.9,15,8
PKLE,J422.B,Upland,Atlantic,P1609,C,27.7,19,11
PKLE,J430.B,Upland,Atlantic,P1615,A,36.6,29,9
PKLE,J430.B,Upland,Atlantic,P1615,B,37.5,21,12
PKLE,J430.B,Upland,Atlantic,P1615,C,32.6,15,8
PKLE,J521.A,Upland,Atlantic,P1616,A,25.7,20,10
PKLE,J521.A,Upland,Atlantic,P1616,B,28.7,18,10
PKLE,J521.A,Upland,Atlantic,P1616,C,31.6,19,10
PKLE,J192.A,Coastal,Atlantic,P1620,A,49.4,38,16
PKLE,J192.A,Coastal,Atlantic,P1620,B,46,35,14
PKLE,J192.A,Coastal,Atlantic,P1620,C,40.6,33,11
PKLE,J650.C,Coastal,Gulf,P1621,A,66.5,53,23
PKLE,J650.C,Coastal,Gulf,P1621,B,60.5,63,14
PKLE,J650.C,Coastal,Gulf,P1621,C,69.9,59,24
PKLE,J609.C,Coastal,Atlantic,P1622,A,32.4,36,18
PKLE,J609.C,Coastal,Atlantic,P1622,B,30.9,35,19
PKLE,J609.C,Coastal,Atlantic,P1622,C,32.5,40,18
PKLE,J184.A,Unknown,4X,P1702,A,41.4,36,11
PKLE,J184.A,Unknown,4X,P1702,B,38.5,30,11
PKLE,J184.A,Unknown,4X,P1702,C,41.6,32,10
PKLE,J491.B,Upland,Midwest,P1708,A,38.4,16,10
PKLE,J491.B,Upland,Midwest,P1708,B,42.4,20,12
PKLE,J491.B,Upland,Midwest,P1708,C,41.9,14,9
PKLE,J202.A,Unknown,4X,P1715,A,57.1,35,10
PKLE,J202.A,Unknown,4X,P1715,B,55,34,9
PKLE,J202.A,Unknown,4X,P1715,C,20.1,35,9
PKLE,AP13,Lowland,Gulf,P1803,A,46.2,35,18
PKLE,AP13,Lowland,Gulf,P1803,B,49.3,34,16
PKLE,AP13,Lowland,Gulf,P1803,C,51.5,39,16
PKLE,J365.A,Upland,Midwest,P1804,A,28.4,23,9
PKLE,J365.A,Upland,Midwest,P1804,B,26.6,17,6
PKLE,J365.A,Upland,Midwest,P1804,C,30.3,19,12
PKLE,J581.C,Upland,Midwest,P1805,A,16.8,16,4
PKLE,J581.C,Upland,Midwest,P1805,B,14.6,15,6
PKLE,J581.C,Upland,Midwest,P1805,C,19.3,14,4
PKLE,J368.A,Upland,Midwest,P1806,A,26.7,13,9
PKLE,J368.A,Upland,Midwest,P1806,B,27.7,13,9
PKLE,J368.A,Upland,Midwest,P1806,C,23.6,14,8
PKLE,J592.C,Upland,Atlantic,P1807,A,33.3,20,13
PKLE,J592.C,Upland,Atlantic,P1807,B,21.1,19,11
PKLE,J592.C,Upland,Atlantic,P1807,C,23.7,18,13
PKLE,J020.C,Coastal,Gulf,P1809,A,56.2,33,15
PKLE,J020.C,Coastal,Gulf,P1809,B,63.2,32,13
PKLE,J020.C,Coastal,Gulf,P1809,C,68.6,29,15
PKLE,J026.C,Lowland,Atlantic,P1810,A,57.1,33,19
PKLE,J026.C,Lowland,Atlantic,P1810,B,55.5,36,21
PKLE,J026.C,Lowland,Atlantic,P1810,C,57.4,33,14
PKLE,AP13,Lowland,Gulf,P1811,A,52.1,36,14
PKLE,AP13,Lowland,Gulf,P1811,B,47.6,35,19
PKLE,AP13,Lowland,Gulf,P1811,C,48.5,35,14
PKLE,J006.C,Coastal,Atlantic,P1814,A,35.9,22,11
PKLE,J006.C,Coastal,Atlantic,P1814,B,37.7,29,12
PKLE,J006.C,Coastal,Atlantic,P1814,C,39.8,25,13
PKLE,J251.A,Lowland,Gulf,P1815,A,69.8,56,16
PKLE,J251.A,Lowland,Gulf,P1815,B,72.3,43,15
PKLE,J251.A,Lowland,Gulf,P1815,C,75,53,13
PKLE,J249.C,Lowland,Gulf,P1817,A,77.9,49,15
PKLE,J249.C,Lowland,Gulf,P1817,B,73.2,55,14
PKLE,J249.C,Lowland,Gulf,P1817,C,68,45,16
PKLE,J517.A,Upland,Atlantic,P1818,A,26.5,22,10
PKLE,J517.A,Upland,Atlantic,P1818,B,25,21,9
PKLE,J517.A,Upland,Atlantic,P1818,C,27.2,19,9
PKLE,AP13,Lowland,Gulf,P1819,A,50.7,37,17
PKLE,AP13,Lowland,Gulf,P1819,B,49.4,35,17
PKLE,AP13,Lowland,Gulf,P1819,C,49.6,35,18
PKLE,J016.A,Lowland,Gulf,P1821,A,47.4,55,16
PKLE,J016.A,Lowland,Gulf,P1821,B,43.5,50,14
PKLE,J016.A,Lowland,Gulf,P1821,C,47.3,52,15
PKLE,J394.A,Upland,Midwest,P1822,A,28.1,18,7
PKLE,J394.A,Upland,Midwest,P1822,B,35.5,17,11
PKLE,J394.A,Upland,Midwest,P1822,C,39.1,15,8
PKLE,AP13,Lowland,Gulf,P1903,A,50.3,31,14
PKLE,AP13,Lowland,Gulf,P1903,B,46.1,30,12
PKLE,AP13,Lowland,Gulf,P1903,C,47.4,29,17
PKLE,AP13,Lowland,Gulf,P1911,A,51.9,37,17
PKLE,AP13,Lowland,Gulf,P1911,B,54.1,40,15
PKLE,AP13,Lowland,Gulf,P1911,C,51.5,38,14
PKLE,AP13,Lowland,Gulf,P1919,A,49.4,38,15
PKLE,AP13,Lowland,Gulf,P1919,B,52.6,37,16
PKLE,AP13,Lowland,Gulf,P1919,C,54,36,17
PKLE,J676.C,Upland,Atlantic,P2005,A,36.9,25,14
PKLE,J676.C,Upland,Atlantic,P2005,B,46.6,24,16
PKLE,J676.C,Upland,Atlantic,P2005,C,39,24,14
PKLE,J029.A,Upland,Midwest,P2007,A,33.3,20,8
PKLE,J029.A,Upland,Midwest,P2007,B,36.9,17,13
PKLE,J029.A,Upland,Midwest,P2007,C,38.1,21,10
PKLE,J601.B,Coastal,Atlantic,P2008,A,30.4,24,15
PKLE,J601.B,Coastal,Atlantic,P2008,B,31.4,27,13
PKLE,J601.B,Coastal,Atlantic,P2008,C,30.1,30,20
PKLE,J390.B,Upland,Midwest,P2010,A,31.1,13,9
PKLE,J390.B,Upland,Midwest,P2010,B,42.1,14,11
PKLE,J390.B,Upland,Midwest,P2010,C,31.5,18,7
PKLE,J433.B,Upland,Atlantic,P2011,A,29.8,13,6
PKLE,J433.B,Upland,Atlantic,P2011,B,34.2,15,8
PKLE,J433.B,Upland,Atlantic,P2011,C,27.6,13,7
PKLE,J678.C,Coastal,Atlantic,P2012,A,41.9,29,10
PKLE,J678.C,Coastal,Atlantic,P2012,B,39.6,31,11
PKLE,J678.C,Coastal,Atlantic,P2012,C,42.8,31,13
PKLE,J306.C,Coastal,Gulf,P2013,A,48,28,17
PKLE,J306.C,Coastal,Gulf,P2013,B,53.1,31,12
PKLE,J306.C,Coastal,Gulf,P2013,C,54.6,26,17
PKLE,J358.A,Upland,Midwest,P2016,A,34.9,26,11
PKLE,J358.A,Upland,Midwest,P2016,B,32.7,25,10
PKLE,J358.A,Upland,Midwest,P2016,C,25.1,19,7
PKLE,J354.C,Upland,Midwest,P2018,A,20.2,12,6
PKLE,J354.C,Upland,Midwest,P2018,B,20.8,14,7
PKLE,J354.C,Upland,Midwest,P2018,C,23.7,12,6
PKLE,J614.A,Coastal,Atlantic,P2019,A,55.5,39,21
PKLE,J614.A,Coastal,Atlantic,P2019,B,62.7,41,27
PKLE,J614.A,Coastal,Atlantic,P2019,C,53.3,37,24
PKLE,J662.E,Lowland,Gulf,P2020,A,60.9,50,16
PKLE,J662.E,Lowland,Gulf,P2020,B,61.9,48,23
PKLE,J662.E,Lowland,Gulf,P2020,C,63.9,56,19
PKLE,J516.B,Upland,Gulf,P2022,A,27.5,13,6
PKLE,J516.B,Upland,Gulf,P2022,B,32.8,15,9
PKLE,J516.B,Upland,Gulf,P2022,C,27.3,13,6
PKLE,AP13,Lowland,Gulf,P2201,A,52.6,40,17
PKLE,AP13,Lowland,Gulf,P2201,B,45.5,38,16
PKLE,AP13,Lowland,Gulf,P2201,C,44.9,37,14
PKLE,J504.A,Coastal,Gulf,P2202,A,51.7,48,18
PKLE,J504.A,Coastal,Gulf,P2202,B,60,48,24
PKLE,J504.A,Coastal,Gulf,P2202,C,58.5,47,30
PKLE,J223.A,Lowland,Gulf,P2203,A,53.3,33,14
PKLE,J223.A,Lowland,Gulf,P2203,B,59.9,38,14
PKLE,J223.A,Lowland,Gulf,P2203,C,51.6,31,15
PKLE,J024.A,Upland,Midwest,P2204,A,31.4,24,9
PKLE,J024.A,Upland,Midwest,P2204,B,32.1,21,9
PKLE,J024.A,Upland,Midwest,P2204,C,30.8,21,9
PKLE,J073.B,Lowland,Gulf,P2206,A,78.1,41,16
PKLE,J073.B,Lowland,Gulf,P2206,B,76.1,36,18
PKLE,J073.B,Lowland,Gulf,P2206,C,72.8,36,16
PKLE,AP13,Lowland,Gulf,P2208,A,56.2,39,20
PKLE,AP13,Lowland,Gulf,P2208,B,53.9,41,14
PKLE,AP13,Lowland,Gulf,P2208,C,53.7,34,15
PKLE,J591.A,Coastal,Atlantic,P2210,A,47.3,31,15
PKLE,J591.A,Coastal,Atlantic,P2210,B,45,31,14
PKLE,J591.A,Coastal,Atlantic,P2210,C,46.7,30,15
PKLE,J669.B,Upland,Atlantic,P2211,A,32.6,20,9
PKLE,J669.B,Upland,Atlantic,P2211,B,36.5,22,12
PKLE,J669.B,Upland,Atlantic,P2211,C,35.1,22,10
PKLE,J430.A,Upland,Atlantic,P2213,A,25,22,11
PKLE,J430.A,Upland,Atlantic,P2213,B,23.5,20,10
PKLE,J430.A,Upland,Atlantic,P2213,C,20,25,9
PKLE,J658.B,Upland,Midwest,P2214,A,51.1,29,12
PKLE,J658.B,Upland,Midwest,P2214,B,51.9,27,11
PKLE,J658.B,Upland,Midwest,P2214,C,46.6,28,12
PKLE,AP13,Lowland,Gulf,P2215,A,48.8,39,15
PKLE,AP13,Lowland,Gulf,P2215,B,50,40,14
PKLE,AP13,Lowland,Gulf,P2215,C,47,36,14
PKLE,J587.C,Coastal,Gulf,P2216,A,68.3,41,20
PKLE,J587.C,Coastal,Gulf,P2216,B,62.7,43,16
PKLE,J587.C,Coastal,Gulf,P2216,C,61.1,42,23
PKLE,J004.B,Lowland,Gulf,P2219,A,57.7,34,14
PKLE,J004.B,Lowland,Gulf,P2219,B,49.9,37,16
PKLE,J004.B,Lowland,Gulf,P2219,C,60.3,31,14
PKLE,J009.C,Lowland,Gulf,P2220,A,54.6,48,17
PKLE,J009.C,Lowland,Gulf,P2220,B,59.9,48,14
PKLE,J009.C,Lowland,Gulf,P2220,C,53.2,42,16
PKLE,J426.A,Coastal,Atlantic,P2221,A,37.4,26,10
PKLE,J426.A,Coastal,Atlantic,P2221,B,41.1,25,10
PKLE,J426.A,Coastal,Atlantic,P2221,C,34.9,28,10
PKLE,AP13,Lowland,Gulf,P2222,A,51.1,35,18
PKLE,AP13,Lowland,Gulf,P2222,B,42.5,29,14
PKLE,AP13,Lowland,Gulf,P2222,C,42.1,36,17
PKLE,J170.A,Upland,Atlantic,P2403,A,39.2,16,7
PKLE,J170.A,Upland,Atlantic,P2403,B,34.7,18,8
PKLE,J170.A,Upland,Atlantic,P2403,C,38.2,17,10
PKLE,J605.B,Upland,Atlantic,P2404,A,31.2,21,9
PKLE,J605.B,Upland,Atlantic,P2404,B,34.3,17,11
PKLE,J605.B,Upland,Atlantic,P2404,C,37.8,20,13
PKLE,J645.C,Upland,Atlantic,P2405,A,38.8,19,8
PKLE,J645.C,Upland,Atlantic,P2405,B,38.4,21,10
PKLE,J645.C,Upland,Atlantic,P2405,C,37.6,21,8
PKLE,J658.A,Upland,Midwest,P2409,A,28.3,22,8
PKLE,J658.A,Upland,Midwest,P2409,B,35.5,21,10
PKLE,J658.A,Upland,Midwest,P2409,C,35.2,24,9
PKLE,J352.B,Upland,Midwest,P2411,A,27.6,18,5
PKLE,J352.B,Upland,Midwest,P2411,B,40.5,16,8
PKLE,J352.B,Upland,Midwest,P2411,C,38.7,16,7
PKLE,J322.A,Lowland,Gulf,P2412,A,48.9,34,14
PKLE,J322.A,Lowland,Gulf,P2412,B,46.5,33,19
PKLE,J322.A,Lowland,Gulf,P2412,C,47,32,20
PKLE,J534.C,Upland,Atlantic,P2413,A,42.3,25,13
PKLE,J534.C,Upland,Atlantic,P2413,B,22.4,26,10
PKLE,J534.C,Upland,Atlantic,P2413,C,24.1,24,11
PKLE,J603.A,Coastal,Atlantic,P2415,A,42.2,26,11
PKLE,J603.A,Coastal,Atlantic,P2415,B,32.7,23,8
PKLE,J603.A,Coastal,Atlantic,P2415,C,29.2,23,12
PKLE,J086.A,Coastal,Gulf,P2416,A,37.5,32,17
PKLE,J086.A,Coastal,Gulf,P2416,B,39.3,31,14
PKLE,J086.A,Coastal,Gulf,P2416,C,41.1,35,12
PKLE,J665.D,Upland,Atlantic,P2418,A,24.6,25,6
PKLE,J665.D,Upland,Atlantic,P2418,B,26.7,23,12
PKLE,J665.D,Upland,Atlantic,P2418,C,22.4,26,14
PKLE,J582.C,Upland,Midwest,P2420,A,39,21,10
PKLE,J582.C,Upland,Midwest,P2420,B,37.8,27,15
PKLE,J582.C,Upland,Midwest,P2420,C,36.6,23,12
PKLE,J538.A,Upland,Atlantic,P2421,A,27.1,24,8
PKLE,J538.A,Upland,Atlantic,P2421,B,24.3,14,10
PKLE,J538.A,Upland,Atlantic,P2421,C,27.5,19,12
PKLE,J664.C,Upland,Atlantic,P2422,A,31.2,20,12
PKLE,J664.C,Upland,Atlantic,P2422,B,30.9,18,10
PKLE,J664.C,Upland,Atlantic,P2422,C,30.4,19,11
PKLE,AP13,Lowland,Gulf,P2603,A,50.3,40,15
PKLE,AP13,Lowland,Gulf,P2603,B,50.1,36,18
PKLE,AP13,Lowland,Gulf,P2603,C,53.1,33,13
PKLE,J003.E,Lowland,Gulf,P2605,A,54.2,36,13
PKLE,J003.E,Lowland,Gulf,P2605,B,63.7,36,15
PKLE,J003.E,Lowland,Gulf,P2605,C,56.2,39,15
PKLE,J621.A,Coastal,Atlantic,P2606,A,55.8,38,14
PKLE,J621.A,Coastal,Atlantic,P2606,B,56.7,33,16
PKLE,J621.A,Coastal,Atlantic,P2606,C,55.9,34,13
PKLE,J665.C,Upland,Atlantic,P2609,A,37.6,22,11
PKLE,J665.C,Upland,Atlantic,P2609,B,49.9,24,10
PKLE,J665.C,Upland,Atlantic,P2609,C,37.8,22,12
PKLE,AP13,Lowland,Gulf,P2611,A,51.1,30,17
PKLE,AP13,Lowland,Gulf,P2611,B,54.3,36,13
PKLE,AP13,Lowland,Gulf,P2611,C,44.5,25,14
PKLE,J657.C,Upland,Midwest,P2612,A,43.4,19,9
PKLE,J657.C,Upland,Midwest,P2612,B,37.8,17,7
PKLE,J657.C,Upland,Midwest,P2612,C,40.3,18,8
PKLE,J028.C,Lowland,Gulf,P2614,A,74.4,36,21
PKLE,J028.C,Lowland,Gulf,P2614,B,71.7,37,24
PKLE,J028.C,Lowland,Gulf,P2614,C,70.5,39,20
PKLE,J271.A,Lowland,Gulf,P2615,A,61.9,35,17
PKLE,J271.A,Lowland,Gulf,P2615,B,58.2,37,17
PKLE,J271.A,Lowland,Gulf,P2615,C,58.8,36,18
PKLE,J319.A,Lowland,Gulf,P2616,A,65.6,40,15
PKLE,J319.A,Lowland,Gulf,P2616,B,64.8,43,12
PKLE,J319.A,Lowland,Gulf,P2616,C,62,41,14
PKLE,J614.C,Coastal,Atlantic,P2617,A,42.4,23,17
PKLE,J614.C,Coastal,Atlantic,P2617,B,39.3,27,17
PKLE,J614.C,Coastal,Atlantic,P2617,C,35.9,26,16
PKLE,J613.A,Coastal,Atlantic,P2618,A,47.6,28,12
PKLE,J613.A,Coastal,Atlantic,P2618,B,51.3,25,9
PKLE,J613.A,Coastal,Atlantic,P2618,C,45.1,26,13
PKLE,AP13,Lowland,Gulf,P2619,A,50.8,35,15
PKLE,AP13,Lowland,Gulf,P2619,B,44.7,33,16
PKLE,AP13,Lowland,Gulf,P2619,C,49.8,29,18
PKLE,J246.A,Lowland,Gulf,P2620,A,35,34,14
PKLE,J246.A,Lowland,Gulf,P2620,B,30.8,26,13
PKLE,J246.A,Lowland,Gulf,P2620,C,38.5,33,10
PKLE,J306.B,Lowland,Gulf,P2621,A,62.6,34,14
PKLE,J306.B,Lowland,Gulf,P2621,B,56.5,40,17
PKLE,J306.B,Lowland,Gulf,P2621,C,55.7,38,13
PKLE,J484.B,Lowland,Gulf,P2622,A,80.6,52,15
PKLE,J484.B,Lowland,Gulf,P2622,B,78.4,54,17
PKLE,J484.B,Lowland,Gulf,P2622,C,77.3,44,13
PKLE,AP13,Lowland,Gulf,P2703,A,44.2,38,15
PKLE,AP13,Lowland,Gulf,P2703,B,55.1,41,16
PKLE,AP13,Lowland,Gulf,P2703,C,45.1,33,14
PKLE,AP13,Lowland,Gulf,P2711,A,50.7,37,19
PKLE,AP13,Lowland,Gulf,P2711,B,47.5,38,15
PKLE,AP13,Lowland,Gulf,P2711,C,56,40,18
PKLE,AP13,Lowland,Gulf,P2719,A,46,36,17
