"SITE","LINE","Obs","Trait","Pred"
"CLMB",499,49.25,"PL",38.4322008724857
"CLMB",500,45.5,"PL",46.0703571620755
"CLMB",501,29.5,"PL",43.0826088505824
"CLMB",502,37.5,"PL",44.4485406213024
"CLMB",503,45.25,"PL",46.650518232686
"CLMB",504,NA,"PL",43.7550536106161
"CLMB",505,44,"PL",38.5688045040213
"CLMB",506,58.75,"PL",42.4921882092229
"CLMB",507,46.5,"PL",45.5274745151387
"CLMB",508,44.5,"PL",42.8467031713059
"CLMB",511,49.5,"PL",40.3346301268647
"CLMB",512,32.75,"PL",43.570589554477
"CLMB",513,NA,"PL",39.4871430494808
"CLMB",514,63.75,"PL",41.8516955916815
"CLMB",515,34.5,"PL",40.6053667277197
"CLMB",516,42.25,"PL",44.1368523688501
"CLMB",518,NA,"PL",43.64722705654
"CLMB",519,42.75,"PL",42.9928709911708
"CLMB",520,NA,"PL",44.9467707676068
"CLMB",521,40.5,"PL",47.9445141197383
"CLMB",522,51.5,"PL",47.9747298117821
"CLMB",523,52,"PL",47.3804994603445
"CLMB",524,49.75,"PL",45.837853207177
"CLMB",525,40.5,"PL",43.7169964624936
"CLMB",526,39,"PL",41.9448636449918
"CLMB",527,37.75,"PL",40.0193959885774
"CLMB",529,48,"PL",42.583422159455
"CLMB",530,35.75,"PL",44.2564438271166
"CLMB",531,38.75,"PL",43.13609609268
"CLMB",532,40.75,"PL",41.0910028066053
"CLMB",533,17,"PL",42.2772644641201
"CLMB",534,33.75,"PL",39.5439970383564
"CLMB",535,48.5,"PL",45.1668990863126
"CLMB",536,42,"PL",38.319122102982
"CLMB",537,38,"PL",41.1844348573424
"CLMB",539,45.25,"PL",42.7745694748504
"CLMB",540,34,"PL",44.0919232580751
"CLMB",541,36.75,"PL",41.8958134334283
"CLMB",542,47.5,"PL",46.5735684175006
"CLMB",544,47.5,"PL",47.3977145847924
"CLMB",545,46.75,"PL",38.4364907662882
"CLMB",546,31,"PL",42.1830065174673
"CLMB",547,49,"PL",44.9645954007173
"CLMB",548,35.75,"PL",46.0819856406189
"CLMB",549,47.5,"PL",49.4691310139148
"CLMB",551,NA,"PL",39.3247288680759
"CLMB",552,44.75,"PL",40.541824528995
"CLMB",553,44.75,"PL",43.0611821444848
"CLMB",555,53,"PL",44.1423541272894
"CLMB",556,NA,"PL",41.5168488846378
"CLMB",557,NA,"PL",40.560306269585
"CLMB",558,50.75,"PL",43.0149232168953
"CLMB",559,43.75,"PL",44.2850793939668
"CLMB",560,NA,"PL",40.171283365911
"CLMB",562,47,"PL",38.9255819776272
"CLMB",563,39.75,"PL",38.4610270704409
"CLMB",564,32,"PL",41.3963019228632
"CLMB",565,38.25,"PL",45.369479386326
"CLMB",566,39,"PL",42.4543177652497
"CLMB",567,44,"PL",40.9717101981436
"CLMB",569,38,"PL",45.2700485929111
"CLMB",570,48.25,"PL",39.6426006208471
"CLMB",571,52,"PL",39.0692809437646
"CLMB",572,34.75,"PL",43.1261757444149
"CLMB",573,41.5,"PL",44.1066195767337
"CLMB",574,41.25,"PL",40.2952161446684
"CLMB",576,44.25,"PL",44.5286791598797
"CLMB",577,NA,"PL",42.4996938390981
"CLMB",578,24.5,"PL",42.1432750637671
"CLMB",579,47.5,"PL",44.3191594212391
"CLMB",580,NA,"PL",42.4477785256547
"CLMB",581,30.25,"PL",39.3285188229481
"CLMB",583,39.5,"PL",37.7203318329508
"CLMB",584,47,"PL",47.9982976037224
"CLMB",585,37,"PL",36.2152617422263
"CLMB",586,38,"PL",44.4029364795362
"CLMB",588,55.25,"PL",44.0193658688707
"CLMB",589,47,"PL",40.918222956046
"CLMB",592,34.5,"PL",40.5108417359948
"CLMB",593,40,"PL",37.5249887495458
"CLMB",594,54.75,"PL",42.1844079523459
"CLMB",595,47.5,"PL",42.6584011070687
"CLMB",596,44.25,"PL",43.80633167105
"CLMB",597,NA,"PL",43.8231397466331
"CLMB",598,NA,"PL",42.5046975263231
"CLMB",599,52,"PL",45.2555478239682
"CLMB",600,42.75,"PL",40.8852343569426
"CLMB",601,NA,"PL",36.5329051028659
"CLMB",602,55.25,"PL",43.7040980241378
"CLMB",603,NA,"PL",46.1500283910507
"CLMB",604,34,"PL",40.1361115301583
"CLMB",605,44.75,"PL",41.4972709007823
"CLMB",606,52.25,"PL",43.0278933752871
"CLMB",608,40.5,"PL",42.5461277692667
"CLMB",609,35.25,"PL",44.717042496052
"CLMB",610,46.5,"PL",45.8811753945536
"CLMB",611,43.5,"PL",44.2948588197793
"CLMB",612,39,"PL",40.9215036881997
"CLMB",613,41.5,"PL",43.9350155941507
"CLMB",614,52.5,"PL",44.5241007564672
"CLMB",618,42,"PL",44.2523977604307
"CLMB",619,41.5,"PL",44.4867645453658
"CLMB",620,40.75,"PL",46.1323180138471
"CLMB",621,49.75,"PL",46.7603880917368
"CLMB",622,41.75,"PL",45.9622524190269
"CLMB",623,46.75,"PL",40.1576549960652
"CLMB",624,41.25,"PL",42.0397356412372
"CLMB",625,25.75,"PL",42.5959787888921
"CLMB",627,28.75,"PL",37.9747438494693
"CLMB",628,NA,"PL",39.3089710623646
"CLMB",629,46.5,"PL",45.0314094846126
"CLMB",630,NA,"PL",43.4362705466227
"CLMB",632,44.25,"PL",44.4331012666977
"CLMB",633,32.75,"PL",37.8921615845777
"CLMB",634,47,"PL",45.5912947117113
"CLMB",635,42.5,"PL",44.191613962705
"CLMB",636,40.25,"PL",41.1108657765938
"CLMB",637,48.5,"PL",45.3189710352479
"CLMB",638,43,"PL",38.788332159122
"CLMB",639,32.5,"PL",44.8113271281489
"CLMB",640,52.25,"PL",48.5598402986617
"CLMB",641,44,"PL",39.411053166158
"CLMB",642,48.75,"PL",43.0596326519792
"CLMB",643,34.25,"PL",35.5403321854188
"CLMB",644,NA,"PL",47.0430027750539
"CLMB",645,51.5,"PL",44.4482422879334
"CLMB",647,39.75,"PL",43.6187699675029
"CLMB",648,NA,"PL",47.7854393837516
"CLMB",649,43.5,"PL",39.0659050674522
"CLMB",652,42.75,"PL",43.6403992443618
"CLMB",654,42.75,"PL",41.2876069479499
"CLMB",655,55.5,"PL",42.0229104327208
"CLMB",656,34,"PL",47.0054110582067
"CLMB",657,47.25,"PL",40.962630923142
"CLMB",658,47,"PL",40.9962270433633
"CLMB",660,41.5,"PL",39.1530177352678
"CLMB",661,50.5,"PL",46.1942783349379
"CLMB",663,33.5,"PL",38.718660143211
"CLMB",664,42.5,"PL",39.1825943986061
"CLMB",666,42,"PL",44.0277409271733
"CLMB",667,46,"PL",44.6491403592729
"CLMB",668,45.75,"PL",43.9954959702952
"CLMB",669,35.75,"PL",41.3068704144751
"CLMB",670,NA,"PL",43.0095824467552
"CLMB",671,38.5,"PL",48.006931355369
"CLMB",672,45.5,"PL",42.8957337517813
"CLMB",673,44.25,"PL",39.611585124094
"CLMB",674,51.75,"PL",41.6452496156373
"CLMB",675,32.75,"PL",43.0241226972129
"CLMB",677,49.5,"PL",42.4305634012069
"CLMB",679,NA,"PL",46.5166844458158
"CLMB",680,32.75,"PL",43.0193384002925
"CLMB",681,49.5,"PL",46.1474559761051
"CLMB",682,38.25,"PL",38.6768821637782
"CLMB",683,48.5,"PL",44.7888265436764
"CLMB",684,52,"PL",45.8247990708065
"CLMB",685,45,"PL",43.7701972729394
"CLMB",686,51.25,"PL",42.013695163846
"CLMB",689,40.5,"PL",42.1101616395683
"CLMB",690,42.5,"PL",38.997465451345
"CLMB",691,46.5,"PL",40.6262086193476
"CLMB",692,47.75,"PL",46.8080789390609
"CLMB",693,37.75,"PL",45.8935318508981
"CLMB",694,20.5,"PL",42.6377559475469
"CLMB",695,37.5,"PL",42.4107050509978
"CLMB",696,37.5,"PL",42.0754968015957
"CLMB",697,40,"PL",37.7945417017483
"CLMB",698,44.75,"PL",40.7037159713317
"CLMB",699,41.25,"PL",49.445454561466
"CLMB",700,37.75,"PL",43.0276319865055
"CLMB",702,36.5,"PL",40.6033470140601
"CLMB",703,42.75,"PL",45.3998152326819
"CLMB",704,44.75,"PL",44.3836498081852
"CLMB",705,43.75,"PL",43.8641437860227
"CLMB",706,45,"PL",41.9569927180894
"CLMB",707,40,"PL",42.3531019908109
"CLMB",708,NA,"PL",41.6922669308802
"CLMB",710,51,"PL",40.0059573967619
"CLMB",711,47.25,"PL",41.8059898116352
"CLMB",712,42.75,"PL",42.9679527678559
"CLMB",713,40.25,"PL",37.7015852404214
"CLMB",714,38.75,"PL",40.3573919374982
"CLMB",715,52,"PL",41.5161546645975
"CLMB",716,49.25,"PL",39.2686055217777
"CLMB",718,41.25,"PL",42.1834634320072
"CLMB",719,45.5,"PL",42.1137700685123
"CLMB",720,49.25,"PL",44.9098866653337
"CLMB",721,NA,"PL",43.5723131083448
"CLMB",722,40.75,"PL",42.9258112714937
"CLMB",723,NA,"PL",41.5714178624704
"CLMB",724,46.25,"PL",43.7276504512093
"CLMB",725,40.75,"PL",39.4068057973804
"CLMB",726,42.5,"PL",42.9125390064668
"CLMB",729,38.5,"PL",42.3192920322737
"CLMB",730,37.25,"PL",41.3322704207918
"CLMB",731,50.5,"PL",46.6524708041784
"CLMB",732,NA,"PL",42.0738660191991
"CLMB",733,51,"PL",43.0075615662284
"CLMB",734,48.5,"PL",40.9786193111499
"CLMB",735,46.25,"PL",41.8632578790705
"CLMB",736,47.75,"PL",42.7198701821839
"CLMB",737,50,"PL",40.4398450701919
"CLMB",738,43.5,"PL",41.0053226197746
"CLMB",739,44,"PL",41.1062706765046
"CLMB",740,40.5,"PL",41.1844348573424
"CLMB",742,43.75,"PL",45.0923559421311
"CLMB",743,34.75,"PL",45.8533555071424
"CLMB",744,48.75,"PL",44.9095585350875
"CLMB",745,48.5,"PL",38.0842253056671
"CLMB",746,33.75,"PL",42.7478661662258
"CLMB",748,47.75,"PL",42.941896813068
"CLMB",749,49.75,"PL",40.9413429629809
"CLMB",750,37.25,"PL",39.5007910255696
"CLMB",751,59,"PL",42.1636838973912
"CLMB",752,29,"PL",41.3747066116785
"CLMB",753,45.75,"PL",44.020009980122
"CLMB",755,45,"PL",39.9284231228149
"CLMB",756,48.5,"PL",43.0452364568885
"CLMB",757,47,"PL",44.8716338779654
"CLMB",758,45.75,"PL",40.1016282181139
"CLMB",759,43.25,"PL",43.5025981310165
"CLMB",760,41.375,"PL",40.0132798527908
"CLMB",761,45.25,"PL",42.0973082886173
"CLMB",762,39.25,"PL",47.033042123342
"CLMB",763,35.25,"PL",42.7364261155751
"CLMB",764,41.5,"PL",44.6564945978292
"CLMB",765,16.75,"PL",39.4803032965127
"CLMB",766,35.25,"PL",39.0197443729857
"CLMB",767,48,"PL",42.4939826334124
"CLMB",768,36,"PL",43.4275933816849
"CLMB",769,NA,"PL",39.7497138180804
"CLMB",770,41.5,"PL",41.0311485427547
"CLMB",771,40,"PL",41.9291749690929
"CLMB",772,43.25,"PL",43.9649618271449
"CLMB",773,48,"PL",45.6028153271501
"CLMB",774,30.25,"PL",34.7150082943604
"CLMB",775,34.5,"PL",39.700215694958
"CLMB",776,40.5,"PL",40.6216646820554
"CLMB",777,36.5,"PL",39.8673788262876
"CLMB",778,42.75,"PL",43.3243907200308
"CLMB",779,34.25,"PL",39.9086298102757
"CLMB",780,60.5,"PL",43.411738495225
"CLMB",781,44,"PL",44.2994439232097
"CLMB",782,38.25,"PL",43.5744984048826
"CLMB",783,54.5,"PL",47.3405491623473
"CLMB",784,45,"PL",45.2207887574954
"CLMB",785,42.75,"PL",40.7473042508525
"CLMB",786,36,"PL",41.4474696063163
"CLMB",787,51.5,"PL",42.9979692544839
"CLMB",788,48.75,"PL",43.7605721343022
"CLMB",789,41.75,"PL",42.2977540101592
"CLMB",790,50,"PL",41.876542637976
"CLMB",792,56.75,"PL",41.9548242967038
"CLMB",794,43,"PL",42.7024638819503
"CLMB",795,32,"PL",42.479663024581
"CLMB",796,37,"PL",43.1804110636917
"CLMB",797,36,"PL",38.8436801397737
"CLMB",799,57.25,"PL",44.0268377923002
"CLMB",800,39,"PL",43.3634504849999
"CLMB",801,44.75,"PL",39.1627634459214
"CLMB",802,48.25,"PL",45.3908171433278
"CLMB",803,31.5,"PL",39.1525751497217
"CLMB",804,39.75,"PL",41.5694953023771
"CLMB",805,36,"PL",38.6843208390105
"CLMB",806,35.25,"PL",40.5600659513893
"CLMB",808,32.5,"PL",46.594141908939
"CLMB",809,33.75,"PL",45.657482864995
"CLMB",810,42.75,"PL",42.2924383473973
"CLMB",811,37.25,"PL",39.4460917329032
"CLMB",812,38,"PL",40.5729977454644
"CLMB",813,NA,"PL",38.2166396156395
"CLMB",814,43.5,"PL",41.342674457444
"CLMB",815,33.5,"PL",39.6276644268123
"CLMB",816,46,"PL",44.9320246534397
"CLMB",817,43.75,"PL",47.1556846038783
"CLMB",818,48.25,"PL",46.2589816926074
"CLMB",819,56.25,"PL",43.3150751204638
"CLMB",820,43.75,"PL",40.4728225101059
"CLMB",821,40.5,"PL",40.0947704231265
"CLMB",822,40.25,"PL",39.7266771438817
"CLMB",823,44,"PL",41.8451168705717
"CLMB",824,44.5,"PL",45.3678117463106
"CLMB",825,39,"PL",45.257758722104
"KBSM",405,35.25,"PL",47.6951097682361
"KBSM",406,52.25,"PL",44.7606495997409
"KBSM",407,42.5,"PL",42.8750544815688
"KBSM",408,38,"PL",41.5406303585297
"KBSM",409,35.5,"PL",43.17389942263
"KBSM",410,44.5,"PL",44.9041466672221
"KBSM",411,42.5,"PL",46.3316277084396
"KBSM",412,41,"PL",46.0010556741281
"KBSM",413,NA,"PL",44.0937264392184
"KBSM",414,46.5,"PL",44.6613210712695
"KBSM",415,35.25,"PL",44.1504230827934
"KBSM",416,NA,"PL",45.145989222484
"KBSM",417,43.5,"PL",44.9787298473523
"KBSM",418,43.75,"PL",42.5834109786024
"KBSM",419,48.5,"PL",45.0419780635472
"KBSM",420,45.5,"PL",46.6968684429765
"KBSM",421,37.5,"PL",42.0043857871264
"KBSM",422,33.75,"PL",43.1563844599081
"KBSM",423,38.5,"PL",43.7569739632683
"KBSM",424,48.5,"PL",47.5358240627605
"KBSM",425,47.5,"PL",45.8162605383485
"KBSM",426,35,"PL",43.0651714000557
"KBSM",427,37.25,"PL",43.7436407850064
"KBSM",428,41.5,"PL",43.361285230248
"KBSM",429,40,"PL",46.3067053523301
"KBSM",431,44.25,"PL",44.5399298225261
"KBSM",432,46.25,"PL",47.36314005431
"KBSM",433,46.5,"PL",42.4713463916423
"KBSM",435,52.5,"PL",47.0137796936373
"KBSM",436,49.25,"PL",41.4545361983941
"KBSM",437,NA,"PL",45.6803201635573
"KBSM",438,37.25,"PL",43.5804094160429
"KBSM",439,38.25,"PL",45.5350970819189
"KBSM",440,42.5,"PL",40.3319995255862
"KBSM",442,43.5,"PL",44.7248813603491
"KBSM",443,39.25,"PL",41.8069972281281
"KBSM",444,43,"PL",44.0652134161736
"KBSM",445,32.25,"PL",46.0171027163454
"KBSM",446,38.75,"PL",41.9303440839876
"KBSM",447,46,"PL",41.6066694277018
"KBSM",448,39.75,"PL",46.7908609183018
"KBSM",449,30.75,"PL",39.7359887336531
"KBSM",450,41.25,"PL",44.9827981417816
"KBSM",451,42.75,"PL",41.584529777592
"KBSM",452,43.25,"PL",41.8250917084983
"KBSM",453,43.25,"PL",42.6141577160941
"KBSM",454,NA,"PL",48.9351240650094
"KBSM",455,41.5,"PL",44.4510315330892
"KBSM",456,54.5,"PL",49.6382733940387
"KBSM",458,45,"PL",46.0258486653253
"KBSM",459,47.5,"PL",42.6056755075664
"KBSM",460,44,"PL",46.2401363710779
"KBSM",461,50,"PL",41.4523472600228
"KBSM",462,38.5,"PL",44.8876731840651
"KBSM",463,63.5,"PL",42.5454371479653
"KBSM",464,56.5,"PL",48.0676993344139
"KBSM",465,53.625,"PL",46.0231074771003
"KBSM",466,38.5,"PL",43.6635535707631
"KBSM",467,39,"PL",44.9164489524271
"KBSM",468,47.5,"PL",44.5380572072352
"KBSM",469,46.25,"PL",44.2188244496646
"KBSM",470,45.25,"PL",44.9918277475958
"KBSM",471,47,"PL",46.8096245324044
"KBSM",472,39.5,"PL",41.8040895627292
"KBSM",473,44.25,"PL",45.1909849972115
"KBSM",474,NA,"PL",45.5327338207411
"KBSM",475,53.25,"PL",49.8527389932874
"KBSM",476,51.5,"PL",42.1840667994261
"KBSM",477,33,"PL",42.4146405375515
"KBSM",479,44,"PL",49.5300636362884
"KBSM",480,45.75,"PL",43.9739407004806
"KBSM",482,NA,"PL",39.1565836258986
"KBSM",483,33.25,"PL",37.8594278842083
"KBSM",484,34.5,"PL",42.1113387289679
"KBSM",485,44.75,"PL",41.6451491990825
"KBSM",486,NA,"PL",41.8816543537297
"KBSM",487,32.75,"PL",40.9684711392064
"KBSM",488,37,"PL",44.5759778790968
"KBSM",489,50.75,"PL",45.5679366681019
"KBSM",491,49.25,"PL",45.8099666490159
"KBSM",492,38.5,"PL",45.3341977992316
"KBSM",493,37.75,"PL",44.7309135886936
"KBSM",494,41.75,"PL",43.879962221687
"KBSM",495,39.5,"PL",44.5179209364444
"KBSM",496,47,"PL",43.9223734698162
"KBSM",497,41.25,"PL",38.0730084198652
"KBSM",498,41,"PL",42.4739203886506
"KBSM",499,NA,"PL",41.587694908337
"KBSM",500,41.5,"PL",46.7448123907242
"KBSM",501,38.75,"PL",45.8468774143727
"KBSM",502,41.75,"PL",44.7390365354438
"KBSM",503,41.5,"PL",47.3249734613347
"KBSM",504,NA,"PL",42.781334407268
"KBSM",505,50.25,"PL",41.7242985398726
"KBSM",506,62,"PL",45.3199581480711
"KBSM",507,48.5,"PL",46.1384283687295
"KBSM",508,41.75,"PL",43.699096987619
"KBSM",511,50,"PL",43.4901241627159
"KBSM",512,43.25,"PL",45.4457585255574
"KBSM",513,46,"PL",42.314912988329
"KBSM",514,NA,"PL",43.869977260159
"KBSM",515,31.75,"PL",42.4805356988001
"KBSM",516,42.5,"PL",43.7952407242468
"KBSM",518,NA,"PL",46.8027210923913
"KBSM",519,NA,"PL",45.7571395549611
"KBSM",520,46.5,"PL",46.7584383636294
"KBSM",521,43,"PL",49.7561817157608
"KBSM",522,53.5,"PL",48.5856836653729
"KBSM",523,48,"PL",47.6709953744859
"KBSM",524,43.5,"PL",47.7130221782574
"KBSM",525,45.5,"PL",45.2805512838522
"KBSM",526,35.75,"PL",42.2353595591332
"KBSM",527,41.5,"PL",41.974176281997
"KBSM",529,46.75,"PL",41.6097029561069
"KBSM",530,37.5,"PL",46.2112241205362
"KBSM",531,34.25,"PL",45.0908763860996
"KBSM",532,42.75,"PL",42.7180590030218
"KBSM",533,29.75,"PL",44.1524334352005
"KBSM",534,33.75,"PL",42.6994910742077
"KBSM",535,48.5,"PL",47.9311676501029
"KBSM",536,46,"PL",41.0833906667723
"KBSM",537,45.25,"PL",44.3399288931937
"KBSM",539,39.25,"PL",44.7928511433278
"KBSM",540,45,"PL",45.9670922291555
"KBSM",541,35,"PL",43.8505937268479
"KBSM",542,47,"PL",48.448737388581
"KBSM",544,40.75,"PL",49.2093821808149
"KBSM",545,42.25,"PL",38.0948791216848
"KBSM",546,41,"PL",45.3385005533186
"KBSM",547,46.5,"PL",46.7762629967398
"KBSM",548,37.25,"PL",45.1082664372708
"KBSM",549,50.25,"PL",50.1435862425635
"KBSM",551,NA,"PL",41.2795091614955
"KBSM",552,37,"PL",42.3534921250175
"KBSM",553,38.75,"PL",42.0874629411367
"KBSM",555,54.75,"PL",45.705908948648
"KBSM",556,NA,"PL",43.0804037059964
"KBSM",557,40.25,"PL",42.1873624660014
"KBSM",558,52,"PL",45.7791917806856
"KBSM",559,45.25,"PL",44.9595346226155
"KBSM",560,39.5,"PL",42.1895650343884
"KBSM",562,43.75,"PL",40.5526381740437
"KBSM",563,40.5,"PL",41.2887970092891
"KBSM",564,NA,"PL",44.1605704866535
"KBSM",565,46.25,"PL",45.6599753004674
"KBSM",566,39,"PL",41.4805985619016
"KBSM",567,41.5,"PL",42.9264904915632
"KBSM",569,52.75,"PL",44.3598307646208
"KBSM",570,38,"PL",41.4542682168696
"KBSM",571,44,"PL",41.0240612371842
"KBSM",572,45,"PL",42.7845640998115
"KBSM",573,38.75,"PL",43.1329003733856
"KBSM",574,43,"PL",41.9222723410848
"KBSM",576,43,"PL",46.3403467559023
"KBSM",577,48.25,"PL",44.4544741325177
"KBSM",578,47,"PL",42.8177302924158
"KBSM",579,48.5,"PL",44.9936146498878
"KBSM",580,41,"PL",44.2594461216773
"KBSM",581,36.25,"PL",42.5475142338572
"KBSM",583,46,"PL",40.8758258688021
"KBSM",584,55,"PL",48.6727528323711
"KBSM",585,34.75,"PL",38.2335434107038
"KBSM",586,50.5,"PL",46.0299926759527
"KBSM",588,48.75,"PL",45.5829206902293
"KBSM",589,41.25,"PL",43.6824915198363
"KBSM",592,44.25,"PL",42.1378979324112
"KBSM",593,38.25,"PL",39.5432704180232
"KBSM",594,50,"PL",43.8114641487623
"KBSM",595,48.5,"PL",45.422669670859
"KBSM",596,46.25,"PL",45.3698864924087
"KBSM",597,59,"PL",45.4501959430496
"KBSM",598,42,"PL",43.115651379914
"KBSM",599,NA,"PL",47.0672154199907
"KBSM",600,43.5,"PL",42.8400146503622
"KBSM",601,48,"PL",39.6883991387172
"KBSM",602,NA,"PL",45.3311542205542
"KBSM",603,NA,"PL",46.3770229301343
"KBSM",604,NA,"PL",43.3551069410674
"KBSM",605,48,"PL",43.3089384968049
"KBSM",606,49,"PL",46.1833874111384
"KBSM",608,40.5,"PL",42.7731223083503
"KBSM",609,38.25,"PL",46.7353241645295
"KBSM",610,52,"PL",47.6928429905761
"KBSM",611,43,"PL",47.1226287586275
"KBSM",612,39.5,"PL",42.9397853566772
"KBSM",613,36.75,"PL",45.4985704155094
"KBSM",614,47.5,"PL",46.1511569528836
"KBSM",618,54.5,"PL",45.8794539568472
"KBSM",619,47,"PL",47.2510331091561
"KBSM",620,44.5,"PL",46.8067732424957
"KBSM",621,44,"PL",48.3239429130954
"KBSM",622,45.25,"PL",44.9885332156788
"KBSM",623,NA,"PL",40.7686088496561
"KBSM",624,NA,"PL",41.1295178129469
"KBSM",625,43.25,"PL",44.5507590823117
"KBSM",627,34.5,"PL",40.8025137883175
"KBSM",628,37,"PL",41.327252730842
"KBSM",629,51,"PL",46.5949643059712
"KBSM",630,38,"PL",42.5260527183324
"KBSM",632,47.25,"PL",44.7235971808391
"KBSM",633,44.25,"PL",41.1111569954869
"KBSM",634,46.25,"PL",45.8817906258527
"KBSM",635,46.25,"PL",43.2813961344147
"KBSM",636,45,"PL",44.2663598124451
"KBSM",637,49.25,"PL",44.4087532069576
"KBSM",638,40.75,"PL",42.0073275700311
"KBSM",639,47.5,"PL",46.6229947241714
"KBSM",640,49.75,"PL",50.3715078946843
"KBSM",641,40,"PL",41.4293348346354
"KBSM",642,45.25,"PL",44.8713002480017
"KBSM",643,36.25,"PL",38.3681021242669
"KBSM",644,38,"PL",47.6539566286448
"KBSM",645,NA,"PL",43.5380244596431
"KBSM",647,NA,"PL",44.4076624087582
"KBSM",648,28.5,"PL",48.0124339228352
"KBSM",649,38.25,"PL",40.6294598888108
"KBSM",652,45.75,"PL",46.46816918321
"KBSM",654,46,"PL",44.0518755117402
"KBSM",655,40.25,"PL",44.8506803715689
"KBSM",656,55.5,"PL",47.2324055972902
"KBSM",657,42.75,"PL",40.0524130948517
"KBSM",658,47,"PL",41.2232215824469
"KBSM",660,41.75,"PL",41.1712994037452
"KBSM",661,50,"PL",46.8052321885287
"KBSM",663,45.75,"PL",40.6734404366306
"KBSM",664,40,"PL",41.9468629623964
"KBSM",666,42.75,"PL",43.117523098883
