"GO.ID","Term","Annotated","Significant","Expected","raw.p.value","Trait","pr"
"GO:0006586","indolalkylamine metabolic process",25,6,2.06,"0.0139","LEN","BP"
"GO:0042430","indole-containing compound metabolic process",25,6,2.06,"0.0139","LEN","BP"
"GO:0060255","regulation of macromolecule metabolic process",2395,225,196.87,"0.0153","LEN","BP"
"GO:0034645","cellular macromolecule biosynthetic process",3729,340,306.53,"0.0153","LEN","BP"
"GO:0009059","macromolecule biosynthetic process",3733,340,306.86,"0.0162","LEN","BP"
"GO:0019222","regulation of metabolic process",2411,226,198.19,"0.0165","LEN","BP"
"GO:0010411","xyloglucan metabolic process",3,2,0.25,"0.0192","LEN","BP"
"GO:0051090","regulation of DNA-binding transcription factor activity",3,2,0.25,"0.0192","LEN","BP"
"GO:0051382","kinetochore assembly",3,2,0.25,"0.0192","LEN","BP"
"GO:0051383","kinetochore organization",3,2,0.25,"0.0192","LEN","BP"
"GO:0006415","translational termination",27,6,2.22,"0.0202","LEN","BP"
"GO:0015936","coenzyme A metabolic process",20,5,1.64,"0.0204","LEN","BP"
"GO:0015937","coenzyme A biosynthetic process",14,4,1.15,"0.0233","LEN","BP"
"GO:0006810","transport",2541,235,208.87,"0.0250","LEN","BP"
"GO:0006979","response to oxidative stress",336,38,27.62,"0.0279","LEN","BP"
"GO:0051179","localization",2565,236,210.85,"0.0301","LEN","BP"
"GO:0015693","magnesium ion transport",22,5,1.81,"0.0302","LEN","BP"
"GO:0070838","divalent metal ion transport",22,5,1.81,"0.0302","LEN","BP"
"GO:0072511","divalent inorganic cation transport",22,5,1.81,"0.0302","LEN","BP"
"GO:0034654","nucleobase-containing compound biosynthetic process",2765,253,227.29,"0.0312","LEN","BP"
"GO:0051234","establishment of localization",2556,235,210.11,"0.0312","LEN","BP"
"GO:0018130","heterocycle biosynthetic process",2930,267,240.85,"0.0320","LEN","BP"
"GO:0006022","aminoglycan metabolic process",46,8,3.78,"0.0323","LEN","BP"
"GO:0044036","cell wall macromolecule metabolic process",46,8,3.78,"0.0323","LEN","BP"
"GO:0006720","isoprenoid metabolic process",72,11,5.92,"0.0324","LEN","BP"
"GO:0008299","isoprenoid biosynthetic process",72,11,5.92,"0.0324","LEN","BP"
"GO:0019438","aromatic compound biosynthetic process",2922,266,240.19,"0.0336","LEN","BP"
"GO:0006784","heme a biosynthetic process",4,2,0.33,"0.0362","LEN","BP"
"GO:0046160","heme a metabolic process",4,2,0.33,"0.0362","LEN","BP"
"GO:0017038","protein import",39,7,3.21,"0.0376","LEN","BP"
"GO:0065004","protein-DNA complex assembly",39,7,3.21,"0.0376","LEN","BP"
"GO:0033865","nucleoside bisphosphate metabolic process",40,7,3.29,"0.0425","LEN","BP"
"GO:0033875","ribonucleoside bisphosphate metabolic process",40,7,3.29,"0.0425","LEN","BP"
"GO:0034032","purine nucleoside bisphosphate metabolic process",40,7,3.29,"0.0425","LEN","BP"
"GO:0071824","protein-DNA complex subunit organization",40,7,3.29,"0.0425","LEN","BP"
"GO:0042737","drug catabolic process",41,7,3.37,"0.0477","LEN","BP"
"GO:0006855","drug transmembrane transport",106,14,8.71,"0.0519","LEN","BP"
"GO:0015893","drug transport",106,14,8.71,"0.0519","LEN","BP"
"GO:0042493","response to drug",106,14,8.71,"0.0519","LEN","BP"
"GO:0010467","gene expression",3851,342,316.56,"0.0524","LEN","BP"
"GO:0010383","cell wall polysaccharide metabolic process",5,2,0.41,"0.0571","LEN","BP"
"GO:0010410","hemicellulose metabolic process",5,2,0.41,"0.0571","LEN","BP"
"GO:0016125","sterol metabolic process",5,2,0.41,"0.0571","LEN","BP"
"GO:0043044","ATP-dependent chromatin remodeling",5,2,0.41,"0.0571","LEN","BP"
"GO:0005975","carbohydrate metabolic process",1078,103,88.61,"0.0589","LEN","BP"
"GO:0006352","DNA-templated transcription, initiation",70,10,5.75,"0.0594","LEN","BP"
"GO:0016070","RNA metabolic process",3065,274,251.95,"0.0627","LEN","BP"
"GO:0044271","cellular nitrogen compound biosynthetic process",3837,339,315.41,"0.0662","LEN","BP"
"GO:1901362","organic cyclic compound biosynthetic process",3036,271,249.56,"0.0674","LEN","BP"
"GO:0071702","organic substance transport",524,53,43.07,"0.0675","LEN","BP"
"GO:0000105","histidine biosynthetic process",20,4,1.64,"0.0764","LEN","BP"
"GO:0006547","histidine metabolic process",20,4,1.64,"0.0764","LEN","BP"
"GO:0052803","imidazole-containing compound metabolic process",20,4,1.64,"0.0764","LEN","BP"
"GO:0006026","aminoglycan catabolic process",37,6,3.04,"0.0792","LEN","BP"
"GO:0006030","chitin metabolic process",37,6,3.04,"0.0792","LEN","BP"
"GO:0006032","chitin catabolic process",37,6,3.04,"0.0792","LEN","BP"
"GO:0006040","amino sugar metabolic process",37,6,3.04,"0.0792","LEN","BP"
"GO:0046348","amino sugar catabolic process",37,6,3.04,"0.0792","LEN","BP"
"GO:1901071","glucosamine-containing compound metabolic process",37,6,3.04,"0.0792","LEN","BP"
"GO:1901072","glucosamine-containing compound catabolic process",37,6,3.04,"0.0792","LEN","BP"
"GO:0044249","cellular biosynthetic process",4653,406,382.48,"0.0807","LEN","BP"
"GO:1901658","glycosyl compound catabolic process",6,2,0.49,"0.0811","LEN","BP"
"GO:0031647","regulation of protein stability",1,1,0.08,"0.0822","LEN","BP"
"GO:0046439","L-cysteine metabolic process",1,1,0.08,"0.0822","LEN","BP"
"GO:0050821","protein stabilization",1,1,0.08,"0.0822","LEN","BP"
"GO:0005852","eukaryotic translation initiation factor 3 complex",38,7,2.52,"0.011","PRM","CC"
"GO:0005654","nucleoplasm",99,12,6.56,"0.030","PRM","CC"
"GO:0044451","nucleoplasm part",99,12,6.56,"0.030","PRM","CC"
"GO:0043189","H4/H2A histone acetyltransferase complex",11,3,0.73,"0.032","PRM","CC"
"GO:1902562","H4 histone acetyltransferase complex",11,3,0.73,"0.032","PRM","CC"
"GO:0031981","nuclear lumen",153,16,10.15,"0.046","PRM","CC"
"GO:0031974","membrane-enclosed lumen",179,18,11.87,"0.050","PRM","CC"
"GO:0043233","organelle lumen",179,18,11.87,"0.050","PRM","CC"
"GO:0070013","intracellular organelle lumen",179,18,11.87,"0.050","PRM","CC"
"GO:0043240","Fanconi anaemia nuclear complex",1,1,0.07,"0.066","PRM","CC"
"GO:0005839","proteasome core complex",45,6,2.98,"0.075","PRM","CC"
"GO:0000502","proteasome complex",56,7,3.71,"0.075","PRM","CC"
"GO:1905369","endopeptidase complex",56,7,3.71,"0.075","PRM","CC"
"GO:0000159","protein phosphatase type 2A complex",28,4,1.86,"0.111","PRM","CC"
"GO:0008287","protein serine/threonine phosphatase complex",28,4,1.86,"0.111","PRM","CC"
"GO:1903293","phosphatase complex",28,4,1.86,"0.111","PRM","CC"
"GO:0016592","mediator complex",29,4,1.92,"0.122","PRM","CC"
"GO:0003677","DNA binding",2415,179,140.09,"0.00035","PRM","MF"
"GO:0016759","cellulose synthase activity",32,8,1.86,"0.00038","PRM","MF"
"GO:0016760","cellulose synthase (UDP-forming) activity",32,8,1.86,"0.00038","PRM","MF"
"GO:0003676","nucleic acid binding",3951,273,229.18,"0.00090","PRM","MF"
"GO:0016149","translation release factor activity, codon specific",18,5,1.04,"0.00296","PRM","MF"
"GO:0004807","triose-phosphate isomerase activity",7,3,0.41,"0.00571","PRM","MF"
"GO:0005337","nucleoside transmembrane transporter activity",7,3,0.41,"0.00571","PRM","MF"
"GO:0003747","translation release factor activity",21,5,1.22,"0.00608","PRM","MF"
"GO:0008079","translation termination factor activity",21,5,1.22,"0.00608","PRM","MF"
"GO:0008135","translation factor activity, RNA binding",126,15,7.31,"0.00638","PRM","MF"
"GO:0016758","transferase activity, transferring hexosyl groups",892,68,51.74,"0.01322","PRM","MF"
"GO:0004175","endopeptidase activity",558,45,32.37,"0.01644","PRM","MF"
"GO:0008134","transcription factor binding",10,3,0.58,"0.01718","PRM","MF"
"GO:0008242","omega peptidase activity",10,3,0.58,"0.01718","PRM","MF"
"GO:0017025","TBP-class protein binding",10,3,0.58,"0.01718","PRM","MF"
"GO:0004371","glycerone kinase activity",4,2,0.23,"0.01865","PRM","MF"
"GO:0008519","ammonium transmembrane transporter activity",19,4,1.1,"0.02171","PRM","MF"
"GO:0004176","ATP-dependent peptidase activity",20,4,1.16,"0.02592","PRM","MF"
"GO:0009055","electron transfer activity",330,28,19.14,"0.02883","PRM","MF"
"GO:0031369","translation initiation factor binding",12,3,0.7,"0.02889","PRM","MF"
"GO:0043141","ATP-dependent 5'-3' DNA helicase activity",5,2,0.29,"0.02990","PRM","MF"
"GO:0008194","UDP-glycosyltransferase activity",233,21,13.52,"0.03054","PRM","MF"
"GO:0005507","copper ion binding",128,13,7.42,"0.03496","PRM","MF"
"GO:0042623","ATPase activity, coupled",251,22,14.56,"0.03574","PRM","MF"
"GO:0003743","translation initiation factor activity",79,9,4.58,"0.03902","PRM","MF"
"GO:0016860","intramolecular oxidoreductase activity",44,6,2.55,"0.04038","PRM","MF"
"GO:0004326","tetrahydrofolylpolyglutamate synthase activity",6,2,0.35,"0.04314","PRM","MF"
"GO:0004452","isopentenyl-diphosphate delta-isomerase activity",6,2,0.35,"0.04314","PRM","MF"
"GO:0004298","threonine-type endopeptidase activity",45,6,2.61,"0.04439","PRM","MF"
"GO:0070003","threonine-type peptidase activity",45,6,2.61,"0.04439","PRM","MF"
"GO:0030983","mismatched DNA binding",24,4,1.39,"0.04737","PRM","MF"
"GO:0016757","transferase activity, transferring glycosyl groups",1084,76,62.88,"0.05010","PRM","MF"
"GO:0003723","RNA binding",623,46,36.14,"0.05611","PRM","MF"
"GO:0017172","cysteine dioxygenase activity",1,1,0.06,"0.05801","PRM","MF"
"GO:0043139","5'-3' DNA helicase activity",7,2,0.41,"0.05811","PRM","MF"
"GO:0035251","UDP-glucosyltransferase activity",73,8,4.23,"0.06031","PRM","MF"
"GO:0015932","nucleobase-containing compound transmembrane transporter activity",16,3,0.93,"0.06194","PRM","MF"
"GO:1901505","carbohydrate derivative transmembrane transporter activity",16,3,0.93,"0.06194","PRM","MF"
"GO:0043565","sequence-specific DNA binding",570,42,33.06,"0.06707","PRM","MF"
"GO:0004312","fatty acid synthase activity",17,3,0.99,"0.07208","PRM","MF"
"GO:0004315","3-oxoacyl-[acyl-carrier-protein] synthase activity",17,3,0.99,"0.07208","PRM","MF"
"GO:0004832","valine-tRNA ligase activity",8,2,0.46,"0.07456","PRM","MF"
"GO:0008097","5S rRNA binding",8,2,0.46,"0.07456","PRM","MF"
"GO:0022804","active transmembrane transporter activity",392,30,22.74,"0.07479","PRM","MF"
"GO:0003697","single-stranded DNA binding",28,4,1.62,"0.07621","PRM","MF"
"GO:0008374","O-acyltransferase activity",64,7,3.71,"0.07659","PRM","MF"
"GO:0005085","guanyl-nucleotide exchange factor activity",40,5,2.32,"0.07998","PRM","MF"
"GO:0003700","DNA-binding transcription factor activity",1054,72,61.14,"0.08429","PRM","MF"
"GO:0004003","ATP-dependent DNA helicase activity",29,4,1.68,"0.08453","PRM","MF"
"GO:0008026","ATP-dependent helicase activity",29,4,1.68,"0.08453","PRM","MF"
"GO:0070035","purine NTP-dependent helicase activity",29,4,1.68,"0.08453","PRM","MF"
"GO:0030243","cellulose metabolic process",38,9,2.26,"0.0003","PRM","BP"
"GO:0030244","cellulose biosynthetic process",38,9,2.26,"0.0003","PRM","BP"
"GO:0009733","response to auxin",125,17,7.42,"0.0012","PRM","BP"
"GO:0034645","cellular macromolecule biosynthetic process",3729,257,221.42,"0.0039","PRM","BP"
"GO:0009059","macromolecule biosynthetic process",3733,257,221.66,"0.0042","PRM","BP"
"GO:0009719","response to endogenous stimulus",177,20,10.51,"0.0043","PRM","BP"
"GO:0009725","response to hormone",177,20,10.51,"0.0043","PRM","BP"
"GO:0006415","translational termination",27,6,1.6,"0.0044","PRM","BP"
"GO:0019684","photosynthesis, light reaction",56,9,3.33,"0.0054","PRM","BP"
"GO:0006790","sulfur compound metabolic process",99,13,5.88,"0.0057","PRM","BP"
"GO:0006066","alcohol metabolic process",29,6,1.72,"0.0063","PRM","BP"
"GO:0042221","response to chemical",313,30,18.59,"0.0068","PRM","BP"
"GO:0010033","response to organic substance",185,20,10.99,"0.0070","PRM","BP"
"GO:0006352","DNA-templated transcription, initiation",70,10,4.16,"0.0081","PRM","BP"
"GO:0009250","glucan biosynthetic process",60,9,3.56,"0.0085","PRM","BP"
"GO:0051273","beta-glucan metabolic process",60,9,3.56,"0.0085","PRM","BP"
"GO:0051274","beta-glucan biosynthetic process",60,9,3.56,"0.0085","PRM","BP"
"GO:0005975","carbohydrate metabolic process",1078,83,64.01,"0.0088","PRM","BP"
"GO:0009765","photosynthesis, light harvesting",32,6,1.9,"0.0104","PRM","BP"
"GO:0000271","polysaccharide biosynthetic process",62,9,3.68,"0.0105","PRM","BP"
"GO:0033692","cellular polysaccharide biosynthetic process",62,9,3.68,"0.0105","PRM","BP"
"GO:1901576","organic substance biosynthetic process",4738,313,281.34,"0.0147","PRM","BP"
"GO:0044249","cellular biosynthetic process",4653,307,276.29,"0.0168","PRM","BP"
"GO:0050794","regulation of cellular process",3062,208,181.82,"0.0175","PRM","BP"
"GO:1901615","organic hydroxy compound metabolic process",46,7,2.73,"0.0180","PRM","BP"
"GO:0050789","regulation of biological process",3147,213,186.87,"0.0187","PRM","BP"
"GO:0006071","glycerol metabolic process",4,2,0.24,"0.0195","PRM","BP"
"GO:0019400","alditol metabolic process",4,2,0.24,"0.0195","PRM","BP"
"GO:0019751","polyol metabolic process",27,5,1.6,"0.0198","PRM","BP"
"GO:0015979","photosynthesis",154,16,9.14,"0.0209","PRM","BP"
"GO:0034637","cellular carbohydrate biosynthetic process",117,13,6.95,"0.0215","PRM","BP"
"GO:0015696","ammonium transport",19,4,1.13,"0.0234","PRM","BP"
"GO:0072488","ammonium transmembrane transport",19,4,1.13,"0.0234","PRM","BP"
"GO:0022411","cellular component disassembly",50,7,2.97,"0.0274","PRM","BP"
"GO:0032984","protein-containing complex disassembly",50,7,2.97,"0.0274","PRM","BP"
"GO:0043624","cellular protein complex disassembly",50,7,2.97,"0.0274","PRM","BP"
"GO:0065007","biological regulation",3350,223,198.92,"0.0306","PRM","BP"
"GO:0060255","regulation of macromolecule metabolic process",2395,163,142.21,"0.0324","PRM","BP"
"GO:0019222","regulation of metabolic process",2411,164,143.16,"0.0324","PRM","BP"
"GO:0010468","regulation of gene expression",2352,160,139.66,"0.0343","PRM","BP"
"GO:0051171","regulation of nitrogen compound metabolic process",2338,159,138.83,"0.0351","PRM","BP"
"GO:0010467","gene expression",3851,253,228.67,"0.0363","PRM","BP"
"GO:0009058","biosynthetic process",4927,319,292.56,"0.0365","PRM","BP"
"GO:0080090","regulation of primary metabolic process",2342,159,139.07,"0.0369","PRM","BP"
"GO:0009889","regulation of biosynthetic process",2300,156,136.57,"0.0396","PRM","BP"
"GO:0010556","regulation of macromolecule biosynthetic process",2300,156,136.57,"0.0396","PRM","BP"
"GO:0031326","regulation of cellular biosynthetic process",2300,156,136.57,"0.0396","PRM","BP"
"GO:2000112","regulation of cellular macromolecule biosynthetic process",2300,156,136.57,"0.0396","PRM","BP"
"GO:0031323","regulation of cellular metabolic process",2348,159,139.42,"0.0397","PRM","BP"
"GO:0006355","regulation of transcription, DNA-templated",2228,151,132.3,"0.0434","PRM","BP"
"GO:0051252","regulation of RNA metabolic process",2228,151,132.3,"0.0434","PRM","BP"
"GO:1903506","regulation of nucleic acid-templated transcription",2228,151,132.3,"0.0434","PRM","BP"
"GO:2001141","regulation of RNA biosynthetic process",2228,151,132.3,"0.0434","PRM","BP"
"GO:0019219","regulation of nucleobase-containing compound metabolic process",2246,152,133.37,"0.0446","PRM","BP"
"GO:0000154","rRNA modification",6,2,0.36,"0.0450","PRM","BP"
"GO:0007029","endoplasmic reticulum organization",6,2,0.36,"0.0450","PRM","BP"
"GO:0010207","photosystem II assembly",6,2,0.36,"0.0450","PRM","BP"
"GO:0031167","rRNA methylation",6,2,0.36,"0.0450","PRM","BP"
"GO:0043647","inositol phosphate metabolic process",14,3,0.83,"0.0465","PRM","BP"
"GO:0006298","mismatch repair",24,4,1.43,"0.0509","PRM","BP"
"GO:0016051","carbohydrate biosynthetic process",134,13,7.96,"0.0554","PRM","BP"
"GO:0046439","L-cysteine metabolic process",1,1,0.06,"0.0594","PRM","BP"
"GO:0006333","chromatin assembly or disassembly",36,5,2.14,"0.0599","PRM","BP"
"GO:0006351","transcription, DNA-templated",2486,165,147.62,"0.0643","PRM","BP"
"GO:0097659","nucleic acid-templated transcription",2486,165,147.62,"0.0643","PRM","BP"
"GO:0007093","mitotic cell cycle checkpoint",16,3,0.95,"0.0655","PRM","BP"
"GO:0045930","negative regulation of mitotic cell cycle",16,3,0.95,"0.0655","PRM","BP"
"GO:0006412","translation",909,65,53.98,"0.0681","PRM","BP"
"GO:0044271","cellular nitrogen compound biosynthetic process",3837,248,227.84,"0.0684","PRM","BP"
"GO:0032774","RNA biosynthetic process",2492,165,147.97,"0.0685","PRM","BP"
"GO:0043604","amide biosynthetic process",958,68,56.89,"0.0711","PRM","BP"
"GO:0006541","glutamine metabolic process",27,4,1.6,"0.0731","PRM","BP"
"GO:0000724","double-strand break repair via homologous recombination",8,2,0.48,"0.0777","PRM","BP"
"GO:0000725","recombinational repair",8,2,0.48,"0.0777","PRM","BP"
"GO:0006438","valyl-tRNA aminoacylation",8,2,0.48,"0.0777","PRM","BP"
"GO:0010256","endomembrane system organization",8,2,0.48,"0.0777","PRM","BP"
"GO:0043603","cellular amide metabolic process",995,70,59.08,"0.0783","PRM","BP"
"GO:0043043","peptide biosynthetic process",921,65,54.69,"0.0831","PRM","BP"
"GO:0006302","double-strand break repair",18,3,1.07,"0.0876","PRM","BP"
"GO:0009664","plant-type cell wall organization",18,3,1.07,"0.0876","PRM","BP"
"GO:0010215","cellulose microfibril organization",18,3,1.07,"0.0876","PRM","BP"
"GO:0030198","extracellular matrix organization",18,3,1.07,"0.0876","PRM","BP"
"GO:0043062","extracellular structure organization",18,3,1.07,"0.0876","PRM","BP"
"GO:0070726","cell wall assembly",18,3,1.07,"0.0876","PRM","BP"
"GO:0071668","plant-type cell wall assembly",18,3,1.07,"0.0876","PRM","BP"
"GO:0006518","peptide metabolic process",941,66,55.88,"0.0891","PRM","BP"
"GO:0008250","oligosaccharyltransferase complex",6,2,0.14,"0.0078","SEC","CC"
"GO:0000176","nuclear exosome (RNase complex)",2,1,0.05,"0.0467","SEC","CC"
"GO:0032040","small-subunit processome",15,2,0.35,"0.0475","SEC","CC"
"GO:0032039","integrator complex",3,1,0.07,"0.0692","SEC","CC"
"GO:0030684","preribosome",19,2,0.45,"0.0728","SEC","CC"
"GO:0000145","exocyst",97,5,2.29,"0.0788","SEC","CC"
"GO:0005938","cell cortex",97,5,2.29,"0.0788","SEC","CC"
"GO:0044448","cell cortex part",97,5,2.29,"0.0788","SEC","CC"
"GO:0099568","cytoplasmic region",97,5,2.29,"0.0788","SEC","CC"
"GO:0005956","protein kinase CK2 complex",4,1,0.09,"0.0911","SEC","CC"
"GO:0032300","mismatch repair complex",4,1,0.09,"0.0911","SEC","CC"
"GO:1990391","DNA repair complex",4,1,0.09,"0.0911","SEC","CC"
"GO:0045261","proton-transporting ATP synthase complex, catalytic core F(1)",22,2,0.52,"0.0940","SEC","CC"
"GO:0099023","tethering complex",105,5,2.48,"0.1020","SEC","CC"
"GO:0031974","membrane-enclosed lumen",179,7,4.22,"0.1303","SEC","CC"
"GO:0043233","organelle lumen",179,7,4.22,"0.1303","SEC","CC"
"GO:0070013","intracellular organelle lumen",179,7,4.22,"0.1303","SEC","CC"
"GO:0016459","myosin complex",27,2,0.64,"0.1326","SEC","CC"
"GO:0031981","nuclear lumen",153,6,3.61,"0.1530","SEC","CC"
