"SITE","LINE","LEN","PRM","SEC","SITE2"
"BRKG",52,"*","*","*","BRKG"
"BRKG",53,"39.5","28","14","BRKG"
"BRKG",54,"49.75","39.5","14","BRKG"
"BRKG",55,"38.25","24","11","BRKG"
"BRKG",56,"44.5","35","12","BRKG"
"BRKG",57,"37.75","23","11","BRKG"
"BRKG",58,"43","27.5","10.5","BRKG"
"BRKG",59,"*","*","*","BRKG"
"BRKG",60,"*","*","*","BRKG"
"BRKG",61,"53","33","15.5","BRKG"
"BRKG",62,"57.5","33.5","13.5","BRKG"
"BRKG",63,"35","23","11","BRKG"
"BRKG",64,"29.5","30","11.5","BRKG"
"BRKG",65,"40","40.5","11","BRKG"
"BRKG",66,"33","18.5","15","BRKG"
"BRKG",67,"43.75","28.5","12.5","BRKG"
"BRKG",68,"*","*","*","BRKG"
"BRKG",69,"41.625","32.75","13.25","BRKG"
"BRKG",70,"*","*","*","BRKG"
"BRKG",71,"37","33","11","BRKG"
"BRKG",72,"43.25","31","15","BRKG"
"BRKG",73,"34.5","28","10.75","BRKG"
"BRKG",74,"57.25","40.5","19","BRKG"
"BRKG",75,"58.5","31.5","14.5","BRKG"
"BRKG",76,"*","*","*","BRKG"
"BRKG",77,"43.5","27","10.5","BRKG"
"BRKG",78,"54.5","34","13.5","BRKG"
"BRKG",79,"44.5","25","15.5","BRKG"
"BRKG",80,"45.5","38","12","BRKG"
"BRKG",81,"42.75","22.5","13","BRKG"
"BRKG",83,"51","29","14.5","BRKG"
"BRKG",84,"42","28.5","15.5","BRKG"
"BRKG",85,"51.25","23","13","BRKG"
"BRKG",86,"48.75","33.5","11.5","BRKG"
"BRKG",87,"35.5","28.5","11.5","BRKG"
"BRKG",88,"55.5","40.5","15","BRKG"
"BRKG",89,"48.75","38.5","12.5","BRKG"
"BRKG",90,"51.25","38.5","13","BRKG"
"BRKG",91,"46.75","37","12.5","BRKG"
"BRKG",93,"43.5","32.5","15","BRKG"
"BRKG",94,"*","*","*","BRKG"
"BRKG",95,"43.5","26","13.5","BRKG"
"BRKG",96,"39.25","24.5","9.5","BRKG"
"BRKG",97,"52.75","33.25","14","BRKG"
"BRKG",98,"*","*","*","BRKG"
"BRKG",99,"40.75","25","12","BRKG"
"BRKG",100,"52.5","30.5","12.5","BRKG"
"BRKG",101,"44.5","31","10.5","BRKG"
"BRKG",102,"42.65","26.5","10.5","BRKG"
"BRKG",103,"47.5","36.5","13.5","BRKG"
"BRKG",104,"58","22","12.5","BRKG"
"BRKG",105,"41.25","32","11.5","BRKG"
"BRKG",106,"56.5","27","11","BRKG"
"BRKG",107,"50.75","28","12","BRKG"
"BRKG",108,"46.65","26","13","BRKG"
"BRKG",110,"44.25","29.5","12","BRKG"
"BRKG",111,"38","28.5","10","BRKG"
"BRKG",112,"52.5","26.5","14","BRKG"
"BRKG",113,"61","25.5","18","BRKG"
"BRKG",114,"*","*","*","BRKG"
"BRKG",115,"*","*","*","BRKG"
"BRKG",116,"55","32","11.5","BRKG"
"BRKG",117,"50","34.5","13.5","BRKG"
"BRKG",118,"46.5","29","14.5","BRKG"
"BRKG",119,"54","36.5","14","BRKG"
"BRKG",120,"33.5","27","10.5","BRKG"
"BRKG",122,"38.375","30.5","11.25","BRKG"
"BRKG",123,"47.75","29","12","BRKG"
"BRKG",125,"47","25","10","BRKG"
"BRKG",126,"41.5","24","10.5","BRKG"
"BRKG",127,"40.75","18.5","12.5","BRKG"
"BRKG",128,"46.5","31.75","12.75","BRKG"
"BRKG",130,"45.5","24.5","13","BRKG"
"BRKG",131,"43.5","36","12.5","BRKG"
"BRKG",132,"48.75","28","14","BRKG"
"BRKG",134,"63","48.25","16.25","BRKG"
"BRKG",135,"33","30.5","8.5","BRKG"
"BRKG",136,"44","29","13","BRKG"
"BRKG",137,"*","*","*","BRKG"
"BRKG",138,"48","36","15","BRKG"
"BRKG",139,"*","*","*","BRKG"
"BRKG",141,"42.5","31.5","11","BRKG"
"BRKG",142,"45.5","33.5","12","BRKG"
"BRKG",143,"63","36","16.5","BRKG"
"BRKG",144,"*","*","*","BRKG"
"BRKG",145,"52.5","31.5","10","BRKG"
"BRKG",146,"38.5","27.5","12.5","BRKG"
"BRKG",147,"45.5","26","13.5","BRKG"
"BRKG",148,"41","21","10.5","BRKG"
"BRKG",150,"30.6","32.5","8.5","BRKG"
"BRKG",151,"50.5","27","13","BRKG"
"BRKG",152,"*","*","*","BRKG"
"BRKG",153,"47.75","34.5","13.5","BRKG"
"BRKG",154,"56","30","14.5","BRKG"
"BRKG",155,"53.5","37.5","14.5","BRKG"
"BRKG",156,"38.5","19.5","12","BRKG"
"BRKG",157,"44.75","19.5","9.5","BRKG"
"BRKG",158,"45","24.5","10.5","BRKG"
"BRKG",159,"45.5","35.5","14.5","BRKG"
"BRKG",160,"43","27.5","8","BRKG"
"BRKG",161,"45.25","38","11.5","BRKG"
"BRKG",163,"37.75","24","11.5","BRKG"
"BRKG",164,"*","*","*","BRKG"
"BRKG",165,"70.05","36","9","BRKG"
"BRKG",166,"71.5","36","13.5","BRKG"
"BRKG",167,"*","*","*","BRKG"
"BRKG",168,"55.5","39.5","16.5","BRKG"
"BRKG",169,"45","29","13.5","BRKG"
"BRKG",170,"54.5","31.5","12.5","BRKG"
"BRKG",171,"44.5","27","12.5","BRKG"
"BRKG",172,"*","*","*","BRKG"
"BRKG",173,"46","21.5","12","BRKG"
"BRKG",174,"45","27.5","13","BRKG"
"BRKG",175,"65","34.5","18.5","BRKG"
"BRKG",176,"54.75","36.5","14","BRKG"
"BRKG",177,"48.5","32","9","BRKG"
"BRKG",178,"66.1","37.5","12.5","BRKG"
"BRKG",179,"*","*","*","BRKG"
"BRKG",180,"39","26","13.5","BRKG"
"BRKG",181,"*","*","*","BRKG"
"BRKG",182,"46.125","30.75","13.5","BRKG"
"BRKG",184,"57","37","14","BRKG"
"BRKG",185,"47","27","11.5","BRKG"
"BRKG",186,"53.5","34","15.5","BRKG"
"BRKG",187,"49","23","10","BRKG"
"BRKG",188,"46","29.5","15.5","BRKG"
"BRKG",189,"47.5","35","11.5","BRKG"
"BRKG",190,"33","20","10","BRKG"
"BRKG",191,"40","35","12.25","BRKG"
"BRKG",192,"54","26.5","13.5","BRKG"
"BRKG",193,"66.5","34","14.75","BRKG"
"BRKG",194,"49.25","34","13","BRKG"
"BRKG",195,"43","28.5","9.5","BRKG"
"BRKG",196,"60.7","33.5","16.5","BRKG"
"BRKG",197,"51.875","26.5","11.25","BRKG"
"BRKG",198,"45","29.5","13.5","BRKG"
"BRKG",199,"45","24.5","12","BRKG"
"BRKG",200,"56.5","32","14.5","BRKG"
"BRKG",201,"40.5","29","12","BRKG"
"BRKG",202,"42.25","31","12","BRKG"
"BRKG",203,"45.5","31","11","BRKG"
"BRKG",204,"36","24","9.5","BRKG"
"BRKG",205,"45.75","29.5","14.5","BRKG"
"BRKG",206,"*","*","*","BRKG"
"BRKG",207,"41.575","30.5","12.5","BRKG"
"BRKG",208,"38.75","24.25","12.75","BRKG"
"BRKG",209,"43.625","32.75","15","BRKG"
"BRKG",210,"62.5","33","18","BRKG"
"BRKG",211,"*","*","*","BRKG"
"BRKG",212,"44","25.5","11.5","BRKG"
"BRKG",213,"61.5","29","15.5","BRKG"
"BRKG",214,"40.5","25","12","BRKG"
"BRKG",215,"42","29","14.5","BRKG"
"BRKG",216,"49","42.5","12.5","BRKG"
"BRKG",217,"40.5","26.5","7.5","BRKG"
"BRKG",218,"53.875","41.5","14.25","BRKG"
"BRKG",219,"52.5","30.5","14.5","BRKG"
"BRKG",220,"42","27","12","BRKG"
"BRKG",221,"53","28.5","12.5","BRKG"
"BRKG",222,"49.5","32.5","14","BRKG"
"BRKG",223,"39","30","15","BRKG"
"BRKG",224,"58","35.5","13","BRKG"
"BRKG",225,"46","29","11","BRKG"
"BRKG",226,"46.75","38","13","BRKG"
"BRKG",227,"48","34","16.5","BRKG"
"BRKG",228,"50","27","12","BRKG"
"BRKG",229,"61","40","13","BRKG"
"BRKG",230,"53.75","30.25","9","BRKG"
"BRKG",231,"*","*","*","BRKG"
"BRKG",232,"41","32.5","11","BRKG"
"BRKG",233,"58","28.5","12.5","BRKG"
"BRKG",234,"54","31","13","BRKG"
"BRKG",235,"43.5","38.5","12.5","BRKG"
"BRKG",236,"*","*","*","BRKG"
"BRKG",237,"53","28","16.5","BRKG"
"BRKG",238,"42.25","37.5","13","BRKG"
"BRKG",239,"46","32","12.5","BRKG"
"BRKG",240,"64","32","13.5","BRKG"
"BRKG",241,"55","26","15","BRKG"
"BRKG",242,"43.5","29","12.25","BRKG"
"BRKG",243,"46.75","28","14.5","BRKG"
"BRKG",244,"51","33.5","14.5","BRKG"
"BRKG",245,"49.5","31.75","12","BRKG"
"BRKG",246,"47.3333333333333","26.3333333333333","11.6666666666667","BRKG"
"BRKG",247,"56.5","40","17.5","BRKG"
"BRKG",248,"50.5","36.5","16.5","BRKG"
"BRKG",249,"42.2","33","14.25","BRKG"
"BRKG",250,"48.25","35.5","11.5","BRKG"
"BRKG",251,"48","35","13.5","BRKG"
"BRKG",252,"45.75","32","11.5","BRKG"
"BRKG",253,"34","28.5","11","BRKG"
"BRKG",254,"38.75","26","13.25","BRKG"
"BRKG",255,"42.75","28.5","13.5","BRKG"
"BRKG",256,"*","*","*","BRKG"
"BRKG",257,"38.5","31","9","BRKG"
"BRKG",258,"48","23.5","10","BRKG"
"BRKG",259,"36.5","24","13.5","BRKG"
"BRKG",260,"45.75","38","14.5","BRKG"
"BRKG",261,"48.75","29.5","11.5","BRKG"
"BRKG",262,"49.1","42","15.5","BRKG"
"BRKG",263,"51.75","34.5","12.5","BRKG"
"BRKG",264,"54","25","11.75","BRKG"
"BRKG",265,"37","25.5","12.5","BRKG"
"BRKG",266,"48.5","35.5","13","BRKG"
"BRKG",267,"52.5","33","15.5","BRKG"
"BRKG",268,"39","28.5","12.5","BRKG"
"BRKG",269,"40.15","31.5","12","BRKG"
"BRKG",270,"52.5","42.5","13.5","BRKG"
"BRKG",271,"46","34","13.5","BRKG"
"BRKG",272,"46.5","35.5","15.5","BRKG"
"BRKG",273,"*","*","*","BRKG"
"BRKG",274,"63.75","40","11","BRKG"
"BRKG",275,"35.5","25","12","BRKG"
"BRKG",276,"*","*","*","BRKG"
"BRKG",277,"43","31","10.5","BRKG"
"BRKG",278,"48.55","31","16.5","BRKG"
"BRKG",279,"48.325","35","13.75","BRKG"
"BRKG",280,"58.5","39","14.5","BRKG"
"BRKG",281,"37","26.5","11.5","BRKG"
"BRKG",282,"40.25","32.5","13","BRKG"
"BRKG",283,"45","27.5","10.5","BRKG"
"BRKG",284,"57","31","10.5","BRKG"
"BRKG",285,"52.5","33.5","12.25","BRKG"
"BRKG",286,"47.5","33","14","BRKG"
"BRKG",287,"*","*","*","BRKG"
"BRKG",288,"46","42","15","BRKG"
"BRKG",289,"47.75","39.5","12.5","BRKG"
"BRKG",290,"52","34","15","BRKG"
"BRKG",291,"49","27.5","14","BRKG"
"BRKG",292,"43.5","33.5","12","BRKG"
"BRKG",293,"37.375","21.25","10.25","BRKG"
"BRKG",294,"39.875","21.25","9.75","BRKG"
"BRKG",296,"51.5","36.5","15","BRKG"
"BRKG",297,"55.75","34","15.25","BRKG"
"BRKG",298,"*","*","*","BRKG"
"BRKG",299,"38.5","26.5","10.5","BRKG"
"BRKG",300,"46.5","26.5","13","BRKG"
"BRKG",301,"41.5","35","12.5","BRKG"
"BRKG",302,"40","25","12.5","BRKG"
"BRKG",303,"53.75","32","15","BRKG"
"BRKG",304,"29","15","10.5","BRKG"
"BRKG",305,"38.5","29","12","BRKG"
"BRKG",306,"47","28.5","14.5","BRKG"
"BRKG",307,"34.45","24.75","11","BRKG"
"BRKG",308,"50.25","32","14","BRKG"
"BRKG",310,"43.8","28.75","13.25","BRKG"
"BRKG",311,"45","28","13.5","BRKG"
"BRKG",312,"41","31","14.5","BRKG"
"BRKG",313,"41.75","31.25","13.5","BRKG"
"BRKG",314,"42.75","26.5","13","BRKG"
"BRKG",315,"39.15","26","13.5","BRKG"
"BRKG",316,"47","22.5","11","BRKG"
"BRKG",317,"44.5","30.25","12.25","BRKG"
"BRKG",318,"46.5","26.5","13.5","BRKG"
"BRKG",319,"46.5","34","12.5","BRKG"
"BRKG",320,"58.75","29.75","11.75","BRKG"
"BRKG",322,"43.25","33.5","13","BRKG"
"BRKG",323,"51","46.5","13.5","BRKG"
"BRKG",324,"52.25","34.5","13","BRKG"
"BRKG",325,"47.525","35.5","14.75","BRKG"
"BRKG",326,"53","39","11","BRKG"
"BRKG",327,"*","*","*","BRKG"
"BRKG",328,"48.5","36","14.5","BRKG"
"BRKG",330,"43.25","22.5","10","BRKG"
"BRKG",332,"39","25","13","BRKG"
"BRKG",333,"52.5","37.5","14","BRKG"
"BRKG",334,"54","33.5","12.5","BRKG"
"BRKG",335,"*","*","*","BRKG"
"BRKG",336,"51.5","33.5","13","BRKG"
"BRKG",337,"37","24","11","BRKG"
"BRKG",338,"*","*","*","BRKG"
"BRKG",339,"50.375","31.25","14.75","BRKG"
"BRKG",340,"*","*","*","BRKG"
"BRKG",341,"38.5","22","13.5","BRKG"
"BRKG",342,"51.25","26","12","BRKG"
"BRKG",343,"42","27.5","12","BRKG"
"BRKG",344,"49","23.5","14","BRKG"
"BRKG",345,"46.375","23.75","11.75","BRKG"
"BRKG",346,"40.75","23","11","BRKG"
"BRKG",347,"43","29","17","BRKG"
"BRKG",349,"31","32.5","11.5","BRKG"
"BRKG",350,"52.25","36.5","13.5","BRKG"
"BRKG",352,"*","*","*","BRKG"
"BRKG",353,"51","36","13.5","BRKG"
"BRKG",354,"40.25","29","12","BRKG"
"BRKG",355,"48.25","25","12.5","BRKG"
"BRKG",356,"45","21","11","BRKG"
"BRKG",358,"42.5","29.5","11","BRKG"
"BRKG",359,"48.5","38","10.5","BRKG"
"BRKG",360,"35.4","26.5","11.5","BRKG"
"BRKG",361,"44.5","35.5","13","BRKG"
"BRKG",362,"58.5","38","21","BRKG"
"BRKG",363,"51.75","28.5","13","BRKG"
"BRKG",364,"47.5","33.5","13.5","BRKG"
"BRKG",365,"45.75","23.75","12.25","BRKG"
"BRKG",366,"50.75","26","13","BRKG"
"BRKG",367,"45.5","33.5","12","BRKG"
"BRKG",368,"48.5","35","12.5","BRKG"
"BRKG",369,"66","29.5","13","BRKG"
"BRKG",370,"54.5","30.5","11","BRKG"
"BRKG",371,"46.3","30.25","13.5","BRKG"
"BRKG",372,"37.5","39.5","11","BRKG"
"BRKG",373,"47.5","24","11","BRKG"
"BRKG",374,"39","30","13","BRKG"
"BRKG",375,"55.5","34","15.5","BRKG"
"BRKG",376,"56.4","32.5","16","BRKG"
"BRKG",377,"64","34.5","13","BRKG"
"BRKG",378,"44","29","11.5","BRKG"
"BRKG",379,"54","32.5","12.5","BRKG"
"BRKG",380,"43.5","36.5","17.5","BRKG"
"BRKG",381,"34.25","34.5","12.5","BRKG"
"BRKG",382,"53.75","22","16.5","BRKG"
"BRKG",383,"54.375","35.5","12.5","BRKG"
"BRKG",384,"33.25","28","12","BRKG"
"BRKG",386,"51.75","36","12.5","BRKG"
"BRKG",388,"50","35","14.5","BRKG"
"BRKG",389,"43.5","33.5","12","BRKG"
"BRKG",390,"53","35","13.5","BRKG"
"BRKG",391,"41.5","28","12.5","BRKG"
"BRKG",392,"54.25","26","13","BRKG"
"BRKG",393,"*","*","*","BRKG"
"BRKG",394,"32.75","22.5","12","BRKG"
"BRKG",395,"36.5","30.5","12","BRKG"
"BRKG",396,"47.5","36","12.5","BRKG"
"BRKG",397,"50.75","34.5","14.5","BRKG"
"BRKG",398,"46.5","31","16","BRKG"
"BRKG",399,"43","21","10.5","BRKG"
"BRKG",400,"49.5","36","13.5","BRKG"
"BRKG",402,"56","31","11","BRKG"
"BRKG",403,"45.5","34.5","12.5","BRKG"
"BRKG",404,"40.5","32.5","14","BRKG"
"CLMB",1,"33.75","25.5","10.5","CLMB"
"CLMB",2,"49","29","11.5","CLMB"
"CLMB",3,"39.25","31.5","11.5","CLMB"
"CLMB",4,"39","22.5","9.5","CLMB"
"CLMB",5,"22.25","22.5","9","CLMB"
"CLMB",7,"36.5","26.5","11.5","CLMB"
"CLMB",8,"*","*","*","CLMB"
"CLMB",9,"39.25","20.5","10.5","CLMB"
"CLMB",10,"*","*","*","CLMB"
"CLMB",11,"49.5","26","11","CLMB"
"CLMB",12,"46","24","12","CLMB"
"CLMB",13,"48.75","32.5","11.5","CLMB"
"CLMB",14,"*","*","*","CLMB"
"CLMB",15,"49.25","28","11.5","CLMB"
"CLMB",16,"*","*","*","CLMB"
"CLMB",17,"45.5","23","13","CLMB"
"CLMB",18,"*","*","*","CLMB"
"CLMB",19,"45.5","22.5","13","CLMB"
"CLMB",20,"36.25","23.5","12","CLMB"
"CLMB",21,"46.75","29","10.5","CLMB"
"CLMB",22,"*","*","*","CLMB"
"CLMB",23,"56.5","29","12.5","CLMB"
"CLMB",24,"38.5","29","12","CLMB"
"CLMB",25,"38.25","19.5","10.5","CLMB"
"CLMB",26,"51","35.5","14","CLMB"
"CLMB",27,"30.75","24","10.5","CLMB"
"CLMB",28,"46.25","32","10.5","CLMB"
"CLMB",29,"*","*","*","CLMB"
"CLMB",30,"42","22.5","8.5","CLMB"
"CLMB",31,"*","*","*","CLMB"
"CLMB",32,"36","24.5","10","CLMB"
"CLMB",33,"35.25","26.5","10.5","CLMB"
"CLMB",34,"42.5","28","9.5","CLMB"
"CLMB",35,"45","25.5","10.5","CLMB"
"CLMB",36,"43","18.5","13","CLMB"
"CLMB",37,"40.5","29.5","12.5","CLMB"
"CLMB",38,"33.25","27.5","11.5","CLMB"
"CLMB",39,"36.25","28.5","10.5","CLMB"
"CLMB",40,"31","29","12.5","CLMB"
"CLMB",41,"47","21","10.5","CLMB"
"CLMB",42,"32.75","22.5","11","CLMB"
"CLMB",43,"*","*","*","CLMB"
"CLMB",44,"35.5","25","11.5","CLMB"
"CLMB",45,"*","*","*","CLMB"
"CLMB",46,"35.25","27","10","CLMB"
"CLMB",47,"*","*","*","CLMB"
"CLMB",48,"44","23.5","10.5","CLMB"
"CLMB",49,"56.25","29","11.5","CLMB"
"CLMB",50,"33.25","29.5","12","CLMB"
"CLMB",52,"42.75","19.5","10","CLMB"
"CLMB",53,"23","24","7.5","CLMB"
"CLMB",54,"53.25","33.5","14.5","CLMB"
"CLMB",55,"34.75","22.5","10.5","CLMB"
"CLMB",56,"*","*","*","CLMB"
"CLMB",57,"48.75","21.5","11.5","CLMB"
"CLMB",58,"*","*","*","CLMB"
"CLMB",59,"34.5","24","9.5","CLMB"
"CLMB",60,"28.25","18","8.5","CLMB"
"CLMB",61,"54","28.5","15","CLMB"
"CLMB",62,"44","30","13","CLMB"
"CLMB",63,"55.5","26","12","CLMB"
"CLMB",64,"*","*","*","CLMB"
"CLMB",65,"38.75","35.5","11.5","CLMB"
"CLMB",66,"38.5","28","10.5","CLMB"
"CLMB",67,"46.5","25","10.5","CLMB"
"CLMB",68,"41","32","11.5","CLMB"
"CLMB",69,"28","27.5","9","CLMB"
"CLMB",70,"*","*","*","CLMB"
"CLMB",71,"46.75","27.5","11","CLMB"
"CLMB",72,"49.25","34.5","15","CLMB"
"CLMB",73,"33","27","11.5","CLMB"
"CLMB",74,"55.5","40.5","17.5","CLMB"
"CLMB",75,"61.75","30","13.5","CLMB"
"CLMB",76,"43","24.5","10.5","CLMB"
"CLMB",77,"*","*","*","CLMB"
"CLMB",78,"49","21.5","10","CLMB"
"CLMB",79,"43.25","25","8.5","CLMB"
"CLMB",80,"45","22.5","10.5","CLMB"
"CLMB",81,"*","*","*","CLMB"
"CLMB",83,"48.5","26","10.5","CLMB"
"CLMB",84,"*","*","*","CLMB"
"CLMB",85,"42","19","9","CLMB"
"CLMB",86,"41.25","27","10.5","CLMB"
"CLMB",87,"40","25","10","CLMB"
"CLMB",88,"47","34.5","13","CLMB"
"CLMB",89,"38.25","35.5","10.5","CLMB"
"CLMB",90,"42.75","33","12.5","CLMB"
"CLMB",91,"43.75","34","11","CLMB"
"CLMB",93,"41","29.5","14","CLMB"
"CLMB",94,"33.5","32.5","11","CLMB"
"CLMB",95,"*","*","*","CLMB"
"CLMB",96,"*","*","*","CLMB"
"CLMB",97,"50","26.5","12","CLMB"
"CLMB",98,"*","*","*","CLMB"
"CLMB",99,"37.5","22.5","10.5","CLMB"
"CLMB",100,"38.25","21","11","CLMB"
"CLMB",101,"*","*","*","CLMB"
"CLMB",102,"39.75","20.5","11.5","CLMB"
"CLMB",103,"48.25","33.5","15.5","CLMB"
"CLMB",104,"36.25","21.5","10","CLMB"
"CLMB",105,"46.75","23","10.5","CLMB"
"CLMB",106,"49.25","25","10","CLMB"
"CLMB",107,"48.5","26.5","11.5","CLMB"
"CLMB",108,"*","*","*","CLMB"
"CLMB",110,"42.5","26.5","11","CLMB"
"CLMB",111,"32","23.5","10.5","CLMB"
"CLMB",112,"45.5","25","25","CLMB"
"CLMB",113,"50.75","30.5","14","CLMB"
"CLMB",114,"49.5","30.5","11.5","CLMB"
"CLMB",115,"*","*","*","CLMB"
"CLMB",116,"49.25","30.5","10","CLMB"
"CLMB",117,"41.5","30.5","11.5","CLMB"
"CLMB",118,"49.5","29","11","CLMB"
"CLMB",119,"44.25","30","14.5","CLMB"
"CLMB",120,"41.25","28.5","12.5","CLMB"
"CLMB",122,"40.25","28","11.5","CLMB"
"CLMB",123,"46.5","20","10.5","CLMB"
"CLMB",125,"37.5","19","9","CLMB"
"CLMB",126,"*","*","*","CLMB"
"CLMB",127,"*","*","*","CLMB"
"CLMB",128,"41.5","28.5","11","CLMB"
"CLMB",130,"51.75","20","11.5","CLMB"
"CLMB",131,"42.75","25","10","CLMB"
"CLMB",132,"50.5","23.5","12.5","CLMB"
"CLMB",134,"57.75","44","13","CLMB"
"CLMB",135,"39.25","23.5","9.5","CLMB"
"CLMB",136,"*","*","*","CLMB"
"CLMB",137,"56","31.5","13","CLMB"
"CLMB",138,"*","*","*","CLMB"
"CLMB",139,"*","*","*","CLMB"
"CLMB",141,"40.25","27.5","12.5","CLMB"
"CLMB",142,"43.75","31.5","12.5","CLMB"
"CLMB",143,"41.5","36.5","13","CLMB"
"CLMB",144,"*","*","*","CLMB"
"CLMB",145,"32.25","28","10","CLMB"
"CLMB",146,"*","*","*","CLMB"
"CLMB",147,"44.25","26.5","14","CLMB"
"CLMB",148,"*","*","*","CLMB"
"CLMB",150,"34.5","25.5","9.5","CLMB"
"CLMB",151,"52.25","28","11.5","CLMB"
"CLMB",152,"*","*","*","CLMB"
"CLMB",153,"45","34","11","CLMB"
"CLMB",154,"40","25","11.5","CLMB"
"CLMB",155,"40.5","34.5","11","CLMB"
"CLMB",156,"35.75","23.5","10","CLMB"
"CLMB",157,"30.5","18.5","9.5","CLMB"
"CLMB",158,"40.5","20","11","CLMB"
"CLMB",159,"45","31.5","14","CLMB"
"CLMB",160,"*","*","*","CLMB"
"CLMB",161,"40.5","33","13.5","CLMB"
"CLMB",163,"41.25","23","10.5","CLMB"
"CLMB",164,"45.25","27","11","CLMB"
"CLMB",165,"*","*","*","CLMB"
"CLMB",166,"68","40","16","CLMB"
"CLMB",167,"51","29","13","CLMB"
"CLMB",168,"48.25","32","13","CLMB"
"CLMB",169,"*","*","*","CLMB"
"CLMB",170,"50","30","12","CLMB"
"CLMB",171,"39.75","22","10.5","CLMB"
"CLMB",172,"47","34.5","16.5","CLMB"
"CLMB",173,"42","18.5","10.5","CLMB"
"CLMB",174,"38.5","24","10.5","CLMB"
"CLMB",175,"62.75","41.5","15","CLMB"
"CLMB",176,"53.5","36.5","14.5","CLMB"
"CLMB",177,"44.5","25","11","CLMB"
"CLMB",178,"53.5","34","10","CLMB"
"CLMB",179,"51","23.5","7.5","CLMB"
"CLMB",180,"46.5","29","9.5","CLMB"
"CLMB",181,"42.5","23","12","CLMB"
"CLMB",182,"41.75","25.5","12","CLMB"
"CLMB",184,"60.5","30","14.5","CLMB"
"CLMB",185,"34.5","22","11","CLMB"
"CLMB",186,"47.25","37","12.5","CLMB"
"CLMB",187,"34.25","23","11.5","CLMB"
"CLMB",188,"50.5","31.5","21","CLMB"
"CLMB",189,"*","*","*","CLMB"
"CLMB",190,"*","*","*","CLMB"
"CLMB",191,"26.25","29","10.5","CLMB"
"CLMB",192,"46.5","30.5","13.5","CLMB"
"CLMB",193,"53.25","29","11.5","CLMB"
"CLMB",194,"58.75","32","13.5","CLMB"
"CLMB",195,"44.25","23.5","11","CLMB"
"CLMB",196,"37.25","28.5","15.5","CLMB"
"CLMB",197,"29.75","21","8","CLMB"
"CLMB",198,"47.25","26.5","12.5","CLMB"
"CLMB",199,"47.25","26","13.5","CLMB"
"CLMB",200,"38.75","30","13","CLMB"
"CLMB",201,"*","*","*","CLMB"
"CLMB",202,"*","*","*","CLMB"
"CLMB",203,"39.25","27","11","CLMB"
"CLMB",204,"33.5","17.5","8","CLMB"
"CLMB",205,"*","*","*","CLMB"
"CLMB",206,"*","*","*","CLMB"
"CLMB",207,"38.25","23.5","8.5","CLMB"
"CLMB",208,"*","*","*","CLMB"
"CLMB",209,"40.75","26","13.5","CLMB"
"CLMB",210,"51.5","29","15.5","CLMB"
"CLMB",211,"46.5","24.5","10","CLMB"
"CLMB",212,"35","22.5","9.5","CLMB"
"CLMB",213,"59.25","25","10.5","CLMB"
